<b>Arrays & Tiles</b> , <b>Tablice i płytki</b>
19. Warp Offset , 19. Przesunięcie warp
1st , 1.
1st Additional Palette (.Gpl) , 1. dodatkowa paleta (.Gpl)
1st Color , 1. kolor
1st Parameter , 1. parametr
1st Text , 1. tekst
1st Tone , 1 tonacja
1st Variance , 1 Variance
1st X-Coord , 1. przewód X-Coord
1st Y-Coord , 1-szy Y-Coord
2 Colors , 2 Kolory
2 Grays , 2 Szarości
2 Noise , 2 Hałas
2-Strip Process , Proces 2-krotny
2.  Plasma Scale , 2. Skala plazmowa
20. Scale to Width , 20. Skala do szerokości
21. Scale to Height , 21. Skala do wysokości
22. Correlated Channels , 22. Kanały powiązane
22.5 Deg. , 22,5 Deg.
23. Boundary , 23. Granica
24. Warp Channel(s) , 24. Kanał(y) Warp
25. Random Negation , 25. Losowa negacja
26. Random Negation Channel(s) , 26. Kanał (kanały) losowej negacji
29. Normalise , 29. Normalizacja
2nd , 2.
2nd Additional Palette (.Gpl) , 2. dodatkowa paleta (.Gpl)
2nd Color , 2. kolor
2nd Parameter , 2. parametr
2nd Text , 2. tekst
2nd Tone , 2. tonacja
2nd Variance , 2. wariancja
2nd X-Coord , 2. przewód X-Coord
2nd Y-Coord , 2. przewód Y-Coord
2x Type , 2x Typ
2XY Mirror , 2XY Lustro
3 Colors , 3 Kolory
3 Grays , 3 Szarości
3 Mix , 3 Mieszanka
3.  Plasma Alpha Channel , 3. Kanał Plazmowy Alfa
30. Minimum Hue , 30. Minimalny odcień
31. Maximum Hue , 31. Maksymalny odcień
32. Minimum Saturation , 32. Minimalne nasycenie
33. Maximum Saturation , 33. Maksymalne nasycenie
34. Minimum Value , 34. Wartość minimalna
343 Keypoints , 343 Punkty orientacyjne
35. Maximum Value , 35. Wartość maksymalna
37. Saturation Offset , 37. Przesunięcie nasycenia
38. Value Offset , 38. Przesunięcie wartości
3D Blocks , Bloki 3D
3D CLUT (Fast) , 3D CLUT (szybki)
3D CLUT (Precise) , 3D CLUT (Precyzyjny)
3D Colored Object , Kolorowy obiekt 3D
3D Conversion , Konwersja 3D
3D Elevation , Wzniesienie 3D
3D Elevation [Animated] , Wzniesienie 3D [Animowane]
3D Extrusion , Wytłaczanie 3D
3D Extrusion [Animated] , Wytłaczanie 3D [Animowane]
3D Image Object , Obiekt obrazu 3D
3D Image Object [Animated] , Obiekt obrazu 3D [Animowany]
3D Image Type , Typ obrazu 3D
3D Lathing , 3D Wytrzymałość
3D Metaballs , Metabale 3D
3D Random Objects , Obiekty losowe 3D
3D Reflection , Odbicie 3D
3D Rubber Object , Gumowy obiekt 3D
3D Text Pointcloud , Chmura punktów tekstowych 3D
3D Tiles , Płytki 3D
3D Video Conversion , Konwersja wideo 3D
3D Waves , Fale 3D
3rd , 3.
3rd Color , 3. kolor
3rd Parameter , 3. parametr
3rd Tone , 3. tonacja
3rd X-Coord , 3. przewód X-Coord
3rd Y-Coord , 3. przewód Y-Coord
4 Colors , 4 Kolory
4 Grays , 4 Szarości
4.  Segmentation [No Alpha Channel] , 4. Segmentacja [Brak kanału alfa]
4096x4096 Layer , 4096x4096 Warstwa
4th , 4.
4th Color , 4. kolor
4th Tone , 4. tonacja
5.  Edge Threshold , 5. Próg krawędziowy
512x512 Layer , 512x512 Warstwa
5th , piąty
5th Color , 5. kolor
5th Tone , 5. tonacja
6.  Smoothness , 6. Gładkość
60's (faded Alt) , Lata 60. (wyblakłe Alt)
60's (faded) , Lata 60. (wyblakłe)
64 (Faster) , 64 (Szybciej)
67.5 Deg. , 67,5 Deg.
6th , szósty
6th Color , 6. kolor
6th Tone , 6 Ton
7.  Blur , 7. Rozmycie
7th , 7.
7th Color , 7. kolor
7th Tone , 7 Ton
8 Colors , 8 Kolory
8 Grays , 8 Szarości
8 Keypoints (RGB Corners) , 8 punktów kluczowych (RGB Corners)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. Pikselizacja czterodniowa [Brak kanału alfa]
8th , 8.
8th Color , 8. kolor
8th Tone , 8. tonacja
9.  Quadtree Min Precision , 9. Quadtree Min Precision
9th , 9.
9th Color , 9. kolor
[Cyan]MYK , MYK
A Lot of Cyan , Dużo Cyanu
A Lot of Magenta , Dużo Magenty
A-Color Factor , Współczynnik A-Color
A-Component , A-Komponent
A4 / 100 PPI (Recommended) , A4 / 100 PPI (zalecane)
About G'MIC , O G'MIC
Absolute Brightness , Absolutna jasność
Absolute Value , Wartość bezwzględna
Abstraction , Abstrakcja
Acceleration , Przyspieszenie
Achromatomaly , Achromatomalia
Achromatopsia , Achromatopsja
Action , Działanie
Action #1 , Działanie nr 1
Action #10 , Akcja nr 10
Action #11 , Akcja nr 11
Action #12 , Akcja nr 12
Action #13 , Działanie nr 13
Action #14 , Działanie nr 14
Action #15 , Akcja nr 15
Action #16 , Działanie nr 16
Action #17 , Działanie nr 17
Action #18 , Akcja nr 18
Action #19 , Akcja #19
Action #2 , Działanie nr 2
Action #20 , Akcja nr 20
Action #21 , Działanie nr 21
Action #22 , Działanie nr 22
Action #23 , Akcja nr 23
Action #24 , Akcja nr 24
Action #3 , Akcja nr 3
Action #4 , Akcja nr 4
Action #5 , Działanie nr 5
Action #6 , Działanie nr 6
Action #7 , Działanie nr 7
Action #8 , Akcja nr 8
Action #9 , Akcja nr 9
Action Magenta 01 , Działanie Magenta 01
Action Red 01 , Akcja Czerwony 01
Activate 'Pencil Smoother' , Aktywacja "Pencil Smoother
Activate Color Enhancement , Aktywacja ulepszania kolorów
Activate Colors Geometric Shapes , Aktywacja kolorów Kształty geometryczne
Activate Custom Filter , Aktywuj filtr niestandardowy
Activate Lizards , Aktywuj jaszczurki
Activate Mirror , Aktywuj lustro
Activate Pink Elephants , Aktywuj różowe słonie
Activate Second Direction , Aktywuj drugi kierunek
Activate Shakes , Aktywuj wstrząsy
Activate Slice 1 , Aktywuj plaster 1
Activate Slice 2 , Aktywuj plaster 2
Activate Slice 3 , Aktywuj plaster 3
Activate Slice 4 , Aktywuj plaster 4
Activer Symmetrizoscope , Symmetrizoskop aktorowy
Adaptive , Adaptacyjny
Add , Dodaj
Add 1px Outline , Dodaj 1px kontur
Add Alpha Channels to Detail Scale Layers , Dodaj kanały Alpha do szczegółowej skali warstw
Add as a New Layer , Dodaj jako nową warstwę
Add Chalk Highlights , Dodaj kredę Highlights
Add Color Background , Dodaj kolor tła
Add Comment Area in HTML Page , Dodaj obszar komentarza na stronie HTML
Add Grain , Dodaj ziarno
Add Image Label , Dodaj etykietę z obrazem
Add Painter's Touch , Dodaj dotyk malarza
Add User-Defined Constraints (Interactive) , Dodaj ograniczenia zdefiniowane przez użytkownika (Interaktywne)
Additional Duplicates Count , Dodatkowa liczba duplikatów
Additional Outline , Dodatkowy zarys
Additive , Dodatek
Adjust Background Reconstruction , Regulacja rekonstrukcji tła
Adventure 1453 , Przygoda 1453
Algorithm , Algorytm
Alien Green , Obcy Zielony
Align Image Streams , Wyrównywanie strumieni obrazu
Align Layers , Wyrównać warstwy
Aligned , Wyrównane
Alignment Type , Typ wyrównania
All , Wszystkie
All 45° Rotations , Wszystkie 45 i stopnie; Obroty
All 90° Rotations , Wszystkie 90 i stopnie; Obroty
All [Collage] , Wszystko [Kolaż]
All but Reference Color , Wszystkie oprócz koloru odniesienia
All Layers and Masks , Wszystkie warstwy i maski
All Tones , Wszystkie tony
All XY-Flips , Wszystkie XY-Flipy
Allow Angle , Pozwól na kąt
Allow Self Intersections , Pozwól na skrzyżowania własne
Alpha Channel , Kanał Alfa
Alpha Mode , Tryb Alpha
Also Match Gradients , Również gradienty dopasowania
Ambient Lightness , Lekkość otoczenia
Amount , Kwota
Amplitude , Amplituda
Amplitude (%) , Amplituda (%)
Amplitude / Angle , Amplituda / Kąt
Anaglyph Blue/yellow , Anaglif Niebieski/żółty
Anaglyph Blue/yellow Optimized , Anaglif Niebieski/żółty Zoptymalizowany
Anaglyph Glasses Adjustment , Regulacja okularów anaglifowych (Anaglyph Glasses)
Anaglyph Green/magenta , Anaglif Zielony/magenta
Anaglyph Green/magenta Optimized , Anaglif Zielony/magenta Zoptymalizowany
Anaglyph Reconstruction , Rekonstrukcja anaglifowa
Anaglyph Red/cyan , Anaglif Czerwony/cyan
Anaglyph Red/cyan Optimized , Anaglif Czerwony/cyan Zoptymalizowany
Anaglyph: Red/Cyan , Anaglif: Czerwony/Cyjan
AnalogFX - Old Style I , AnalogFX - Stary Styl I
AnalogFX - Old Style II , AnalogFX - Stary Styl II
AnalogFX - Old Style III , AnalogFX - Stary Styl III
Analysis Scale , Skala analityczna
Analysis Smoothness , Analiza Gładkość
And , I
Angle , Kąt
Angle (%) , Kąt (%)
Angle (deg) , Kąt (stopień)
Angle (deg.) , Kąt (stopień)
Angle / Size , Kąt / Rozmiar
Angle Cut , Kątowe cięcie
Angle Dispersion , Rozproszenie kątowe
Angle Image Contour , Kątowy kontur obrazu
Angle of Disturbance Surface , Kąt Zaburzenia Powierzchnia
Angle of Main Nebulous Surface , Kąt głównej powierzchni mgławicowej
Angle Range , Zasięg kątowy
Angle Range (deg.) , Zasięg kątowy (deg.)
Angle Tilt , Kąt nachylenia
Angle Variations , Zmiany kątów
Anguish , Udręka
Angular , Kątowy
Angular Precision , Precyzja kątowa
Angular Tiles , Płytki kątowe
Anisotropic , Anizotropowy
Anisotropy , Anizotropia
Annular Steiner Chain Round Tiles , Okrągłe płytki łańcuchowe okrągłe Steinera
Anti-Aliasing , Anty-Aliasing
Antisymmetry , Antysymetria
Any , Każdy
Apocalypse This Very Moment , Apokalipsa Ta Bardzo Moment
Apples , Jabłka
Apply Adjustments On , Zastosuj korekty Wł.
Apply Color Balance , Stosowanie Color Balance
Apply External CLUT , Zastosuj zewnętrzne zamknięcie
Apply Mask , Zastosuj maskę
Apply Skin Tone Mask , Nałóż maseczkę z tonikiem skóry
Apply Transformation From , Zastosuj transformację Od
Aqua and Orange Dark , Aqua i Orange Dark
Area , Obszar
Area Smoothness , Obszar Gładkość
Areas Light Adjustment , Obszary regulacji oświetlenia
Areas Smoothness , Obszary Gładkość
Array [Faded] , Tablica [Wyblakłe]
Array [Mirrored] , Tablica [Mirrored]
Array [Random Colors] , Tablica [Przypadkowe kolory]
Array [Random] , Tablica [Losowo]
Array [Regular] , Tablica [zwykła]
Array Mode , Tryb macierzowy
Arrows , Strzałki
Arrows (Outline) , Strzałki (kontur)
Artistic  Modern , Nowoczesność artystyczna
Artistic Hard , Twardy artystyczny
Artistic Round , Runda artystyczna
Ascii Art , Sztuka Ascii
Aspect , Aspekt
Aspect Ratio , Współczynnik aspektów
Associated Color , Powiązany kolor
Attenuation , Tłumienie
Auto Balance , Automatyczne wyważenie
Auto Reduce Level (Level Slider Is Disabled) , Automatyczna redukcja poziomu (suwak poziomu jest wyłączony)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Automatyczne ustawianie inwersji barwy (suwak barwy jest wyłączony)
Auto-Reduce Number of Frames , Auto-Reduce Liczba ramek
Auto-Set Periodicity , Automatyczne ustawianie okresowości
Auto-Threshold , Auto-próg
Autocrop Output Layers , Warstwy wyjściowe Autocrop
Automatic , Automatycznie
Automatic & Contrast Mask , Maska automatyczna i kontrastowa
Automatic [Scan All Hues] , Automatyczne [skanowanie wszystkich odcieni]
Automatic Color Balance , Automatyczny balans kolorów
Automatic Depth Estimation , Automatyczne szacowanie głębokości
Automatic Upscale for Optimum Results , Automatyczna skala wzrostu dla optymalnych wyników
Autumn , Jesień
Avalanche , Lawina
Average , Średnia
Average 3x3 , Średnia 3x3
Average 5x5 , Średnia 5x5
Average 7x7 , Średnia 7x7
Average 9x9 , Średnia 9x9
Average RGB , Średni RGB
Average Smoothness , Średnia gładkość
Avg Branching , Odgałęzienie Avg
Avg Left Angle (deg.) , Avg Lewy kąt (stopień)
Avg Length Factor (%) , Współczynnik średniej długości (%)
Avg Thickness Factor (%) , Średni współczynnik grubości (%)
Axis , Oś
Azimuth , Azymut
B&W , BOŚNIA I HERCEGOWINA
B&W Pencil [Animated] , Ołówek B&W [Animowany]
B&W Photograph , Fotografia B&W
B&W Stencil [Animated] , B&W Stencil [Animowany]
B-Color Factor , Czynnik B-Kolor
B-Color Smoothness , B-Color Gładkość
B-Component , B-Komponent
Background , Tło
Background Color , Kolor tła
Background Intensity , Tło Intensywność pomocy
Background Point (%) , Punkt wyjścia (%)
Backward , Wsteczny
Backward Horizontal , Wsteczny Poziomy
Backward Vertical , Wsteczny Pionowy
Balance , Bilans
Balance Color , Równowaga kolorów
Balance SRGB , Saldo SRGB
Balloons , Balony
Balls , Bale
Band Width , Szerokość pasma
Bandwidth , Szerokość pasma
Barbed Wire , Drut kolczasty
Bars , Bary
Base Reference Dimension , Wymiar referencyjny podstawy
Base Scale , Skala podstawowa
Base Thickness (%) , Grubość podstawowa (%)
Basic Adjustments , Dostosowania podstawowe
Batch Processing , Przetwarzanie wsadowe
Bayer Filter , Filtr Bayera
Bayer Reconstruction , Rekonstrukcja Bayera
Behind , Za
Below , Poniżej
Berlin Sky , Berlin Niebo
Best Match , Najlepszy mecz
BG Textured , BG Teksturowane
Bi-Directional , Dwukierunkowy:
Bidirectional [Smooth] , Bidirectional [Gładko]
Bidirectional Rendering , Licytacja dwukierunkowa
Bilateral , Dwustronnie
Bilateral Radius , Promień dwustronny
Binary , Binarny
Binary Digits , Cyfry binarne
Bit Masking (End) , Maskowanie bitów (koniec)
Bit Masking (Start) , Maskowanie bitów (Start)
Black , Czarny
Black Level , Poziom czerni
Black on Transparent , Czarny na przezroczystym
Black on Transparent White , Czarny na białym przezroczystym
Black on White , Czarno na białym
Black Star , Czarna Gwiazda
Black to White , Od czarnego do białego
Blacks , Czarnuchy
Blade Runner , Biegacz łopatkowy
Blank , Puste miejsce
Bleech Bypass Yellow 01 , Bleech Bypass Żółty 01
Blend , Mieszanka
Blend [Average All] , Blend [Średnia wszystkich]
Blend [Edges] , Blend [Krawędzie]
Blend [Median] , Blend [Mediana]
Blend [Seamless] , Blend [Bez szwu]
Blend All Layers , Łączyć wszystkie warstwy
Blend Decay , Rozpad mieszaniny
Blend Mode , Tryb mieszania
Blend Scales , Wagi mieszane
Blending Mode , Tryb mieszania
Blending Size , Rozmiar mieszanki
Blindness Type , Typ ślepoty
Blob 1 Color , Blob 1 Kolor
Blob 10 Color , Blob 10 Kolor
Blob 11 Color , Blob 11 Kolor
Blob 12 Color , Blob 12 Kolor
Blob 2 Color , Blob 2 Kolor
Blob 3 Color , Blob 3 Kolor
Blob 4 Color , Blob 4 Kolor
Blob 5 Color , Blob 5 Kolor
Blob 6 Color , Blob 6 Kolor
Blob 7 Color , Blob 7 Kolor
Blob 8 Color , Blob 8 Kolor
Blob 9 Color , Blob 9 Kolor
Blobs Editor , Redaktor Blobs
Bloc , Blok
Bloc Size (%) , Wielkość bloku (%)
Blockism , Blokizm
Blue , Niebieski
Blue & Red Chrominances , Niebieskie i czerwone Chrominancje
Blue Chroma Factor , Współczynnik niebieskiego aromatu
Blue Chroma Smoothness , Niebieski aromat Gładkość
Blue Chrominance , Błękitny Chrominance
Blue Factor , Czynnik niebieski
Blue House , Błękitny Dom
Blue Ice , Niebieski lód
Blue Level , Poziom niebieski
Blue Rotations , Niebieskie obroty
Blue Screen Mode , Tryb Blue Screen
Blue Smoothness , Niebieska gładkość
Blue Steel , Niebieska stal
Blue Wavelength , Niebieska Długość fali
Blur , Rozmycie
Blur [Angular] , Rozmycie [kątowe]
Blur [Depth-Of-Field] , Rozmycie [Głębokie pole]
Blur [Gaussian] , Rozmycie [Gaussian]
Blur [Glow] , Rozmycie [Glow]
Blur [Linear] , Rozmycie [Liniowe]
Blur [Multidirectional] , Rozmycie [Wielokierunkowy]
Blur [Radial] , Rozmycie [Radial]
Blur Alpha , Rozmycie Alfa
Blur Amount , Rozmycie Kwota
Blur Amplitude , Rozmycie Amplitudy
Blur Dodge and Burn Layer , Rozmycie warstwy uskoków i oparzeń
Blur Factor , Czynnik rozmycia
Blur Frame , Rozmycie ramki
Blur Percentage , Rozmycie Procent
Blur Precision , Rozmycie Dokładność
Blur Standard Deviation , Rozmycie odchylenia standardowego
Blur Strength , Siła rozmycia
Blur the Mask , Rozmycie maski
Boats , Łodzie
Boost Chromaticity , Zwiększyć chromatyczność
Boost Contrast , Kontrast wzrostowy
Boost Stroke , Pobudzenie udaru
Border Color , Kolor granicy
Border Opacity , Nieprzezroczystość na granicy
Border Outline , Obrys granicy
Border Smoothness , Granica Gładkość
Border Thickness (%) , Grubość granicy (%)
Border Width , Szerokość granicy
Both , Oba
Bottles , Butelki
Bottom , Dół
Bottom and Left Foreground , Dół i lewy pierwszy plan
Bottom and Right Foreground , Dół i prawy pierwszy plan
Bottom and Top Foreground , Dół i góra pierwszego planu
Bottom Layer , Warstwa spodnia
Bottom Left , Dół Lewa strona
Bottom Right , Na dole po prawej stronie
Bottom Size , Wielkość dna
Bottom-Left , Dół-Lewica
Bottom-Left Vertex (%) , Wierzchołek dolny-lewy (%)
Bottom-Right , Dół-prawo
Bottom-Right Vertex (%) , Wierzchołek dolny-prawy (%)
Bouncing Balls , Podskakujące piłki
Boundaries (%) , Granice (%)
Boundary , Granica
Boundary Condition , Stan graniczny
Boundary Conditions , Warunki brzegowe
Box Fitting , Wyposażenie pudełka
Branches , Oddziały
Braque: Landscape near Antwerp , Braque: Krajobraz w pobliżu Antwerpii
Braque: Little Bay at La Ciotat , Braque: Little Bay w La Ciotat
Braque: The Mandola , Braque: Mandola
Brighness , Jasność
Bright , Jasne
Bright Green , Jasnozielony
Bright Length , Jasna Długość
Bright Pixels , Jasne piksele
Bright Teal Orange , Jasna Tealowa Pomarańcza
Bright Warm , Jasny Ciepły
Brighter , Jaśniejszy
Brightness , Jasność
Brightness (%) , Jasność (%)
Bristle Size , Rozmiar włosia
Bronze , Brązowy
Brownish , Brązowy
Built-in Gray , Wbudowany w szarość
Bump Factor , Czynnik uderzeniowy
Bump Map , Mapa uderzeniowa
Burn Blur , Rozmycie płomieni
Burn Strength , Wytrzymałość na oparzenia
By Blue Chrominance , Przez Blue Chrominance
By Blue Component , Przez składnik niebieski
By Custom Expression , Według indywidualnego wyrażenia
By Green Component , Przez komponent zielony
By Iteration , Przez Iterację
By Lightness , Przez lekkość
By Luminance , Przez Luminancję
By Red Chrominance , Przez Red Chrominance
By Red Component , Przez komponent czerwony
By Value , Według wartości
Byers 11 , Bajery 11
C[Magenta]YK , C[Magenta] YK
Camera Motion Only , Tylko ruch kamery
Camera X , Kamera X
Camera Y , Kamera Y
Cameraman , Kamerzysta
Candle Light , Światło świec
Canvas Brightness , Płótno Jasność
Canvas Color , Kolor płótna
Canvas Darkness , Płótno Ciemność
Canvas Texture , Tekstura płótna
Car , Samochód
Card Suits , Garnitury na karty
Cartesian Transform , Transformacja kartezjańska
Cartoon , Kreskówka
Cartoon [Animated] , Kreskówka [Animowany]
Category , Kategoria
Cell Size , Wielkość komórki
Center , Centrum
Center (%) , Centrum (%)
Center Background , Centrum Tło
Center Foreground , Centrum Pierwszy plan
Center Help , Pomoc Centrum
Center Size , Rozmiar środka
Center Smoothness , Centrum Gładkość
Center X , Centrum X
Center X-Shift , Centrum X-Shift
Center Y , Centrum Y
Center Y-Shift , Centrum Y-Shift
Centering (%) , Centrowanie (%)
Centering / Scale , Centrowanie / Skala
Centers Color , Centra Kolor
Centers Radius , Centra Promień
Centimeter , Centymetr
Central  Perspective Outdoor , Centralna perspektywa na zewnątrz
Central Perspective Indoor , Perspektywa centralna Wewnątrz
Central Perspective Outdoor , Centralna perspektywa na zewnątrz
Centre , Centrum
Channel #1 , Kanał #1
Channel #2 , Kanał #2
Channel #3 , Kanał #3
Channel Processing , Przetwarzanie kanałów
Channel(s) , Kanał(y)
Channels , Kanały
Channels to Layers , Kanały do warstw
Charcoal , Węgiel drzewny
Checkered Inverse , Inwersja w szachownicę
Chemical 168 , Chemikalia 168
Chessboard , Szachownica
Chick , Kurczak
Chroma Noise , Chroma Hałas
Chromatic Aberrations , Aberracje chromatyczne
Chromaticity From , Chromatyczność Od
Chrome 01 , Chrom 01
Chrominances Only (ab) , Tylko chrominanse (ab)
Chrominances Only (CbCr) , Tylko chrominanse (CbCr)
Cinema , Kino
Cinema 2 , Kino 2
Cinema 3 , Kino 3
Cinema 4 , Kino 4
Cinema 5 , Kino 5
Cinema Noir , Kino Noir
Cinematic (8) , Kino (8)
Cinematic Mexico , Kino Meksyk
Cinematic Travel (29) , Podróże kinematograficzne (29)
Circle , Koło
Circle (Inv.) , Koło (Inv.)
Circle 1 , Okręg 1
Circle 2 , Okręg 2
Circle Abstraction , Okrąg Abstrakcja
Circle Art , Sztuka koła
Circle to Square , Koło do kwadratu
Circle Transform , Transformacja okręgu
Circles , Koła
Circles (Outline) , Kręgi (kontur)
Circles 1 , Okręgi 1
Circles 2 , Koła 2
Circular , Okólnik
City 7 , Miasto 7
Clarity , Przejrzystość
Classic Chrome , Chrom klasyczny
Classic Teal and Orange , Classic Teal i Orange
Clean , Czyste
Clean Text , Czysty tekst
Clear Control Points , Przejrzyste punkty kontroli
Clip , Klip
Clip CMYK , Klips CMYK
Closing , Zamknięcie
Closing - Opening , Zamknięcie - Otwarcie
Closing - Original , Zamknięcie - Oryginał
Clouds , Chmury
CLUT from After - Before Layers , CLUT od After - Before Layers
CLUT Opacity , ZAMKNIĘTE ZAMKNIĘCIE
CM[Yellow]K , CM[Żółty]K
CMY[Key] , CMY[Klucz]
CMYK [cyan] , CMYK [cyjan]
CMYK [Key] , CMYK [Klucz]
CMYK [Yellow] , CMYK [Żółty]
CMYK Tone , Ton CMYK
Coarse , Gruby
Coarsest (faster) , Najgrubszy (szybszy)
Code , Kod
Coefficients , Współczynniki
Coffee 44 , Kawa 44
Coherence , Spójność
Cold Simplicity 2 , Prostota na zimno 2
Color , Kolor
Color (rich) , Kolor (bogaty)
Color 1 , Kolor 1
Color 1 (Up/Left Corner) , Kolor 1 (górny/lewy narożnik)
Color 2 , Kolor 2
Color 2 (Up/Right Corner) , Kolor 2 (góra/prawa strona narożnika)
Color 3 , Kolor 3
Color 3 (Bottom/Left Corner) , Kolor 3 (dolny/lewy narożnik)
Color 4 , Kolor 4
Color 4 (Bottom/Right Corner) , Kolor 4 (dolny/prawy narożnik)
Color A , Kolor A
Color Abstraction Opacity , Abstrakcyjna barwa Nieprzezroczystość
Color Abstraction Paint , Kolorowa farba abstrakcyjna
Color B , Kolor B
Color Balance , Bilans kolorów
Color Basis , Podstawa koloru
Color Blending , Łączenie kolorów
Color Blindness , Ślepota kolorów
Color Blue-Yellow , Kolor niebiesko-żółty
Color Burn , Oparzenie kolorem
Color C , Kolor C
Color Channel  Smoothing , Wygładzanie kanałów kolorowych (Color Channel Smoothing)
Color Channels , Kanały kolorowe
Color D , Kolor D
Color Dispersion , Dyspersja kolorów
Color Doping , Doping kolorystyczny
Color E , Kolor E
Color Effect Mode , Tryb efektów kolorystycznych
Color F , Kolor F
Color G , Kolor G
Color Grading , Klasyfikacja kolorów
Color Green-Magenta , Kolor Green-Magenta
Color Highlights , Kolory podświetlenia
Color Image , Kolorowy obrazek
Color Intensity , Intensywność koloru
Color Mask , Maska kolorowa
Color Mask [Interactive] , Maska kolorowa [Interaktywna]
Color Median , Mediana kolorów
Color Metric , Kolor metryczny
Color Midtones , Kolory Midtones
Color Mode , Tryb kolorystyczny
Color Model , Model kolorowy
Color Negative , Kolor Negatywny
Color on White , Kolor na białym
Color Overall Effect , Ogólny efekt kolorystyczny
Color Presets , Ustawienia kolorów
Color Quantization , Kwantyfikacja kolorów
Color Rendering , Rendering kolorów
Color Shading (%) , Cieniowanie kolorów (%)
Color Shadows , Cienie kolorów
Color Smoothness , Gładkość kolorów
Color Space , Przestrzeń barw
Color Spots + Extrapolated Colors + Lineart , Kolorowe plamy + Ekstrapolowane kolory + Lineart
Color Spots + Lineart , Kolorowe plamy + Lineart
Color Strength , Wytrzymałość koloru
Color Temperature , Temperatura barwowa
Color Tolerance , Tolerancja kolorów
Color Variation [Random -1] , Zmiana koloru [Przypadkowa -1]
Colorbase , Baza kolorystyczna
Colored Geometry , Geometria barwna
Colored Grain , Kolorowe Ziarno
Colored Lineart , Kolorowy Lineart
Colored on Black , Kolorowy na czarno
Colored on Transparent , Kolorowy na Transparentnym
Colored Outline , Kolorowy kontur
Colored Pencils , Ołówki kolorowe
Colored Regions , Kolorowe regiony
Colorful , Kolorowy
Colorful 0209 , Kolorowy 0209
Colorful Blobs , Kolorowe kleksy
Coloring , Koloryzacja
Colorize [Interactive] , Koloryzacja [Interaktywny]
Colorize [Photographs] , Koloryzacja [Fotografie]
Colorize [with Colormap] , Colorize [z Colormapem]
Colorize Mode , Tryb koloryzacji
Colorized Image (1 Layer) , Obraz kolorowy (1 warstwa)
Colormap Type , Typ Colormap
Colors , Kolory
Colors A , Kolory A
Colors B , Kolory B
Colors Only , Tylko kolory
Colors Only (1 Layer) , Tylko kolory (1 warstwa)
Colors to Layers , Kolory do warstw
Colour , Kolor
Colour Channels , Kanały kolorowe
Colour Model , Model kolorowy
Colour Smoothing , Wygładzanie kolorów
Colour Space Mode , Tryb przestrzeni barw
Column by Column , Kolumna po kolumnie
Comic Style , Styl komiksowy
Components , Części składowe
Composed Layers , Warstwy złożone
Compress Highlights , Kompresja Highlights
Compression Blur , Rozmycie kompresji
Compression Filter , Filtr kompresyjny
Computation Mode , Tryb obliczeniowy
Cone , Stożkowe
Conflict 01 , Konflikt 01
