<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
A Lot of Key , 多くのキー
A Lot of Magenta , マゼンタがたくさん
A Lot of Yellow , 黄色がいっぱい
A-Color Factor , エーカラーファクター
A-Color Shift , Aカラーシフト
A-Color Smoothness , A色の滑らかさ
A-Component , Ａ成分
A-Value , A値
A4 / 100 PPI (Recommended) , A4 / 100 PPI（推奨
Abigail Gonzalez (21) , アビゲイル・ゴンザレス（21
About G'MIC , G'MICについて
Absolute Brightness , 絶対的な明るさ
Absolute Value , 絶対値
Abstraction , 抽象化
Acceleration , 加速
Achromatomaly , アクロマトンもく
Achromatopsia , 無色症
Acros , アクロス
Acros+G , アクロス+G
Acros+R , アクロス+R
Acros+Ye , アクロス＋イェ
Action , アクション
Action #1 , アクション#1
Action #10 , アクション＃10
Action #11 , アクション＃11
Action #12 , アクション#12
Action #13 , アクション#13
Action #14 , アクション#14
Action #15 , アクション#15
Action #16 , アクション#16
Action #17 , アクション#17
Action #18 , アクション＃18
Action #19 , アクション#19
Action #2 , アクション#2
Action #20 , アクション＃20
Action #21 , アクション＃21
Action #22 , アクション＃22
Action #23 , アクション＃23
Action #24 , アクション＃24
Action #3 , アクション＃3
Action #4 , アクション＃4
Action #5 , アクション#5
Action #6 , アクション#6
Action #7 , アクション#7
Action #8 , アクション#8
Action #9 , アクション#9
Action Magenta 01 , アクションマゼンタ01
Action Red 01 , アクションレッド01
Activate 'Pencil Smoother' , ペンシルスムーサー」を有効にする
Activate Color Enhancement , カラーエンハンスメントを有効にする
Activate Colors Geometric Shapes , 色を活性化させる 幾何学的な図形
Activate Custom Filter , カスタムフィルタを有効にする
Activate Lizards , トカゲを起動する
Activate Mirror , ミラーをアクティブにする
Activate Pink Elephants , ピンクの象を活性化させる
Activate Second Direction , 第二の方向をアクティブにする
Activate Shakes , シェイクをアクティブにする
Activate Slice 1 , スライス1をアクティブにする
Activate Slice 2 , スライス2を起動
Activate Slice 3 , スライス3をアクティブにする
Activate Slice 4 , スライス4をアクティブにする
Activer Symmetrizoscope , アクティバーシンメトリゾスコープ
Adaptive , 適応的
Add , 追加
Add 1px Outline , 1px追加 アウトライン
Add Alpha Channels to Detail Scale Layers , 詳細スケールレイヤーにアルファチャンネルを追加
Add as a New Layer , 新規レイヤーとして追加
Add Chalk Highlights , 白亜のハイライトを追加
Add Color Background , 色の背景を追加
Add Comment Area in HTML Page , HTMLページにコメントエリアを追加する
Add Grain , 穀物を追加
Add Image Label , 画像ラベルの追加
Add Painter's Touch , ペインターズタッチを追加
Add User-Defined Constraints (Interactive) , ユーザー定義制約の追加（インタラクティブ
Additional Duplicates Count , 追加の重複数
Additional Outline , 追加の概要
Additive , 添加剤
Adjust Background Reconstruction , 背景の再構成を調整する
Adventure 1453 , アドベンチャー1453
Agfa Ultra Color 100 , アグファ ウルトラカラー100
Agfa Vista 200 , アグファビスタ200
Aggresive , 積極的
Aggressive Highlights Recovery 5 , アグレッシブハイライト回復5
Alex Jordan (81) , アレックス・ジョーダン (81)
Algorithm , アルゴリズム
Aliasing , エイリアス
Alien Green , エイリアングリーン
Align Image Streams , 画像ストリームを整列させる
Align Layers , レイヤーを整列させる
Aligned , アライメント
Alignment Type , アライメントタイプ
All , すべての
All 45° Rotations , すべての45°回転
All 90° Rotations , すべての90°回転
All [Collage] , すべての[コラージュ]
All but Reference Color , リファレンスカラー以外はすべて
All Layers and Masks , すべてのレイヤーとマスク
All Tones , オールトーン
All XY-Flips , すべてのXYフリップ
Allow Angle , 角度を許可する
Allow Outer Blending , 外側のブレンドを許可する
Allow Self Intersections , 自己交差を許す
Alpha , アルファ
Alpha Channel , アルファチャンネル
Alpha Mode , アルファモード
Also Match Gradients , グラデーションにも対応
Ambient (%) , 周囲温度(%)
Ambient Lightness , 周囲の明るさ
Amount , 金額
Amplitude , 振幅
Amplitude (%) , 振幅(%)
Amplitude / Angle , 振幅・角度
Amstragram , アムストラグラム
Amstragram+ , アムストラグラムプラス
Anaglypgh Green/magenta Optimized , アナグリフ グリーン/マゼンタ オプティマイズ
Anaglyph Blue/yellow , アナグリフ ブルー/イエロー
Anaglyph Blue/yellow Optimized , アナグリフブルー/イエロー最適化
Anaglyph Glasses Adjustment , アナグリフメガネの調整
Anaglyph Green/magenta , アナグリフ グリーン/マゼンタ
Anaglyph Green/magenta Optimized , アナグリフ グリーン/マゼンタ 最適化
Anaglyph Reconstruction , アナグリフの復元
Anaglyph Red/cyan , アナグリフ レッド/シアン
Anaglyph Red/cyan Optimized , アナグリフ レッド/シアン最適化
Anaglyph: Red/Cyan , アナグリフ：レッド/シアン
AnalogFX - Anno 1870 Color , AnalogFX - Anno 1870 カラー
AnalogFX - Old Style I , AnalogFX - オールドスタイルI
AnalogFX - Old Style II , AnalogFX - オールドスタイルII
AnalogFX - Old Style III , AnalogFX - オールド・スタイルIII
AnalogFX - Sepia Color , AnalogFX - セピアカラー
AnalogFX - Soft Sepia I , AnalogFX - ソフトセピアI
AnalogFX - Soft Sepia II , AnalogFX - ソフトセピアII
Analysis Scale , 分析規模
Analysis Smoothness , 分析の滑らかさ
And , そして
Angle , 角度
Angle (%) , 角度(%)
Angle (deg) , 角度(deg)
Angle (deg.) , 角度(deg.)
Angle / Size , 角度・サイズ
Angle Cut , アングルカット
Angle Dispersion , 角度分散
Angle Image Contour , 角度画像の輪郭
Angle of Disturbance Surface , 撹乱面の角度
Angle of Main Nebulous Surface , 主な星雲面の角度
Angle Range , 角度範囲
Angle Range (deg.) , 角度範囲（deg.
Angle Tilt , 角度チルト
Angle Variations , 角度の変化
Anguish , 苦悩
Angular , アンギュラー
Angular Precision , 角精度
Angular Tiles , アンギュラータイル
Anime , アニメ
Anisotropic , 異方性
Anisotropy , 異方性
Annular Steiner Chain Round Tiles , アンニュラーシュタイナーチェーン丸型タイル
Anti Alias , アンチエイリアス
Anti-Aliasing , アンチエイリアシング
Anti-Ghosting , アンチゴースト
Antialiasing , アンチエイリアシング
Antisymmetry , 反対称性
Any , 何れかの
Apocalypse This Very Moment , 黙示録この瞬間
Apples , りんご
Apply Adjustments On , 調整の適用
Apply Color Balance , カラーバランスを適用する
Apply External CLUT , 外部CLUTの適用
Apply Mask , マスクを適用する
Apply Skin Tone Mask , スキントーンマスクを塗る
Apply Transformation From , トランスフォーメーションを適用する
Aqua , アクア
Aqua and Orange Dark , アクア＆オレンジダーク
Arabica 12 , アラビカ12
Area , エリア
Area Smoothness , 面積平滑度
Areas Light Adjustment , エリアライト調整
Areas Smoothness , エリアの滑らかさ
Array [Faded] , 配列 [フェード]
Array [Mirrored] , 配列 [ミラーリング]
Array [Random Colors] , 配列 [ランダムカラー]
Array [Random] , 配列 [ランダム]
Array [Regular] , 行列 [正規]
Array Mode , 配列モード
Arrows , 矢印
Arrows (Outline) , 矢印（アウトライン
Artistic  Modern , アーティスティック・モダン
Artistic Hard , 芸術的なハード
Artistic Round , アーティスティックラウンド
Ascii , アスキー
Ascii Art , アスキーアート
Aspect , アスペクト
Aspect Ratio , アスペクト比
Asplenium Adiantum-Nigrum , 藍藻
Associated Color , 関連色
Astia , アスティア属
Attenuation , 減衰
Aurora , オーロラ
Australia , オーストラリア
Auto , オート
Auto Balance , オートバランス
Auto Crop , オートクロップ
Auto Reduce Level (Level Slider Is Disabled) , レベルを自動で下げる（レベルスライダは無効
Auto Set Hue Inverse (Hue Slider Is Disabled) , 色相を逆に自動設定（色相スライダーは無効
Auto-Clean Bottom Color Layer , オートクリーンボトムカラーレイヤー
Auto-Reduce Number of Frames , フレーム数の自動削減
Auto-Set Periodicity , 自動設定周期性
Auto-Threshold , オートスレッショルド
Autocrop , オートクロップ
Autocrop Output Layers , オートクロップ出力レイヤ
Automatic , 自動
Automatic & Contrast Mask , オートマチック＆コントラストマスク
Automatic [Scan All Hues] , 自動 [すべての色相をスキャン]
Automatic Color Balance , 自動カラーバランス
Automatic Depth Estimation , 自動深度推定
Automatic Upscale for Optimum Results , 最適な結果を得るための自動アップスケール
Autumn , 秋
Ava 614 , エヴァ614
Avalanche , 雪崩
Average , 平均値
Average 3x3 , 平均3x3
Average 5x5 , 平均5x5
Average 7x7 , 平均7x7
Average 9x9 , 平均9x9
Average RGB , 平均RGB
Average Smoothness , 平均平滑度
Avg , 平均
Avg / Max Weight , 平均/最大重量
Avg Branching , 平均支店数
Avg Left Angle (deg.) , 平均左角（deg.
Avg Length Factor (%) , 平均長さ係数(%)
Avg Right Angle (deg.) , 平均直角（deg.
Avg Thickness Factor (%) , 平均厚さ係数(%)
Axis , 軸
Azimuth , 方位角
Azrael 93 , アズラエル93
B&W , 白黒
B&W Pencil [Animated] , 白黒鉛筆 [アニメーション]
B&W Photograph , 白黒写真
B&W Stencil , 白黒ステンシル
B&W Stencil [Animated] , 白黒ステンシル[アニメーション]
B-Color Factor , Bカラーファクター
B-Color Shift , Bカラーシフト
B-Color Smoothness , B色の滑らかさ
B-Component , B成分
Background , 背景
Background Color , 背景色
Background Intensity , 背景強度
Background Point (%) , バックグラウンドポイント(%)
Backward , 後方
Backward Horizontal , 後方水平
Backward Vertical , 後方垂直
Balance , バランス
Balance Color , バランスカラー
Balance SRGB , バランスSRGB
Ball , ボール
Balloons , 風船
Balls , ボール
Band Width , バンド幅
Banding Denoise , バンディングデノワーズ
Bandpass , バンドパス
Bandwidth , 帯域幅
Barbara , バーバラ
Barbed Wire , 有刺鉄線
Barnsley Fern , バーンズリーファーン
Bars , バー
Base Reference Dimension , 基本基準寸法
Base Scale , ベーススケール
Base Thickness (%) , ベース厚さ(%)
Basic Adjustments , 基本的な調整
Batch Processing , バッチ処理
Bayer Filter , バイエルフィルター
Bayer Reconstruction , バイエル復興
Behind , 後ろ
Below , 以下
Berlin Sky , ベルリンの空
Best Match , ベストマッチ
Beta , ベータ
BG Textured , BG テクスチャ
Bi-Directional , 双方向
Bias , バイアス
Bicubic , バイキュービック
Bidirectional [Sharp] , 双方向 [シャープ]
Bidirectional [Smooth] , 双方向 [スムース]
Bidirectional Rendering , 双方向レンダリング
Bilateral , 二国間
Bilateral Radius , 両側半径
Binary , バイナリ
Binary Digits , 二進数
Bit Masking (End) , ビットマスキング（終了
Bit Masking (Start) , ビットマスキング（開始
Black , ブラック
Black & White , ブラック＆ホワイト
Black & White (25) , ブラック＆ホワイト (25)
Black & White-1 , ブラック＆ホワイト-1
Black & White-10 , ブラック＆ホワイト10
Black & White-2 , ブラック＆ホワイト2
Black & White-3 , ブラック＆ホワイト3
Black & White-4 , ブラック＆ホワイト4
Black & White-5 , ブラック＆ホワイト5
Black & White-6 , ブラック＆ホワイト6
Black & White-7 , ブラック＆ホワイト7
Black & White-8 , ブラック＆ホワイト8
Black & White-9 , ブラック＆ホワイト9
Black Crayon Graffiti , ブラッククレヨングラフィティ
Black Dices , ブラックダイス
Black Level , ブラックレベル
Black on Transparent , 透明な上に黒
Black on Transparent White , 透明な白地に黒
Black on White , 白地に黒
Black Point , ブラックポイント
Black Star , ブラックスター
Black to White , 黒から白へ
Blacks , 黒子
Blade Runner , ブレードランナー
Blank , ブランク
Bleach Bypass , ブリーチバイパス
Bleach Bypass 1 , 漂白剤バイパス1
Bleach Bypass 2 , 漂白剤バイパス2
Bleach Bypass 3 , ブリーチバイパス3
Bleach Bypass 4 , 漂白剤バイパス4
Bleech Bypass Green , ブリーチバイパスグリーン
Bleech Bypass Yellow 01 , ブリーチバイパス黄色 01
Blend , ブレンド
Blend [Average All] , ブレンド [すべて平均]
Blend [Edges] , ブレンド [エッジ]
Blend [Fade] , ブレンド [フェード]
Blend [Median] , ブレンド [中央値]
Blend [Seamless] , ブレンド【シームレス
Blend [Standard] , ブレンド [スタンダード]
Blend All Layers , すべてのレイヤーをブレンド
Blend Decay , ブレンドディケイ
Blend Mode , ブレンドモード
Blend Rays , ブレンドレイ
Blend Scales , ブレンドスケール
Blend Size , ブレンドサイズ
Blend Threshold , ブレンドしきい値
Blending Mode , ブレンドモード
Blending Size , ブレンドサイズ
Blindness Type , 盲目のタイプ
Blob 1 , ブロブ1
Blob 1 Color , ブロブ1色
Blob 10 , ブロブ10
Blob 10 Color , ブロブ10色
Blob 11 , ブロブ11
Blob 11 Color , ブロブ11色
Blob 12 , ブロブ12
Blob 12 Color , ブロブ12色
Blob 2 Color , ブロブ2色
Blob 3 , ブロブ3
Blob 3 Color , ブロブ3色
Blob 4 , ブロブ4
Blob 4 Color , ブロブ4色
Blob 5 , ブロブ5
Blob 5 Color , ブロブ5色
Blob 6 , ブロブ6
Blob 6 Color , ブロブ6色
Blob 7 , ブロブ7
Blob 7 Color , ブロブ7色
Blob 8 , ブロブ8
Blob 8 Color , ブロブ8色
Blob 9 , ブロブ9
Blob 9 Color , ブロブ9色
Blob Size , ブロブサイズ
Blob2 , ブロブ2
Blobs Editor , ブロブエディタ
Bloc , ブロック
Bloc Size (%) , ブロックサイズ(%)
Blockism , ブロッキング
Bloom , ブルーム
Blue , 青色
Blue & Red Chrominances , ブルー＆レッドクロミナンス
Blue Chroma Factor , ブルークロマファクター
Blue Chroma Shift , ブルークロマシフト
Blue Chroma Smoothness , ブルークロマスムースネス
Blue Chrominance , ブルークロミナンス
Blue Cold Fade , ブルーコールドフェード
Blue Dark , ブルーダーク
Blue Factor , ブルーファクター
Blue House , ブルーハウス
Blue Ice , ブルーアイス
Blue Level , ブルーレベル
Blue Mono , ブルーモノ
Blue Rotations , ブルーローテーション
Blue Screen Mode , ブルースクリーンモード
Blue Shadows 01 , 青い影 01
Blue Shift , ブルーシフト
Blue Smoothness , ブルーの滑らかさ
Blue Steel , ブルースチール
Blue Wavelength , 青色の波長
Blue-Green , ブルーグリーン
Blues , ブルース
Blur , ぼかし
Blur [Angular] , ぼかし [Angular]
Blur [Bloom] , ぼかし [ブルーム]
Blur [Depth-Of-Field] , ぼかし [被写界深度]
Blur [Gaussian] , ぼかし [ガウシアン]
Blur [Glow] , ぼかし[グロー]
Blur [Linear] , ぼかし [リニア]
Blur [Multidirectional] , ぼかし [多方向]
Blur [Radial] , ぼかし [放射状]
Blur Alpha , ぼかしアルファ
Blur Amount , ぼかし量
Blur Amplitude , ぼかしの振幅
Blur Dodge and Burn Layer , ダッジとバーンのレイヤーをぼかす
Blur Factor , ぼかし要素
Blur Frame , ぼかしフレーム
Blur Percentage , ぼかし率
Blur Precision , ぼかし精度
Blur Shade , ぼかしシェード
Blur Standard Deviation , ぼかし標準偏差
Blur Strength , ぼかしの強さ
Blur the Mask , マスクをぼかす
Boats , ボート
Bob Ford , ボブ・フォード
Bokeh , ボケ
Boost , ブースト
Boost Chromaticity , ブースト色度
Boost Contrast , ブーストコントラスト
Boost Smooth , ブーストスムース
Boost Stroke , ブーストストローク
Boost-Fade , ブーストフェード
Border Color , ボーダーカラー
Border Opacity , ボーダー不透明度
Border Outline , ボーダーの概要
Border Smoothness , ボーダーの滑らかさ
Border Thickness (%) , 境界厚さ(%)
Border Width , ボーダー幅
Both , 両方とも
Bottles , ボトル
Bottom , 底部
Bottom and Left Foreground , 底面と左前景
Bottom and Right Foreground , 底面と右前景
Bottom and Top Foreground , 底面と上面の前景
Bottom Layer , 底面層
Bottom Left , 左下
Bottom Right , 右下
Bottom Size , 底面サイズ
Bottom-Left , 左下
Bottom-Left Vertex (%) , 左下頂点 (%)
Bottom-Right , 右下
Bottom-Right Vertex (%) , 右下頂点(%)
Bouncing Balls , 跳ねるボール
Boundaries (%) , 境界線(%)
Boundary , 境界線
Boundary Condition , 境界条件
Boundary Conditions , 境界条件
Bourbon 64 , バーボン64
Box , ボックス
Box Fitting , ボックスフィッティング
Box2x , ボックス2x
Branches , 枝
Braque: Landscape near Antwerp , ブラクアントワープ近郊の風景
Braque: Le Viaduc à L'Estaque , ブラクル・ヴィアドゥック＆グラーヴ; L'Estaque
Braque: Little Bay at La Ciotat , ブラクラ・ジョタのリトルベイ
Braque: The Mandola , ブラクマンドラ
Brighness , 厳しさ
Bright , 明るい
Bright Green , ブライトグリーン
Bright Green 01 , ブライトグリーン01
Bright Length , 明るい長さ
Bright Pixels , 明るいピクセル
Bright Teal Orange , ブライトティールオレンジ
Bright Warm , 明るい暖かさ
Brighter , より明るく
Brightness , 明るさ
Brightness (%) , 輝度(%)
Bristle Size , ブリストルサイズ
Bronze , ブロンズ
Brownish , 茶色っぽい
Brushify , ブラッシフィ
Built-in Gray , 内蔵グレー
Bump Factor , バンプファクター
Bump Map , バンプマップ
Burn , バーン
Burn Blur , バーンブラー
Burn Strength , バーンの強さ
Butterfly , 蝶
By Blue Chrominance , ブルークロミナンスで
By Blue Component , ブルーコンポーネント
By Custom Expression , カスタム表現で
By Green Component , グリーンコンポーネント
By Iteration , イテレーション
By Lightness , 軽さで
By Luminance , ルミナンスで
By Red Chrominance , 赤色のクロミナンス
By Red Component , レッドコンポーネント
By Value , 金額別
Byers 11 , バイヤーズ11
C[Magenta]YK , C[マゼンタ]YK
Camera Motion Only , カメラモーションのみ
Camera X , カメラX
Camera Y , カメラY
Cameraman , カメラマン
Camouflage , カモフラージュ
Candle Light , キャンドルライト
Canvas , キャンバス
Canvas Brightness , キャンバスの明るさ
Canvas Color , キャンバスカラー
Canvas Darkness , キャンバスの闇
Canvas Texture , キャンバスのテクスチャ
Car , 車
Card Suits , カードスーツ
Caribe , カリベ
Cartesian Transform , デカルト変換
Cartoon , 漫画
Cartoon [Animated] , 漫画 [アニメ]
Cat , 猫
Category , カテゴリー
Cell Size , セルサイズ
Center , センター
Center (%) , センター(%)
Center Background , センター背景
Center Foreground , 中央前景
Center Help , センターヘルプ
Center Size , センターサイズ
Center Smoothness , センター平滑度
Center X , センターX
Center X-Shift , センターXシフト
Center Y , センターY
Center Y-Shift , センターYシフト
Centering (%) , センタリング(%)
Centering / Scale , センタリング/スケール
Centers Color , センターカラー
Centers Radius , センター半径
Centimeter , センチ
Central  Perspective Outdoor , 中央視点のアウトドア
Central Perspective Indoor , 中央展望インドア
Central Perspective Outdoor , 中央視点のアウトドア
Centre , センター
Chalk It Up , チョークアップ
Channel #1 , チャンネル#1
Channel #2 , チャンネル #2
Channel #3 , チャンネル#3
Channel Processing , チャネル処理
Channel(s) , チャンネル
Channels , チャンネル
Channels to Layers , チャンネルからレイヤーへ
Charcoal , 木炭
Charset , 文字セット
Chebyshev , チェビシェフ
Checkered , チェック柄
Checkered Inverse , チェッカー逆
Chemical 168 , ケミカル168
Chessboard , チェスボード
Chick , ひよこ
Chroma , クロマ
Chroma Noise , クロマノイズ
Chromatic Aberrations , 色収差
Chromaticity From , 色度から
Chrome 01 , クロム01
Chrominances Only (ab) , クロミナンスのみ(ab)
Chrominances Only (CbCr) , クロミナンスのみ(CbCr)
Cine Basic , シネベーシック
Cine Bright , シネ・ブライト
Cine Cold , シネコールド
Cine Drama , シネドラマ
Cine Teal Orange 1 , シネ・ティールオレンジ1
Cine Teal Orange 2 , シネ・ティールオレンジ2
Cine Vibrant , シネ・バイブラント
Cine Warm , シネ・ウォーム
Cinema , 映画館
Cinema 2 , シネマ2
Cinema 3 , シネマ3
Cinema 4 , シネマ4
Cinema 5 , シネマ5
Cinema Noir , シネマノワール
Cinematic (8) , シネマティック (8)
Cinematic for Flog , フログのためのシネマティック
Cinematic Lady Bird , シネマティック レディバード
Cinematic Mexico , シネマティック・メキシコ
Cinematic Travel (29) , 映画の旅 (29)
Cinematic-01 , シネマティック01
Cinematic-02 , シネマティック-02
Cinematic-03 , シネマティック-03
Cinematic-1 , シネマティック-1
Cinematic-10 , シネマティック10
Cinematic-2 , シネマティック-2
Cinematic-3 , シネマティック-3
Cinematic-4 , シネマティック4
Cinematic-5 , シネマティック・ファイブ
Cinematic-6 , シネマティック-6
Cinematic-7 , シネマティック7
Cinematic-8 , シネマティック8
Cinematic-9 , シネマティック9
Circle , 円
Circle (Inv.) , 円（Inv.
Circle 1 , 円 1
Circle 2 , サークル2
Circle Abstraction , 円の抽象化
Circle Art , サークルアート
Circle to Square , 円から四角へ
Circle Transform , サークル変換
Circles , 円
Circles (Outline) , 円（概要
Circles 1 , 円 1
Circles 2 , 円 2
Circular , 円形
City 7 , シティ7
Clarity , 明快さ
Classic Chrome , クラシッククローム
Classic Teal and Orange , クラシックティールとオレンジ
Clayton 33 , クレイトン33
Clean , 清潔な
Clean Text , クリーンなテキスト
Clear Control Points , コントロールポイントを明確にする
Clear Teal Fade , クリアティールフェード
Cliff , 崖
Clip , クリップ
Clip CMYK , クリップCMYK
Clip RGB , クリップRGB
Closeup , クローズアップ
Closing , クロージング
Closing - Opening , クロージング - オープニング
Closing - Original , クロージング - オリジナル
Clouds , 雲
Clouseau 54 , クルソー 54
CLUT from After - Before Layers , 後からのCLUT - レイヤーの前
CLUT Opacity , CLUT 不透明度
CM[Yellow]K , CM[黄]K
CMY , ＣＭＹ
CMY[Key] , CMY[キー]
CMYK , シーエムワイケー
CMYK [cyan] , CMYK [シアン]
CMYK [Key] , CMYK [キー]
CMYK [Magenta] , CMYK [マゼンタ]
CMYK [Yellow] , CMYK [イエロー]
