Light , Légère , Comic Book
None , Aucune , Comic Book
For edges: , Pour les bords :
Hue Shift , Décalage de teinte
Frame Size , Taille du cadre
Color Model , Modèle de couleurs
Torus , Tore
Brightness , Luminosité
Grayscale , Niveaux de gris
Curvature , Courbure
Background Color , Couleur de fond
Grainextract , Exttraction de grain
Disable , Désactiver
Number of Tones , Nombre de tons
Scale (%) , Échelle (%)
Blank , Vierge
Pre-Normalize , Pré-normalise
Both , Les deux
Outline (%) , Liseret (%)
Output As , Sauve comme
Edge Thickness , Épaisseur du bord
Preview Shows , La prévisualisation montre
Starting Value , Valeur de départ
Automatic Depth Estimation , Estimation automatique de la profondeur
Ending Feathering , Fin d'adoucissement
Preview Guides , Guides sur la prévisualisation
Intensity , Intensité
Background , Fond
CMY , CMJ
Sharpening , Renforcement de la netteté
Cubic , Cubique
Revert Layers , Inverse les calques
Reverse Order , Inverse l'ordre
Minimal Area , Aire minimale
A Lot of Cyan , Beaucoup de Cyan
Mirror-Y , Mirroir-Y
Mirror-XY , Mirroir-XY
Little Cyan , Un peu de Cyan
X/Y-Ratio , Ratio-X/Y
X-Amplitude , Amplitude-X
Mask Dilation , Dilatation du masque
Little Yellow , Un peu de jaune
Y-Amplitude , Amplitude-Y
Light , Lumière
A Lot of Magenta , Beaucoup de magenta
A Lot of Yellow , Beaucoup de jaune
Mirror-X , Mirroir-X
Little Key , Un peu de noir
Little Magenta , Un peu de magenta
A Lot of Key , Beaucoup de noir
Lines , Lignes
Method , Méthode
Medium , Médium
Maximal Size , Taille maximale
Color Dispersion , Dispersion couleur
Color Doping , Dopage couleur
Low , Bas
Color Balance , Balance des couleurs
Color 2 , Couleur 2
Soft , Doux
Color 1 , Couleur 1
Output Format , Format de sortie
X-Factor , Facteur-X
Stars , Étoiles
Radius (%) , Rayon (%)
Central Perspective Indoor , Perspective centrale intérieure
Star , Étoile
Spread , Propagation
Human 1 , Humain 1
Coarse , Grossier
Specular Size , Taille spéculaire
Hue Band , Bande de teinte
Closing , Fermeture
Circles , Cercles
Spacing , Espacement
Some Blue , Un peu de bleu
Squares , Carrés
Lookup Size , Taille de la recherche
Some Green , Un peu de vert
Output as Separate Layers , Génère des calques séparés
Some Red , Un peu de rouge
Opening , Ouverture
Keep Iterations as Different Layers , Garde les itérations comme des calques différents
Linearlight , Lumière linéaire
Linearity , Linéarité
Linearburn , Brûlure linéaire
Bottom and Top Foreground , Avant-plan du haut et du bas
Bottom and Right Foreground , Avant-plan du bas et de droite
Bottom and Left Foreground , Avant-plan du bas et de gauche
Bottom Right , En bas à droite
Bottom Left , En bas à gauche
Blue & Red Chrominances , Chrominances bleues et rouges
Blend Size , Taille du mélange
Threshold (%) , Seuil (%)
Black on Transparent White , Noir sur blanc transparent
Noise Type , Type de bruit
Vignette Size , Taille de vignette
Vividlight , Lumière vive
Kernel , Noyau
Number of Orientations , Nombre d'orientations
Number of Levels , Numbre de niveaux
Text , Texte
Stencil Type , Type de pochoir
Input , Entrée
White on Transparent Black , Blanc sur noir transparent
Little Red , Un peu de rouge
Little Green , Un peu de vert
Starting Color , Couleur de départ
Local Detail Enhancer , Rehausseur de détails local
Center Foreground , Centre l'avant-plan
Center Background , Centre l'arrière-plan
Width (%) , Largeur (%)
Little Blue , Un peu de bleu
Interlace Vertical , Entrelace verticalement
Interpolate , Interpole
Isotropic , Isotrope
Boundary Condition , Conditions aux bords
Optimized Lateral Inhibition , Inhibition latérale optimisée
Stroke Length , Longueur du trait
Weird , Étrange
Inter-Frames , Inter-Trames
Interlace Horizontal , Entrelace horizontalement
Color Temperature , Température couleur
Mask , Masque
Dithering , Tramage
Y-Shift , Décalage-Y
Y-Multiplier , Multiplicateur-Y
Edge-Oriented , Orienté contours
Preview Ref Point , Prévisualise point de réf
1st Color , 1ère couleur
Right Foreground , Avant-plan de droite
Saturation Correction , Correction de saturation
Deviation , Déviation
Details , Détails
Gamma Compensation , Compensation gamma
Scene Selector , Sélecteur de scènes
Minimal Size , Taille minimale
Full Bottom/top , Entier en haut/bas
2nd Color , 2ème couleur
Y-Factor , Facteur-Y
Flower , Fleur
Recursions , Récursions
Forward , En avant
Z-Size , Taille-Z
Zoom Factor , Facteur de zoom
Flip Left / Right , Basculement gauche/droite
Feature Analyzer Threshold , Seuil de l'analyseur de caractéristiques
Feature Analyzer Smoothness , Régularité de l'analyseur de caractéristiques
Reference Colors , Couleurs de référence
Ending Color , Couleur de fin
Yellow , Jaune
Frequency Analyzer , Analyseur de fréquence
Resolution (%) , Résolution (%)
Z-Offset , Décalage-Z
Pyramid , Pyramide
Z-Multiplier , Multiplicateur-Z
Regularization Iterations , Itérations de régularisation
Erosion , Érosion
Skip Others Steps , Passer les autres étapes
Pinlight , Lumière d'épingle
X-Shift , Décalage-X
Half Bottom/top , A moitié en haut/bas
Half Side  by Side , A moitié côte à côte
Plane , Avion
Gyroid , Gyroïde
Contour Threshold , Seuil de contour
X-Multiplier , Multiplicateur-X
Hexagon , Hexagone
High , Haut
Smoothing , Lissage
Color on White , Couleur sur blanc
Color Tolerance , Tolérance couleur
Colormap , Carte de couleurs
Hardmix , Mélange dur
Heart , Cœur
Hearts , Cœurs
Height (%) , Hauteur (%)
Delaunay-Guided , Guidé par Delaunay
Sepia , Sépia
Daylight Scene , Scène de jour
Detail , Détail
Depth Field Control , Contrôle du champ de profondeurs
Shadow , Ombre
Cup , Coupe
Shift , Décalage
Grid , Grille
DOF Analyzer , Analyseur DOF
Shadow Smoothness , Régularité de l'ombre
Shapeaverage , Moyenne sur la forme
Sharpen , Rendre net
Anaglyph Blue/yellow , Anaglyphe bleu/jaune
User-Defined , Définir par l'utilisateur
Left and Right Foreground , Avant-plan gauche et droite
Light Color , Couleur lumineuse
Top Left , Haut gauche
Top Right , Haut droite
Anaglyph Red/cyan , Anaglyphe rouge/cyan
Anaglyph Red/cyan Optimized , Anaglyphe rouge/cyan optimisé
Level , Niveau
Twirl , Tourbillon
Much Blue , Beaucoup de bleu
Angular , Anuglaire
Value Correction , Correction de valeur
Much Red , Beaucoup de rouge
Much Green , Beaucoup de vert
Lighter , Plus lumineux
Band Width , Largeur de bande
Anaglyph Green/magenta , Anaglyphe vert/magenta
Anaglyph Blue/yellow Optimized , Anaglyphe bleu/jaune optimisé
Top Layer Defines Object Texture , Le calque supérieur définit la texture de l'objet
Light Motive , Mobile léger
Allow Angle , Autorise un angle
Left and Right Background , Arrière-plan gauche et droite
Backward , En arrière
Multiplier , Multiplicateur
Anaglyph Glasses Adjustment , Ajustement des lunettes anaglyphes
Underwater , Sous l'eau
Left Diagonal Foreground , Avant-plan diagonal gauche
Unknown , Inconnu
X-Variations , Variations-X
Similarity Space , Espace de similarité
Sine , Sinus
Sine+ , Sinus+
Laplacian , Laplacien
Modern Film , Film moderne
Skin Estimation , Estimation de la peau
Small , Petit
Connectivity , Connectivité
X-Scale , Échelle-X
3rd Color , 3ème couleur
Skeleton , Squelette
Small (Faster) , Petit (plus rapide)
Luminance Factor , Facteur de luminance
Custom Layout , Disposition personnalisée
Shape Max0 , Max0 de forme
Shape Max , Max de forme
Shape Average0 , Moyenne de forme
Custom Kernel , Noyau personnalisé
Shape Min0 , Min0 de forme
Shape Min , Min de forme
Vector Painting , Peinture vectorielle
Shadows Threshold , Seuil des ombres
Shape Area Max , Aire max de forme
Shape Average , Moyenne de forme
Shape Area Min0 , Aire min0 de forme
Shape Area Min , Aire min de forme
Shape Area Max0 , Aire max0 de forme
Sharpen Details in Preview , Détails nets dans la prévisualisation
Sharpening Strength , Force de netteté
Sharpening Radius , Rayon de netteté
Shrink , Rétracte
Crop , Couper
Green Smoothness , Réularité verte
Mixer Mode , Mode de mixage
Gray , Gris
Graphic Colours , Couleurs graphiques
Array Mode , Mode de tableau
Coarsest (faster) , Plus grossier (rapide)
5th Color , 5ème couleur
Highlights Threshold , Seuil des tons clairs
Horizontal Amount , Quantité horizontale
Closing - Original , Fermeture - Original
Light Grey , Gris clair
X-Centering , Centrage-X
Pencil Amplitude , Amplitude du crayon
Soften , Plus doux
Color Burn , Brulûre des couleurs
Pea Soup , Soupe de pois
Alternating , En alternance
Some , Un peu
Color 3 , Couleur 3
Color 4 , Couleur 4
Horizontal Size (%) , Taille horizontale (%)
Hue Randomness (%) , Aléa de teinte (%)
Specular , Spéculaire
Spatial Variance , Variance spatiale
Paint , Peinture
Vertical Size (%) , Taille verticale (%)
Oversample , Sur-échantillonne
Human  2 , Humain 2
7th Color , 7ème couleur
Space , Espace
Allow Outer Blending , Autorise le mélange extérieur
Hot , Chaud
6th Color , 6ème couleur
Circle , Cercle
Spatial Scale , Echelle spatiale
Spatial Radius , Rayon spatial
Spatial Precision , Précision spatiale
Color Channels , Canaux couleurs
High (Slower) , Haut (plus lent)
Periods , Périodes
4th Color , 4ème couleur
Two Layers , Deux calques
Attenuation Near Center (%) , Atténuation près du centre (%)
Attenuation Decay , Décroissance de l'atténuation
Aspect Ratio , Rapport d'aspect
Pin Light , Lumière d'épingle
4096x4096 Layer , Calque 4096x4096
Smooth [Antialias] , Lisse [Anticrénelage]
Perserve Luminance , Préserve la luminance
Hard Mix , Mélange dur
Pentagon , Pentagone
Soft Dodge , Esquive douce
Soft Burn , Brûlure douce
Color Metric , Métrique couleur
Color Intensity , Intensité de couleur
512x512 Layer , Calque 512x512
Color Grading , Étalonnage couleur
Pencil Size , Taille du crayon
Highlight , Tons clairs
High Pass , Passe-haut
Color Smoothness , Régularité des couleurs
Color Space , Espace de couleurs
Color Spots + Extrapolated Colors + Lineart , Taches de couleurs + Couleurs extrapolées
Color Quantization , Quantification couleur
Pencil Smoother Sharpness , Netteté du lisseur de crayon
Low Frequency , Fréquence basse
Auto Balance , Balance automatique
Pencil Type , Type de crayon
Repeat [Memory Consuming!] , Répète [coûteux en mémoire!]
Frequency (%) , Fréquence (%)
Ending Point (%) , Point de fin
Enhance Details , Renforce les détails
Emboss , Gaufrage
Effect Strength , Force de l'effet
Angle Cut , Coupure d'angle
Primary Radius , Rayon primaire
Purple , Violet
Fractured Clouds , Nuages fragmentés
Exponential , Exponentiel
Expand , Étend
Equalize and Normalize , Égalise et normalise
Euclidean , Euclidéen
Preview Gradient , Prévisualise le gradient
Reverse Endianness , Inverse l'endianness
Masked Image , Image masquée
Masking , Masquage
Dynamic Range Increase , Augmente l'intervalle dynamique
Edge Sensitivity , Sensibilité au contours
Edge Threshold (%) , Seuil de contours (%)
Preview Precision , Précision de la prévisualisation
Edge Behavior X , Comportement du contour en X
Edge Behavior Y , Comportement du contour en Y
Preview Original , Prévisualise l'original
Reference Color , Couleur de référence
Range , Intervalle
Filling , Remplissage
Anaglyph Green/magenta Optimized , Anaglyphe vert/magenta optimisé
RGB[A] , RVB[A]
Median , Médian
Value Scale , Échelle de valeurs
Flip , Renverse
Maze Type , Type de labyrinthe
Fine Scale , Échelle fine
Finest (slower) , Le plus fin possible (plus lent)
Radius Cut , Coupe de rayon
Pencil Smoother Smoothness , Régularité du lisseur de crayon
First Offset , Premier décalage
Flag , Drapeau
Zoom Center , Centre du zoom
Zoom In , Zoome
Zoom Out , Dézoome
Red Smoothness , Régularité rouge
Fade End , Fin du fondu
Forward  Horizontal , Horizontal en avant
Fade Start , Début du fondu
Maximal Radius , Rayon maximal
Fractal Noise , Bruit fractal
Quadratic , Quadratique
Reduce Halos , Réduit les halos
Quantization , Quantification
Value Randomness (%) , Aléa des valeurs (%)
Maximum Dimension , Dimension maximale
Recovery , Récupération
Fast Resize , Redimensionnement rapide
Far Point Deviation , Déviation du point éloigné
Value Precision , Précision de la valeur
Quantize Colors , Quantifie les couleurs
Formula , Formule
Faded Print , Impression décolorée
Depth (%) , Profondeur ()
Any , N'importe lequel
Secondary Radius , Rayon secondaire
Second Offset , Second décalage
Y-Centering , Centrage-Y
Deformation Type , Type de déformation
Selected Color , Couleur sélectionnée
Much , Beaucoup
Minimal Region Area , Aire minimale de région
Fuzzyness , Fugacité
Scale Factor , Facteur d'échelle
Desaturate , Désature
Anti Alias , Anti-crénelage
Left  Foreground , Avant-plan gauche
Shade , Nuance
Dark Walls , Murs sombres
Darkness Level , Niveau d'obscurité
Dark Grey , Gris foncé
Dark  Motive , Motif obscur
Dark Color , Couleur sombre
Dark Edges , Contours sombres
Self , Soi
Default , Défaut
Decreasing , Décroissant
Seventies Magazine , Magazine 70's
Debug Font Size , Taille de la fonte de débogage
Anisotropic , Anisotrope
Angle Range , Intervalle d'angle
Precision (%) , Précision (%)
Rooster , Coq
Preprocessor Power , Puissance du préprocesseur
Pre-Normalize Image , Pré-normalise l'image
Display Debug Info on Preview , Affiche des infos de débogage sur la prévisualisation
Roundness , Rondeur
Power , Puissance
Angle Variations , Variations d'angle
Angle Inclinaison / Tilt , Inclinaison d'angle
Right Diagonal  Foreground , Avant-plan diagonal droit
Drawing Mode , Mode de dessin
Y-Variations , Variations-Y
Preprocessor Radius , Rayon du préprocesseur
Preserve Edges , Préserve les contours
Angular Precision , Précision angulaire
Full (Allows Multi-Layers) , Tous (autorise le multi-calques)
Saturation Randomness (%) , Aléa de la saturation (%)
Manual , Manuel
Save Gradient As , Sauve le gradient comme
Different Axis , Axe différent
Same Axis , Même axe
Y-Scale , Échelle-Y
Dilation - Original , Dilaté - Original
Map Tones , Projette les tons
Stardust , Poussière d'étoiles
Increasing , Augmentation
Black Point , Point noir
Central  Perspective Outdoor , Perspective centrale extérieure
Balance Color , Équilibre les couleurs
Starting Angle , Angle de départ
Blacks , Noirs
Wave , Vague
Vivid Light , Lumière vive
Vignette Max Radius , Rayon max de la vignette
LN Size , Taille LN
Tiles , Tuiles
Normalize Luma , Normalise la Luma
Vivid Edges , Contours vifs
Bottom , Bas
Operator , Opérateur
Original - Opening , Original - Ouverture
Original - Erosion , Original - Érosion
None (Allows Multi-Layers) , Aucun (autorise le multi-calques)
White Walls , Murs blancs
Blue Smoothness , Régularité bleue
Tiled Preview , Prévisualisation en tuiles
Whiter Whites , Blancs plus blancs
Most , Plus
Outline Size , Taille du liseret
Activate 'Pencil Smoother' , Active le 'Lisseur de crayon'
Night 01 , Nuit 01
Wavelet , Ondelette
Normalization , Normalisation
Inner Shade , Teinte intérieure
Inner Radius (%) , Rayon intérieur (%)
Inner Radius , Rayon intérieur
View Resolution , Résolution de la vue
Very High (Even Slower) , Très haut (encore plus lent)
Starting Point (%) , Point de départ (%)
Box , Boîte
Output Filename , Nom du fichier de sortie
Brighter , Plus lumineux
Thumbnail Size , Taille des vignettes
Balance , Équilibre
Line , Ligne
Normal Map , Carte normale
Octogon , Octogone
Local Contrast , Contraste local
Bandwidth , Largeur de bande
Absolute Value , Valeur absolue
Brush Diameter (px) , Diamètre de brosse (px)
Thinness , Finesse
Symmetry Sides , Cotés symétriques
Output Type , Type de sortie
Lineart + Color Spots + Extrapolated Colors , Lineart + Taches de couleurs + Couleurs extrapolées
Boost Contrast , Booste le contraste
Inside , A l'intérieur
Square to Circle , Carré en cercle
Thickness (%) , Épaisseur (%)
Bidirectional Rendering , Rendu bidirectionnel
Thickness (px) , Épaisseur (px)
Lightness Level , Niveau de luminosité
Symmetry , Symétrie
Input Type , Type d'entrée
8th Color , 8ème couleur
Stretch , Étire
Little , Petit
Bump Map , Carte d'élévation
Number , Nombre
Vignette Strength , Force de la vignette
Image Smoothness , Réularité de l'image
Stretch Contrast , Étire le contraste
Outer Radius , Rayon extérieur
Stroke Length (px) , Longueur de trait (px)
Aliasing , Crénelage
Tiny , Minuscule
Vignette Min Radius , Rayon min de la vignette
Blur Amplitude , Amplitude du lissage
Swap , Échange
Linear Light , Lumière linéaire
Number of Frames , Nombre de trames
Warm Vintage , Vintage chaud
Swap Colors , Échange les couleurs
Swap Layers , Échange les calques
Whirls , Tourbillons
Tone Mapping , Projection des tons
Linear Burn , Brûlure linéaire
Number of Key-Frames , Nombre de trames clés
Posterized Dithering , Tramage postérisé
Number of Iterations per Scale , Nombre d'itérations par échelle
Précision Détails / Details Scale , Détail/Échelle des précisions
Preview Frame Selection , Prévisualise la sélection des trames
Mineral Mosaic , Mosaïque minérale
Preview Detected Shapes , Prévisualise les formes détectées
Pre Normalize , Pré-normalise
Pow , Puissance
Pre-Defined Colormap , Palette de couleurs pré-définie
Preview Brush , Prévisualise la brosse
Number of Matches (Coarsest) , Nombre de correspondances (grossier)
Preview Color Mapping , Prévisualise la projection de couleurs
Pre-Gamma , Pré-Gamma
Preview Data , Prévisualise les données
Pre-Defined , Pré-défini
Object Animation , Animation de l'objet
Preview , Prévisualisation
Preliminary Y-Axis Scaling , Mise à l'échelle préliminaire selon l'axe Y
Object Tolerance , Tolérance de l'objet
Preview All Outputs , Prévisualise toutes les sorties
Object Ratio , Rapport d'aspect de l'objet
Preserve Alpha? , Préserve l'Alpha ?
Preserve Image Dimension , Préserve la dimension de l'image
Preserve Initial Brightness , Préserve la luminosité initiale
Number of Streaks , Nombre de traces
Preserve Range , Préserve l'intervalle
Preserve Canvas for Post Bump Mapping , Préserve le canvas pour l'après bump mapping
Preserve Covariance , Préserve la covariance
Number of Sizes , Nombre de tailles
Number of Teeth , Nombre de dents
Preliminary X-Axis Scaling , Mise à l'échelle préliminaire suivant l'axe X
Minesweeper , Démineur
Preserve Luminance , Préserve la luminance
Min Length (%) , Longueur min (%)
Min Offset (%) , Décalage min (%)
Min Detail Level , Niveau de détail min
Pre-Process , Pré-calcule
Number of Matches (Finest) , Nombre de correspondances (le plus fin)
Night 02 , Nuit 02
Preview Bands , Prévisualise les bandes
Octagon , Octagone
Preview Background , Prévisualise l'arrière plan
Preliminary Surface Shift , Décalage préliminaire de la surface
Predefined Formula , Formule pré-définie
MinRGB , MinRVB
Predefined Style , Style pré-defini
Min Radius , Rayon min
Minimal Shape Area , Aire minimale de forme
One Layer per Single Color , Un calque par couleur différente
One Layer (Vertical) , Un calque (vertical)
One Layer per Single Region , Un calque par région différente
Minimal Size (%) , Taille minimale (%)
Only Leafs , Seulement les feuilles
One Layer , Un calque
Once Upon a Time , Il était une fois
Minimal Scale (%) , Échelle minimale (%)
