<b>Arrays & Tiles</b> , <b>Arrays & Ladrilhos</b>
Angle Variations , Variações angulares
Anguish , Angústia
Angular Precision , Precisão Angular
Angular Tiles , Ladrilhos Angulares
Anisotropic , Anisotrópico
Anisotropy , Anisotropia
Annular Steiner Chain Round Tiles , Pisos Anulares de Corrente de Steiner Round Tiles
Anti Alias , Anti-Pseudónimo
Anti-Ghosting , Anti-Fantasma
Antisymmetry , Anti-simetria
Any , Qualquer
Apocalypse This Very Moment , Apocalypse Este Mesmo Momento
Apples , Maçãs
Apply Adjustments On , Aplicar Ajustamentos em
Apply Color Balance , Aplicar Equilíbrio de Cores
Apply External CLUT , Aplicar o CLUT externo
Apply Mask , Aplicar Máscara
Apply Skin Tone Mask , Aplicar Máscara de Tom de Pele
Apply Transformation From , Aplicar Transformação de
Aqua and Orange Dark , Aqua e Orange Dark
Arabica 12 , Arábica 12
Area , Área
Area Smoothness , Suavidade da área
Areas Light Adjustment , Ajuste de Luzes de Áreas
Areas Smoothness , Suavidade das áreas
Array [Faded] , Array [Desbotado]
Array [Mirrored] , Array [Espelhado]
Array [Random Colors] , Array [Cores Aleatórias]
Array Mode , Modo Array
Arrows , Setas
Arrows (Outline) , Setas (Esboço)
Artistic  Modern , Moderno Artístico
Artistic Hard , Duro Artístico
Ascii Art , Arte Ascii
Aspect , Aspecto
Aspect Ratio , Rácio de Aspecto
Associated Color , Cor associada
Astia , Ástia
Attenuation , Atenuação
Australia , Austrália
Auto Balance , Equilíbrio Automóvel
Auto Crop , Cultura Automóvel
Auto Reduce Level (Level Slider Is Disabled) , Nível de Redução Automática (Level Slider Is Disabled)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Auto Set Hue Inverse (Deslizador de matizes está desactivado)
Auto-Clean Bottom Color Layer , Camada de cor de fundo auto-limpante
Auto-Reduce Number of Frames , Auto-Reduzir o número de molduras
Auto-Set Periodicity , Periodicidade Auto-Set
Autocrop Output Layers , Camadas de saída de autocultivo
Automatic , Automático
Automatic & Contrast Mask , Máscara Automática e de Contraste
Automatic [Scan All Hues] , Automático [Scan All Hues]
Automatic Color Balance , Balanço de cor automático
Automatic Depth Estimation , Estimativa automática da profundidade
Automatic Upscale for Optimum Results , Upscale automático para resultados óptimos
Autumn , Outono
Average , Média
Average 3x3 , Média 3x3
Average 5x5 , Média 5x5
Average 7x7 , Média 7x7
Average 9x9 , Média 9x9
Average RGB , Média RGB
Average Smoothness , Suavidade média
Avg / Max Weight , Avg / Peso máximo
Avg Left Angle (deg.) , Avg Ângulo Esquerdo (deg.)
Avg Length Factor (%) , Factor de Comprimento Avg (%)
Avg Right Angle (deg.) , Avg ângulo recto (deg.)
Avg Thickness Factor (%) , Factor de Espessura Média (%)
Axis , Eixo
Azimuth , Azimute
B&W , P&B
B&W Pencil [Animated] , Lápis P&B [Animado]
B&W Photograph , Fotografia a preto e branco
B&W Stencil [Animated] , B&W Stencil [Animado]
B-Color Factor , Fator B-Cor
B-Color Shift , Turno de cor B
B-Color Smoothness , Suavidade da cor B
B-Component , B-Componente
Background , Antecedentes
Background Color , Cor de fundo
Background Intensity , Intensidade de fundo
Background Point (%) , Ponto de fundo (%)
Backward , Para trás
Backward Horizontal , Horizontal para trás
Backward Vertical , Vertical para trás
Balance , Balanço
Balance Color , Equilibrar Cor
Balance SRGB , Balanço SRGB
Ball , Bola
Balloons , Balões
Balls , Bolas
Band Width , Largura de banda
Banding Denoise , Faixa Denoise
Bandwidth , Largura de banda
Barbara , Bárbara
Barbed Wire , Arame Farpado
Barnsley Fern , Ferna de Cevada
Bars , Bares
Base Reference Dimension , Dimensão de referência de base
Base Scale , Balança de base
Base Thickness (%) , Espessura de base (%)
Basic Adjustments , Ajustes básicos
Batch Processing , Processamento por lotes
Bayer Filter , Filtro Bayer
Bayer Reconstruction , Reconstrução da Bayer
Behind , Atrás de
Below , Abaixo
Berlin Sky , Céu de Berlim
Best Match , Melhor Partida
BG Textured , BG Texturizado
Bi-Directional , Bi-Direccional
Bias , Viés
Bicubic , Bicúbico
Bidirectional [Sharp] , Bidireccional [Sharp]
Bidirectional [Smooth] , Bidireccional [Liso]
Bidirectional Rendering , Renderização Bidireccional
Bilateral Radius , Raio Bilateral
Binary , Binário
Binary Digits , Dígitos Binários
Bit Masking (End) , Mascaramento de bits (Fim)
Bit Masking (Start) , Mascaramento de bits (Start)
Black , Preto
Black & White , Preto e Branco
Black & White (25) , Preto e Branco (25)
Black & White-1 , Preto e Branco-1
Black & White-10 , Preto e Branco-10
Black & White-2 , Preto e Branco-2
Black & White-3 , Preto e Branco-3
Black & White-4 , Preto e Branco-4
Black & White-5 , Preto e Branco-5
Black & White-6 , Preto e Branco-6
Black & White-7 , Preto e Branco-7
Black & White-8 , Preto e Branco-8
Black & White-9 , Preto e Branco-9
Black Crayon Graffiti , Grafite de Giz de cera preto
Black Dices , Dados Pretos
Black Level , Nível Preto
Black on Transparent , Preto sobre Transparente
Black on Transparent White , Preto sobre Branco Transparente
Black on White , Preto sobre Branco
Black Point , Ponto Negro
Black Star , Estrela Negra
Black to White , Preto para Branco
Blacks , Negros
Blade Runner , Corredor de Lâmina
Blank , Em branco
Bleech Bypass Green , Bleech Bypass Verde
Blend , Mistura
Blend [Average All] , Misturar [Média de todos]
Blend [Edges] , Misturar [Bordaduras]
Blend [Fade] , Misturar [Fade]
Blend [Median] , Misturar [Mediana]
Blend [Seamless] , Mistura [Seamless]
Blend [Standard] , Mistura [Standard]
Blend All Layers , Misturar todas as camadas
Blend Decay , Decadência da mistura
Blend Mode , Modo de mistura
Blend Rays , Raios de mistura
Blend Scales , Balanças de mistura
Blend Size , Tamanho da mistura
Blend Threshold , Limiar de Mistura
Blending Mode , Modo de mistura
Blending Size , Tamanho da mistura
Blindness Type , Tipo de cegueira
Blob 1 Color , Blob 1 Cor
Blob 10 Color , Blob 10 Cor
Blob 11 Color , Blob 11 Cor
Blob 12 Color , Blob 12 Cor
Blob 2 Color , Blob 2 Cor
Blob 3 Color , Blob 3 Cor
Blob 4 Color , Blob 4 Cor
Blob 5 Color , Blob 5 Cor
Blob 6 Color , Blob 6 Cor
Blob 7 Color , Blob 7 Cor
Blob 8 Color , Blob 8 Cor
Blob 9 Color , Blob 9 Cor
Blob Size , Tamanho da bolha
Blobs Editor , Editor de Blobs
Bloc , Bloco
Bloc Size (%) , Tamanho do Bloco (%)
Blockism , Obstrucionismo
Blue , Azul
Blue & Red Chrominances , Crominâncias Azul e Vermelho
Blue Chroma Factor , Factor Croma Azul
Blue Chroma Smoothness , Suavidade de Croma Azul
Blue Chrominance , Crominância Azul
Blue Cold Fade , Desbotamento Azul Frio
Blue Dark , Azul Escuro
Blue Factor , Fator Azul
Blue House , Casa Azul
Blue Ice , Gelo Azul
Blue Level , Nível Azul
Blue Mono , Mono Azul
Blue Rotations , Rotações azuis
Blue Screen Mode , Modo ecrã azul
Blue Shadows 01 , Sombras Azuis 01
Blue Shift , Turno Azul
Blue Smoothness , Suavidade azul
Blue Steel , Aço Azul
Blue Wavelength , Comprimento de onda azul
Blue-Green , Azul-Verde
Blur , Borrão
Blur [Angular] , Borrão [Angular]
Blur [Bloom] , Borrão [Bloom]
Blur [Depth-Of-Field] , Borrão [Depth-Of-Field]
Blur [Gaussian] , Borrão [Gaussiano]
Blur [Glow] , Borrão [Borrão]
Blur [Linear] , Desfoque [Linear]
Blur [Multidirectional] , Desfoque [Multidireccional]
Blur [Radial] , Borrão [Radial]
Blur Alpha , Borrão Alfa
Blur Amount , Montante de desfocagem
Blur Amplitude , Amplitude de borrão
Blur Dodge and Burn Layer , Camada de Queimadura e Queimadura
Blur Factor , Factor de desfocagem
Blur Frame , Moldura borrada
Blur Percentage , Percentagem de desfocagem
Blur Precision , Precisão de borrão
Blur Shade , Sombra de borrão
Blur Standard Deviation , Desvio Padrão Borrão
Blur Strength , Força de desfocagem
Blur the Mask , Desfoque a Máscara
Boats , Barcos
Boost , Impulso
Boost Chromaticity , Impulsionar a cromaticidade
Boost Contrast , Contraste de Impulso
Boost Stroke , AVC de Impulso
Border Color , Cor da fronteira
Border Opacity , Opacidade das fronteiras
Border Outline , Esboço de fronteira
Border Smoothness , Suavidade da fronteira
Border Thickness (%) , Espessura da fronteira (%)
Border Width , Largura da fronteira
Both , Ambos
Bottles , Garrafas
Bottom , Fundo
Bottom and Left Foreground , Primeiro plano e primeiro plano à esquerda
Bottom and Right Foreground , Fundo e Primeiro plano direito
Bottom and Top Foreground , Primeiro e último plano
Bottom Layer , Camada inferior
Bottom Left , Esquerda inferior
Bottom Right , Em baixo à direita
Bottom Size , Tamanho do fundo
Bottom-Left , Fundo-esquerda
Bottom-Left Vertex (%) , Vértice Inferior-Esquerdo (%)
Bottom-Right , Direita Inferior
Bottom-Right Vertex (%) , Vértice Inferior Direito (%)
Bouncing Balls , Bolas Saltitantes
Boundaries (%) , Limites (%)
Boundary , Limite
Boundary Condition , Condição de Limite
Boundary Conditions , Condições de fronteira
Box , Caixa
Box Fitting , Montagem de caixas
Branches , Sucursais
Braque: Landscape near Antwerp , Braque: Paisagem perto de Antuérpia
Braque: Little Bay at La Ciotat , Braque: Little Bay em La Ciotat
Braque: The Mandola , Braque: O Mandola
Brighness , Luminosidade
Bright , Brilhante
Bright Green , Verde Brilhante
Bright Green 01 , Verde Brilhante 01
Bright Length , Comprimento Brilhante
Bright Pixels , Pixels Brilhantes
Bright Teal Orange , Laranja de Teal Brilhante
Bright Warm , Brilhante Aquecimento
Brighter , Mais Brilhante
Brightness , Luminosidade
Brightness (%) , Luminosidade (%)
Bristle Size , Tamanho de cerda
Brownish , Castanho
Brushify , Escovar
Built-in Gray , Cinzento embutido
Bump Factor , Fator Bump
Bump Map , Mapa de Bump
Burn , Queimar
Burn Blur , Borrão de Queimadura
Burn Strength , Força de queima
Butterfly , Borboleta
By Blue Chrominance , Por Crominância Azul
By Blue Component , Por Componente Azul
By Custom Expression , Por Expressão Personalizada
By Green Component , Por Componente Verde
By Iteration , Por Iteração
By Lightness , Por Leveza
By Luminance , Por Luminance
By Red Chrominance , Por Crominância Vermelha
By Red Component , Por Componente Vermelha
By Value , Por Valor
Camera Motion Only , Apenas movimento da câmara
Camera X , Câmara X
Camera Y , Câmara Y
Cameraman , Operador de câmara
Camouflage , Camuflagem
Candle Light , Luz da vela
Canvas , Tela
Canvas Brightness , Luminosidade da tela
Canvas Color , Cor da tela
Canvas Darkness , Escuridão da tela
Canvas Texture , Textura de tela
Car , Automóvel
Card Suits , Fatos de Cartão
Cartesian Transform , Transformação cartesiana
Cartoon , Desenho animado
Cartoon [Animated] , Desenho animado [Animado]
Cat , Gato
Category , Categoria
Cell Size , Tamanho da célula
Center , Centro
Center (%) , Centro (%)
Center Background , Antecedentes centrais
Center Foreground , Centro de Primeiro plano
Center Help , Centro de Ajuda
Center Size , Tamanho do centro
Center Smoothness , Suavidade do centro
Center X , Centro X
Center X-Shift , Centro X-Shift
Center Y , Centro Y
Center Y-Shift , Centro Y-Shift
Centering (%) , Centralização (%)
Centering / Scale , Centralização / Escala
Centers Color , Centros Cor
Centers Radius , Centros Radius
Centimeter , Centimetro
Central  Perspective Outdoor , Perspectiva Central Exterior
Central Perspective Indoor , Perspectiva Central Indoor
Central Perspective Outdoor , Perspectiva Central Exterior
Centre , Centro
Chalk It Up , Giz para cima
Channel #1 , Canal #1
Channel #2 , Canal #2
Channel #3 , Canal #3
Channel Processing , Processamento de canais
Channel(s) , Canal(es)
Channels , Canais
Channels to Layers , Canais para camadas
Charcoal , Carvão vegetal
Checkered Inverse , Xadrez Inverso
Chemical 168 , Químico 168
Chessboard , Tabuleiro de xadrez
Chick , Pinto
Chroma Noise , Ruído cromado
Chromatic Aberrations , Aberrações Cromáticas
Chromaticity From , Cromaticidade de
Chrome 01 , Crómio 01
Chrominances Only (ab) , Apenas crominâncias (ab)
Chrominances Only (CbCr) , Apenas Crominâncias (CbCr)
Cine Bright , Cine Brilhante
Cine Drama , Drama Cine
Cine Vibrant , Cine Vibrante
Cinematic (8) , Cinemática (8)
Cinematic for Flog , Cinematic para Flog
Cinematic Lady Bird , Pássaro Dama Cinematográfica
Cinematic Mexico , Cinematic México
Cinematic Travel (29) , Viagens Cinematográficas (29)
Circle , Círculo
Circle (Inv.) , Círculo (Inv.)
Circle 1 , Círculo 1
Circle 2 , Círculo 2
Circle Abstraction , Abstracção de Círculos
Circle Art , Arte em Círculo
Circle to Square , Círculo ao quadrado
Circle Transform , Transformação de Círculos
Circles , Círculos
Circles (Outline) , Círculos (Esboço)
Circles 1 , Círculos 1
Circles 2 , Círculos 2
City 7 , Cidade 7
Clarity , Clareza
Classic Chrome , Crómio Clássico
Classic Teal and Orange , Clássico Teal e Laranja
Clean , Limpar
Clean Text , Texto limpo
Clear Control Points , Pontos de Controlo Limpos
Closing , Encerramento
Closing - Opening , Encerramento - Abertura
Closing - Original , Encerramento - Original
Clouds , Nuvens
CLUT from After - Before Layers , CLUT de Depois - Antes das Camadas
CLUT Opacity , Opacidade da CLUT
CM[Yellow]K , CM[Amarelo]K
CMY[Key] , CMY[Chave]
CMYK [cyan] , CMYK [cian]
CMYK [Key] , CMYK [chave]
CMYK [Yellow] , CMYK [Amarelo]
CMYK Tone , Tom CMYK
Coarse , Grosseiro
Coarsest (faster) , Mais grosseiro (mais rápido)
Code , Código
Coefficients , Coeficientes
Coffee 44 , Café 44
Coherence , Coerência
Color , Cor
Color (rich) , Cor (rica)
Color 1 , Cor 1
Color 1 (Up/Left Corner) , Cor 1 (Canto superior/esquerdo)
Color 2 , Cor 2
Color 2 (Up/Right Corner) , Cor 2 (Canto direito/cima)
Color 3 , Cor 3
Color 3 (Bottom/Left Corner) , Cor 3 (Canto inferior/esquerdo)
Color 4 , Cor 4
Color 4 (Bottom/Right Corner) , Cor 4 (Fundo/Canto direito)
Color A , Cor A
Color Abstraction Opacity , Opacidade de Abstracção de Cor
Color Abstraction Paint , Tinta de Abstracção de Cor
Color B , Cor B
Color Balance , Equilíbrio de cores
Color Basis , Base de cor
Color Blending , Mistura de cores
Color Blindness , Cegueira por cor
Color Blue-Yellow , Cor Azul-amarelo
Color Boost , Impulso de cor
Color Burn , Queimadura por cor
Color C , Cor C
Color Channel  Smoothing , Alisamento de canais de cor
Color Channels , Canais de cor
Color D , Cor D
Color Dispersion , Dispersão de cor
Color Doping , Dopagem por cor
Color E , Cor E
Color Effect Mode , Modo Efeito Cor
Color F , Cor F
Color G , Cor G
Color Gamma , Gama de cor
Color Grading , Classificação de cor
Color Green-Magenta , Cor Verde-Magenta
Color Highlights , Destaques de cor
Color Image , Imagem a cores
Color Intensity , Intensidade da cor
Color Mask , Máscara de cor
Color Mask [Interactive] , Máscara de cor [Interactivo]
Color Median , Cor Mediana
Color Metric , Métrica de cor
Color Midtones , Meia cor de tons
Color Mode , Modo cor
Color Model , Modelo de cor
Color Negative , Cor Negativa
Color on White , Cor sobre branco
Color Overall Effect , Efeito global da cor
Color Presets , Predefinições de cor
Color Quantization , Quantização de cor
Color Rendering , Renderização de cores
Color Shading (%) , Sombreamento por cor (%)
Color Shadows , Sombras de cor
Color Smoothness , Suavidade de cor
Color Space , Espaço de cor
Color Spots + Extrapolated Colors + Lineart , Pontos de cor + Cores Extrapoladas + Lineart
Color Spots + Lineart , Spots de cor + Lineart
Color Strength , Resistência da cor
Color Temperature , Temperatura de cor
Color Tolerance , Tolerância de cor
Color Variation [Random -1] , Variação de cor [Random -1]
Colored Geometry , Geometria colorida
Colored Grain , Grão colorido
Colored Lineart , Lineart colorido
Colored on Black , Colorido a preto
Colored on Transparent , Colorido em Transparente
Colored Outline , Esboço colorido
Colored Pencils , Lápis coloridos
Colored Regions , Regiões coloridas
Colorful , Colorido
Colorful 0209 , Colorido 0209
Colorful Blobs , Blobs coloridos
Coloring , Coloração
Colorize [Interactive] , Colorir [Interactivo]
Colorize [Photographs] , Colorir [Fotografias]
Colorize [with Colormap] , Colorir [com Colormap]
Colorize Lineart [Auto-Fill] , Colorir Lineart [Auto-Preenchimento]
Colorize Lineart [Propagation] , Colorir Lineart [Propagação]
Colorize Lineart [Smart Coloring] , Colorir Lineart [Coloração Inteligente]
Colorize Mode , Modo Colorir
