<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
Colorize [Interactive] , Colorize [Interactive](着色[交互式])
Colorize [Photographs] , Colorize [Photographs](着色[照片])
Selective Desaturation , Selective Desaturation(选择性去饱和)
Kaleidoscope [Blended] , Kaleidoscope [Blended](万花筒[混合])
Dynamic Range Increase , Dynamic Range Increase(动态范围增加)
Sharpen [Unsharp Mask] , Sharpen [Unsharp Mask](锐化[不锐化蒙版])
Equation Plot [Y=f(X)] , Equation Plot [Y=f(X)](方程式图[Y = f(X)])
B&W Stencil [Animated] , B&W Stencil [Animated](黑白模板[动画])
Moir&eacute; Animation , Moir&eacute; Animation(摩尔纹动画)
Depth Map Construction , Depth Map Construction(深度图构建)
Logarithmic Distortion , Logarithmic Distortion(对数变形)
Thorn Fractal - Secant , Thorn Fractal - Secant(刺分形-割线)
Array [Random Colors] , Array [Random Colors](阵列[随机颜色])
Black Crayon Graffiti , Black Crayon Graffiti(黑色蜡笔涂鸦)
Polygonize [Delaunay] , Polygonize [Delaunay](多边形化[三角剖分])
Transfer Colors [PCA] , Transfer Colors [PCA](转移颜色[PCA])
Blur [Depth-Of-Field] , Blur [Depth-Of-Field](模糊[景深])
Chromatic Aberrations , Chromatic Aberrations(色彩畸变)
Sharpen [Gold-Meinel] , Sharpen [Gold-Meinel](锐化[Gold-Meinel])
Split Details [Alpha] , Split Details [Alpha](细节分离[Alpha])
Random Color Ellipses , Random Color Ellipses(随机颜色椭圆)
Inpaint [Multi-Scale] , Inpaint [Multi-Scale](修复[多尺度])
Inpaint [Patch-Based] , Inpaint [Patch-Based](修复[基于补丁])
Local Similarity Mask , Local Similarity Mask(局部相似度蒙版)
Smooth [Perona-Malik] , Smooth [Perona-Malik](光滑[Perona-Malik扩散系数])
B&W Pencil [Animated] , B&W Pencil [Animated](黑白铅笔[动画])
Hedcut (Experimental) , Hedcut (Experimental)(减去(实验))
Simple Local Contrast , Simple Local Contrast(简单的局部对比)
Kitaoka Spin Illusion , Kitaoka Spin Illusion(北冈旋转错觉)
Friends Hall of Fame , Friends Hall of Fame(朋友名人堂)
Posterized Dithering , Posterized Dithering(色调分离-抖动)
Equalize HSI-HSL-HSV , Equalize HSI-HSL-HSV(HSI-HSL-HSV平衡)
Select-Replace Color , Select-Replace Color(选择替换颜色)
Morphological Filter , Morphological Filter(形态学滤波)
Kaleidoscope [Polar] , Kaleidoscope [Polar](万花筒[极坐标])
Random Shade Stripes , Random Shade Stripes(随机阴影条纹)
Sharpen [Multiscale] , Sharpen [Multiscale](锐化[多标准])
Gradient [from Line] , Gradient [from Line](渐变[自直线])
Bayer Reconstruction , Bayer Reconstruction(拜耳重建)
Smooth [Anisotropic] , Smooth [Anisotropic](平滑[各向异性])
Smooth [Patch-Based] , Smooth [Patch-Based](平滑[基于补丁])
Lissajous [Animated] , Lissajous [Animated](利萨茹曲线/图形[动画])
Soft Glow [Animated] , Soft Glow [Animated](柔光[动画])
Normalize Brightness , Normalize Brightness(标准化亮度)
Custom Code [Global] , Custom Code [Global](自定义代码[全局])
Tiled Normalization , Tiled Normalization(平铺 常规)
Tiled Random Shifts , Tiled Random Shifts(平铺 随机移位)
Morphology Painting , Morphology Painting(形态学绘画)
Polygonize [Energy] , Polygonize [Energy](多边形化[强力])
Quadtree Variations , Quadtree Variations(四叉树变体)
Simple Noise Canvas , Simple Noise Canvas(简单噪波画布)
Apply External CLUT , Apply External CLUT(应用外部CLUT)
Specific Saturation , Specific Saturation(特定饱和度)
Cartesian Transform , Cartesian Transform(笛卡尔变换)
Morph [Interactive] , Morph [Interactive](变形[互动])
Flip & Rotate Blocs , Flip & Rotate Blocs(翻转与旋转)
Constrained Sharpen , Constrained Sharpen(约束锐化)
Local Normalization , Local Normalization(局部标准化)
Portrait Retouching , Portrait Retouching(人像修饰)
Tone Mapping [Fast] , Tone Mapping [Fast](色调映射[快速])
Blend [Average All] , Blend [Average All](混合[平均所有])
Multiscale Operator , Multiscale Operator(多尺寸操作)
Contrast Swiss Mask , Contrast Swiss Mask(Swiss 对比蒙版)
Illuminate 2D Shape , Illuminate 2D Shape(照亮2D形状)
Seamless Turbulence , Seamless Turbulence(无缝乱流)
Iain's Fast Denoise , Iain's Fast Denoise(Iain 快速降噪)
Red-Eye Attenuation , Red-Eye Attenuation(红眼衰减)
Smooth [Thin Brush] , Smooth [Thin Brush](光滑[细笔刷])
Upscale [Diffusion] , Upscale [Diffusion](Upscale [扩散])
Rodilius [Animated] , Rodilius [Animated](十字光闪耀[动画])
Sierpinski Triangle , Sierpinski Triangle(分形-谢尔宾斯基三角形)
Japanese Maple Leaf , Japanese Maple Leaf(日本枫叶)
3D Video Conversion , 3D Video Conversion(3D视频转换)
Temperature Balance , Temperature Balance(色温平衡)
Custom Code [Local] , Custom Code [Local](自定义代码[本地])
Export RGB-565 File , Export RGB-565 File(导出RGB-565文件)
Import RGB-565 File , Import RGB-565 File(导入RGB-565文件)
Circle Abstraction , Circle Abstraction(圆抽象)
Boost Chromaticity , Boost Chromaticity(提高饱和度)
Channel Processing , Channel Processing(通道处理)
Channels to Layers , Channels to Layers(分解RGB通道到图层)
Decompose Channels , Decompose Channels(分解通道)
Hue Lighten-Darken , Hue Lighten-Darken(色相-亮暗)
Distance Transform , Distance Transform(距离变换)
Warp [Interactive] , Warp [Interactive](扭曲变形[互动])
Pyramid Processing , Pyramid Processing(金字塔处理)
Crystal Background , Crystal Background(水晶背景)
Gradient [Corners] , Gradient [Corners](渐变[角])
Symmetric 2D Shape , Symmetric 2D Shape(对称的2D形状)
Smooth [Antialias] , Smooth [Antialias](平滑[抗锯齿])
Smooth [Bilateral] , Smooth [Bilateral](平滑[双边])
Smooth [Block PCA] , Smooth [Block PCA](平滑[PCA阻止])
Smooth [Diffusion] , Smooth [Diffusion](平滑[扩散])
Smooth [Patch-PCA] , Smooth [Patch-PCA](平滑[补丁-PCA])
3D Text Pointcloud , 3D Text Pointcloud(3D点云)
Cartoon [Animated] , Cartoon [Animated](卡通[动画])
Spatial Transition , Spatial Transition(空间转换)
Sharpen [Gradient] , Sharpen [Gradient](锐化[渐变])
Turbulent Halftone , Turbulent Halftone(乱流半色调)
Soft Random Shades , Soft Random Shades(柔和随机阴影)
Histogram Analysis , Histogram Analysis(直方图分析)
Pseudorandom Noise , Pseudorandom Noise(伪随机噪声)
Denoise Smooth Alt , Denoise Smooth Alt(平滑去噪[Alt])
Grid [Triangular] , Grid [Triangular](网格[三角形])
Tileable Rotation , Tileable Rotation(无缝旋转)
Diffusion Tensors , Diffusion Tensors(弥散张量)
Illustration Look , Illustration Look(插图外观)
Lylejk's Painting , Lylejk's Painting(Lylejk的绘画)
Photoillustration , Photoillustration(摄影插图)
Basic Adjustments , Basic Adjustments(基本调整)
Color Temperature , Color Temperature(色温)
Local Orientation , Local Orientation(局部方向)
Continuous Droste , Continuous Droste(连续德罗斯特递归)
Euclidean - Polar , Euclidean - Polar(欧几里得-极坐标)
Old-Movie Stripes , Old-Movie Stripes(旧电影条纹)
Visible Watermark , Visible Watermark(可见水印)
Warp by Intensity , Warp by Intensity(强力仿射变换)
Details Equalizer , Details Equalizer(细节平衡器)
Sharpen [Hessian] , Sharpen [Hessian](锐化[Hessian])
Sharpen [Texture] , Sharpen [Texture](锐化[纹理])
Fourier Transform , Fourier Transform(傅里叶变换)
Fourier Watermark , Fourier Watermark(傅里叶水印)
3D Colored Object , 3D Colored Object(3D彩色物体)
3D Random Objects , 3D Random Objects(3D随机物体)
Gradient [Linear] , Gradient [Linear](渐变[线性])
Gradient [Radial] , Gradient [Radial](渐变[径向])
Gradient [Random] , Gradient [Random](渐变[随机])
Remove Hot Pixels , Remove Hot Pixels(去除热点)
Smooth [NL-Means] , Smooth [NL-Means](平滑[非局部均值])
Smooth [Wavelets] , Smooth [Wavelets](平滑[小波])
Upscale [Scale2x] , Upscale [Scale2x](Upscale[Scale2x])
Easy Skin Retouch , Easy Skin Retouch(轻松磨皮)
Guided Light Rays , Guided Light Rays(引导光线)
Array [Mirrored] , Array [Mirrored](阵列[镜像])
Grid [Cartesian] , Grid [Cartesian](网格[笛卡尔])
Grid [Hexagonal] , Grid [Hexagonal](网格[六角形])
Multi-Layer Etch , Multi-Layer Etch(多层蚀刻)
Circle Transform , Circle Transform(圆变换)
Square to Circle , Square to Circle(方→圆)
Noise [Additive] , Noise [Additive](噪音[添加剂])
Local Processing , Local Processing(局部处理)
Sharpen [Deblur] , Sharpen [Deblur](锐化[去模糊])
Sharpen [Whiten] , Sharpen [Whiten](锐化[变白])
Frame [Painting] , Frame [Painting](边框[画框])
Fourier Analysis , Fourier Analysis(傅立叶分析)
Blend [Seamless] , Blend [Seamless](混合[无缝])
Blend [Standard] , Blend [Standard](混合[标准])
Colors to Layers , Colors to Layers(颜色→图层)
Slice Luminosity , Slice Luminosity(切割光度)
Recursive Median , Recursive Median(递归中值)
Edges [Animated] , Edges [Animated](边缘[动画])
Object Animation , Object Animation(物体动画)
Lenticular Print , Lenticular Print(透镜印刷)
Compression Blur , Compression Blur(压缩模糊)
Chalk It Up [Fr] , Chalk It Up [Fr](粉笔[Fr])
Array [Regular] , Array [Regular](阵列[常规])
Extract Objects , Extract Objects(提取对象)
Tiled Isolation , Tiled Isolation(平铺 隔离)
Colored Pencils , Colored Pencils(彩色铅笔)
Dream Smoothing , Dream Smoothing(梦幻平滑)
Highlight Bloom , Highlight Bloom(仿环境光遮蔽(仿AO))
Smooth Abstract , Smooth Abstract(平滑抽象)
Vector Painting , Vector Painting(矢量绘画)
Desaturate Norm , Desaturate Norm(去饱和度)
Pencil Portrait , Pencil Portrait(铅笔肖像)
Color Blindness , Color Blindness(色盲效果)
Polar Transform , Polar Transform(极坐标变换)
Blur [Gaussian] , Blur [Gaussian](模糊[高斯])
Oldschool 8bits , Oldschool 8bits(旧式8bits像素)
Texture Enhance , Texture Enhance(纹理增强)
Frame [Pattern] , Frame [Pattern](边框[图案])
Frame [Regular] , Frame [Regular](边框[常规])
Layers to Tiles , Layers to Tiles(图层→平铺)
Tiles to Layers , Tiles to Layers(平铺→图层)
Tones to Layers , Tones to Layers(色调→图层)
Equalize Shadow , Equalize Shadow(阴影平衡)
3D Image Object , 3D Image Object(3D贴图物体)
Quick Copyright , Quick Copyright(快速版权水印)
Banding Denoise , Banding Denoise(色带降噪)
Inpaint [Holes] , Inpaint [Holes](修复[穿孔])
Smooth [Guided] , Smooth [Guided](平滑[引导])
Smooth [Median] , Smooth [Median](平滑[中值])
Smooth [Wiener] , Smooth [Wiener](平滑[维纳滤波])
Sharpen [Tones] , Sharpen [Tones](锐化[色调])
Halftone Shapes , Halftone Shapes(半色调形状)
Popcorn Fractal , Popcorn Fractal(爆米花形)
Pythagoras Tree , Pythagoras Tree(毕达哥拉斯树)
Tune HSV Colors , Tune HSV Colors(调整HSV颜色)
Blur [Splinter] , Blur [Splinter](模糊[碎片])
Gmicky - Roddy , Gmicky - Roddy(小妖精-罗迪)
Privacy Notice , Privacy Notice(隐私声明)
Array [Random] , Array [Random](阵列[随机])
Tiled Rotation , Tiled Rotation(平铺 旋转)
Sharp Abstract , Sharp Abstract(锐化抽象)
Threshold Etch , Threshold Etch(阈值蚀刻)
Colorful Blobs , Colorful Blobs(七彩斑点)
Customize CLUT , Customize CLUT(自定义CLUT)
HSL Adjustment , HSL Adjustment(HSL调整)
Local Contrast , Local Contrast(局部对比)
Conformal Maps , Conformal Maps(保角映射)
Textured Glass , Textured Glass(肌理玻璃)
Blur [Angular] , Blur [Angular](模糊[旋转])
CRT Sub-Pixels , CRT Sub-Pixels(CRT子像素)
JPEG Artefacts , JPEG Artefacts(JPEG像素损失)
Mess with Bits , Mess with Bits(条纹干涉)
Noise [Perlin] , Noise [Perlin](噪声[柏林])
Noise [Spread] , Noise [Spread](噪声[扩散])
Self Glitching , Self Glitching(噪声干扰)
Freaky Details , Freaky Details(怪异的细节)
Mighty Details , Mighty Details(强大的细节)
Frame [Mirror] , Frame [Mirror](边框[镜面])
Frame [Smooth] , Frame [Smooth](边框[平滑])
Old Photograph , Old Photograph(旧照片)
Blend [Median] , Blend [Median](混合[中值])
Dodge and Burn , Dodge and Burn(减淡与加深)
Drop Shadow 3D , Drop Shadow 3D(投影3D)
Canvas Texture , Canvas Texture(画布纹理)
Mineral Mosaic , Mineral Mosaic(矿物镶嵌)
Neon Lightning , Neon Lightning(霓虹灯闪电)
Newton Fractal , Newton Fractal(牛顿分形)
Equalize Light , Equalize Light(均衡光)
Random Pattern , Random Pattern(随机图案)
Denoise Smooth , Denoise Smooth(平滑去噪)
Filter Design , Filter Design(过滤器设计)
Release Notes , Release Notes(发行说明)
Array [Faded] , Array [Faded](阵列[过度])
Drawn Montage , Drawn Montage(绘制蒙太奇)
Graphic Boost , Graphic Boost(图画增强)
Graphic Novel , Graphic Novel(图画小说)
Make Squiggly , Make Squiggly(不规则线条 )
Whirl Drawing , Whirl Drawing(旋转式绘图)
Black & White , Black & White(黑&白)
Color Balance , Color Balance(色彩平衡)
Color Grading , Color Grading(颜色分级)
Color Presets , Color Presets(色调预设[LUT])
Metallic Look , Metallic Look(金属质感)
Mixer [YCbCr] , Mixer [YCbCr](混合器[YCbCr])
Saturation EQ , Saturation EQ(饱和度均衡器)
Simulate Film , Simulate Film(模拟电影)
Vintage Style , Vintage Style(复古风格)
Edges Offsets , Edges Offsets(边缘偏移)
Gradient Norm , Gradient Norm(梯度范数)
Blur [Linear] , Blur [Linear](模糊[线性])
Blur [Radial] , Blur [Radial](模糊[径向])
Magic Details , Magic Details(魔术细节)
Frame [Fuzzy] , Frame [Fuzzy](边框[模糊])
Frame [Round] , Frame [Round](边框[圆])
Blend [Edges] , Blend [Edges](混合[边缘])
Freqy Pattern , Freqy Pattern(频率模式)
Paper Texture , Paper Texture(纸张纹理)
Periodic Dots , Periodic Dots(周期性点)
Seamless Deco , Seamless Deco(无缝装饰)
Stained Glass , Stained Glass(花窗玻璃)
Deinterlace2x , Deinterlace2x(反交错2x)
Pixel Denoise , Pixel Denoise(像素降噪)
Smooth [IUWT] , Smooth [IUWT](平滑[IUWT])
Smooth [Skin] , Smooth [Skin](光滑[皮肤])
Edges on Fire , Edges on Fire(边缘着火)
Shopping Cart , Shopping Cart(购物车)
Barnsley Fern , Barnsley Fern(分形-巴恩斯利蕨)
3D Conversion , 3D Conversion(3D转换)
Undo Anaglyph , Undo Anaglyph(消除立体成像)
Quick Tonemap , Quick Tonemap(快速色调图)
Moire Removal , Moire Removal(去除波纹)
UltraWarp++++ , UltraWarp++++(超级仿射变换++++)
Emboss-Relief , Emboss-Relief(浮雕)
Fragment Blur , Fragment Blur(片段模糊)
Denim Texture , Denim Texture(牛仔纹理)
Moon2panorama , Moon2panorama(Moon2全景)
Games & Demos , Games & Demos(游戏与演示)
Contributors , Contributors(贡献者)
Ellipsionism , Ellipsionism(椭圆主义)
Finger Paint , Finger Paint(手指画)
Hough Sketch , Hough Sketch(霍夫素描)
Poster Edges , Poster Edges(海报边缘)
Equalize HSV , Equalize HSV(HSV平衡)
Mixer [CMYK] , Mixer [CMYK](混合器[CMYK])
Tone Presets , Tone Presets(色调预设)
User-Defined , User-Defined(用户自定义)
Gradient RGB , Gradient RGB(渐变RGB)
Segmentation , Segmentation(分段)
Super-Pixels , Super-Pixels(超大像素)
Distort Lens , Distort Lens(镜头畸变)
Blur [Bloom] , Blur [Bloom](模糊[辉光])
Mask Creator , Mask Creator(蒙版创造者)
Tone Enhance , Tone Enhance(色调增强)
Tone Mapping , Tone Mapping(色调映射)
Frame [Blur] , Frame [Blur](边框[模糊背景])
Frame [Cube] , Frame [Cube](边框[立方体])
Align Layers , Align Layers(对齐图层)
Blend [Fade] , Blend [Fade](混合[渐隐])
Morph Layers , Morph Layers(变形图层)
Relief Light , Relief Light(缓和光线)
Shadow Patch , Shadow Patch(阴影光斑)
Bayer Filter , Bayer Filter(拜耳滤色镜)
Pack Sprites , Pack Sprites(包装精灵)
3D Elevation , 3D Elevation(3D高度)
3D Extrusion , 3D Extrusion(3D挤压)
Superformula , Superformula(超级方程式)
Dragon Curve , Dragon Curve(分形-龙形曲线)
Stereo Image , Stereo Image(立体图像)
Auto Balance , Auto Balance(自动平衡)
Twisted Rays , Twisted Rays(扭曲的光线)
Sample Image , Sample Image(样本图像)
Hypotrochoid , Hypotrochoid(圆内旋轮线)
About G'MIC , About G'MIC(关于G'MIC)
Hard Sketch , Hard Sketch(硬素描)
Hope Poster , Hope Poster(希望海报)
Pastell Art , Pastell Art(蜡笔艺术)
Pen Drawing , Pen Drawing(钢笔画)
B&W Stencil , B&W Stencil(黑白蜡纸)
Abstraction , Abstraction(抽象化)
Detect Skin , Detect Skin(检测皮肤)
Mixer [HSV] , Mixer [HSV](混合器[HSV])
Mixer [Lab] , Mixer [Lab](混合器[Lab])
Mixer [PCA] , Mixer [PCA](混合器[PCA])
Mixer [RGB] , Mixer [RGB](混合器[RGB])
Zone System , Zone System(分区曝光显影系统)
Perspective , Perspective(透视)
Blur [Glow] , Blur [Glow](模糊[发光])
Rain & Snow , Rain & Snow(雨雪)
Fade Layers , Fade Layers(渐隐图层)
Drop Shadow , Drop Shadow(投影)
Light Leaks , Light Leaks(漏光)
Light Patch , Light Patch(光斑)
Pop Shadows , Pop Shadows(流行阴影)
Box Fitting , Box Fitting(随机格框)
Shock Waves , Shock Waves(冲击波)
Deinterlace , Deinterlace(反交错)
Information , Information(信息)
Barbed Wire , Barbed Wire(铁丝网)
Paint Splat , Paint Splat(油漆喷溅)
De-Anaglyph , De-Anaglyph(去立体化)
JPEG Smooth , JPEG Smooth(JPEG平滑)
Snowflake 2 , Snowflake 2(雪花2)
Import Data , Import Data(导入数据)
Chessboard , Chessboard(棋盘)
Fractalize , Fractalize(分形)
Freaky B&W , Freaky B&W(怪异的黑白)
Boost-Fade , Boost-Fade(染色-褪色)
Brightness , Brightness(亮度)
HSV Select , HSV Select(HSV选择)
Retro Fade , Retro Fade(复古褪色)
Thin Edges , Thin Edges(细边)
Drop Water , Drop Water(滴水)
Quadrangle , Quadrangle(四边形)
Reflection , Reflection(反射)
Symmetrize , Symmetrize(对称化)
Pixel Sort , Pixel Sort(像素序列化)
DCP Dehaze , DCP Dehaze(DCP除雾)
YAG Effect , YAG Effect(YAG效果)
Light Glow , Light Glow(光辉)
Light Rays , Light Rays(光线)
Camouflage , Camouflage(迷彩伪装)
Polka Dots , Polka Dots(波卡尔圆点)
3D Lathing , 3D Lathing(3D车床加工)
Circle Art , Circle Art(圆形艺术)
Hair Locks , Hair Locks(发绺)
Shade Bobs , Shade Bobs(Shade Bobs分形)
Turbulence , Turbulence(湍流)
Clean Text , Clean Text(清理文本)
Kookaburra , Kookaburra(笑翠鸟)
Anti Alias , Anti Alias(抗锯齿)
Pixel Push , Pixel Push(像素推送)
Point Warp , Point Warp(点变形)
Paint Daub , Paint Daub(油漆涂抹)
Spiral RGB , Spiral RGB(螺旋RGB)
Solve Maze , Solve Maze(求解迷宫)
Sine Curve , Sine Curve(正弦曲线)
Ascii Art , Ascii Art(ASCII艺术)
Ministeck , Ministeck(小块拼贴(随机))
Posterize , Posterize(色调分离)
Dithering , Dithering(抖动)
CMYK Tone , CMYK Tone(CMYK调和)
Softlight , Softlight(柔光)
Curvature , Curvature(曲率)
Isophotes , Isophotes(等照度线)
Laplacian , Laplacian(拉普拉斯算子)
Raindrops , Raindrops(雨滴)
Seamcarve , Seamcarve(接缝裁剪)
Add Grain , Add Grain(添加颗粒)
Scanlines , Scanlines(扫描线)
High Pass , High Pass(高通)
Rorschach , Rorschach(罗夏)
3D Blocks , 3D Blocks(3D立方体化)
Lightning , Lightning(闪电)
Lissajous , Lissajous(利萨茹曲线/图形)
Despeckle , Despeckle(去斑)
Lava Lamp , Lava Lamp(熔岩灯)
Dragonfly , Dragonfly(蜻蜓)
Crosshair , Crosshair(十字准线)
Australia , Australia(澳大利亚)
Snowflake , Snowflake(雪花)
Brushify , Brushify(笔触感)
Felt Pen , Felt Pen(毡笔)
Kuwahara , Kuwahara(Kuwahara滤波)
Painting , Painting(油画)
Rodilius , Rodilius(罗迪留斯)
Shapeism , Shapeism(形状)
Charcoal , Charcoal(木炭)
Ink Wash , Ink Wash(油墨清洗)
Colormap , Colormap(色彩映射)
Contrast , Contrast(对比度)
Dark Sky , Dark Sky(阴暗的天光)
RGB Tone , RGB Tone(RGB调和)
Convolve , Convolve(卷积)
Skeleton , Skeleton(骨架)
Fish-Eye , Fish-Eye(鱼眼)
Spherize , Spherize(球形化)
Polaroid , Polaroid(宝丽来相机)
Vignette , Vignette(晕影/暗角)
Bandpass , Bandpass(带通)
Halftone , Halftone(半色调)
Descreen , Descreen(去除网点)
Solidify , Solidify(固化)
Unpurple , Unpurple(去紫)
3D Tiles , 3D Tiles(3D平铺)
Gum Leaf , Gum Leaf(口香糖叶)
Blockism , Blockism(块面化)
Nebulous , Nebulous(星云状的)
Skeletik , Skeletik(骨骼/骨架)
Intarsia , Intarsia(嵌花编织)
Montage , Montage(蒙太奇)
Cartoon , Cartoon(卡通)
Stylize , Stylize(风格化)
Engrave , Engrave(雕刻)
Retinex , Retinex(人眼感知范围[Retinex])
Make Up , Make Up(补偿)
Texture , Texture(纹理)
Crystal , Crystal(水晶)
Stencil , Stencil(模版)
Truchet , Truchet(特鲁谢拼贴)
Voronoi , Voronoi(沃罗诺伊)
Rainbow , Rainbow(彩虹)
Unstrip , Unstrip(去条纹)
Rooster , Rooster(公鸡)
Wiremap , Wiremap(线图)
Anguish , Anguish(悲痛中的煎熬)
Spotify , Spotify(点化)
Reptile , Reptile(爬行动物鳞甲)
Puzzle , Puzzle(智力拼图)
Taquin , Taquin(乱序拼图)
Aurora , Aurora(极光)
Cubism , Cubism(立体主义)
Cutout , Cutout(木刻/剪纸)
Doodle , Doodle(乱画-线)
Linify , Linify(绕线画/弦丝画)
Sketch , Sketch(草图)
Warhol , Warhol(安迪·沃霍尔)
Pencil , Pencil(铅笔)
Curves , Curves(曲线)
Crease , Crease(皱痕)
Flower , Flower(花朵)
Sphere , Sphere(球)
Streak , Streak(条纹)
Droste , Droste(德罗斯特递归)
Tunnel , Tunnel(隧道)
Stroke , Stroke(描边(Stroke))
