<b>Arrays & Tiles</b> , <b>Array e piastrelle</b>
2 Colors , 2 colori
2 Grays , 2 Grigi
2 Noise , 2 Rumore
2-Strip Process , Processo 2-Strip
2.  Plasma Scale , 2. 2. Scala al plasma
20. Scale to Width , 20. Scala alla larghezza
21. Scale to Height , 21. Scala ad altezza
216 Keypoints , 216 punti chiave
22. Correlated Channels , 22. 22. Canali correlati
22.5 Deg. , 22,5 Deg.
23. Boundary , 23. Confine
24. Warp Channel(s) , 24. 24. Canale(i) di curvatura
25. Random Negation , 25. 25. Negazione casuale
26. Random Negation Channel(s) , 26. 26. Canale(i) di negazione casuale
27 Keypoints , 27 punti chiave
27. Gamma Offset , 27. 27. Offset gamma
270 Deg. , 270 gradi.
28. Hue Offset , 28. 28. Sfasamento della tinta
29. Normalise , 29. Normalizzare
2nd , 2º
2nd Additional Palette (.Gpl) , 2a Paletta aggiuntiva (.Gpl)
2nd Color , 2° Colore
2nd Parameter , 2° parametro
2nd Text , 2° Testo
2nd Tone , 2° Tono
2nd Variance , 2a Varianza
2nd X-Coord , 2° X-Coord
2nd Y-Coord , 2a Y-Coord
2x Type , 2x Tipo
2XY Mirror , Specchio 2XY
2xy-Axes , 2xy-assi
3 Colors , 3 colori
3 Grays , 3 Grigi
3 Mix , 3 Mescola
3.  Plasma Alpha Channel , 3. 3. Canale alfa del plasma
30. Minimum Hue , 30. Tinta minima
31. Maximum Hue , 31. 31. Tinta massima
32. Minimum Saturation , 32. 32. Saturazione minima
33. Maximum Saturation , 33. 33. Saturazione massima
34. Minimum Value , 34. 34. Valore minimo
343 Keypoints , 343 punti chiave
35. Maximum Value , 35. Valore massimo
36. Hue Offset , 36. Sfasamento della tinta
37. Saturation Offset , 37. 37. Offset di saturazione
38. Value Offset , 38. 38. Compensazione del valore
3D Blocks , Blocchi 3D
3D CLUT (Fast) , 3D CLUT (Veloce)
3D CLUT (Precise) , CLUT 3D (Preciso)
3D Colored Object , Oggetto colorato in 3D
3D Conversion , Conversione 3D
3D Elevation , Elevazione 3D
3D Elevation [Animated] , Elevazione 3D [Animato]
3D Extrusion , Estrusione 3D
3D Extrusion [Animated] , Estrusione 3D [Animato]
3D Image Object , Oggetto immagine 3D
3D Image Object [Animated] , Oggetto immagine 3D [Animato]
3D Image Type , Tipo di immagine 3D
3D Lathing , Tornitura 3D
3D Metaballs , Metaballe 3D
3D Random Objects , Oggetti casuali 3D
3D Reflection , Riflessione 3D
3D Rubber Object , Oggetto in gomma 3D
3D Text Pointcloud , Pointcloud di testo 3D
3D Tiles , Piastrelle 3D
3D Video Conversion , Conversione video 3D
3D Waves , Onde 3D
3rd , Terzo
3rd Color , 3° Colore
3rd Parameter , 3° parametro
3rd Tone , 3° Tono
3rd X-Coord , 3° X-Coord
3rd Y-Coord , 3a Y-Coord
4 Colors , 4 colori
4 Grays , 4 Grigi
4.  Segmentation [No Alpha Channel] , 4. 4. Segmentazione [Nessun canale alfa]
4096x4096 Layer , 4096x4096 Strato
45 Deg. , 45 gradi.
4th , Quarto
4th Color , 4° Colore
4th Tone , 4° Tono
5.  Edge Threshold , 5. 5. Soglia del bordo
512x512 Layer , 512x512 Strato
5th , 5
5th Color , 5° Colore
5th Tone , 5° Tono
6.  Smoothness , 6. 7. Liscio come l'olio
60's (faded Alt) , Anni '60 (Alt sbiadito)
60's (faded) , Anni '60 (sbiadito)
64 (Faster) , 64 (Più veloce)
64 Keypoints , 64 punti chiave
67.5 Deg. , 67,5 Deg.
6th , 6
6th Color , 6° Colore
6th Tone , 6° Tono
7.  Blur , 7. 8. Sfocatura
7th , 7
7th Color , 7° Colore
7th Tone , 7° Tono
8 Colors , 8 colori
8 Grays , 8 Grigi
8 Keypoints (RGB Corners) , 8 punti chiave (angoli RGB)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. 8. Pixelizzazione a quadrilatero [Nessun canale alfa]
8th , ottavo
8th Color , 8° Colore
8th Tone , 8° Tono
9.  Quadtree Min Precision , 9. Precisione minima dei quadrupedi
90 Deg. , 90 gradi.
9th , 9a
9th Color , 9° Colore
[Cyan]MYK , [Ciano]MYK
A Lot of Cyan , Un sacco di ciano
A Lot of Key , Un sacco di chiave
A Lot of Magenta , Un sacco di Magenta
A Lot of Yellow , Un sacco di giallo
A-Color Factor , Fattore A-Color
A-Color Shift , Spostamento A-Color
A-Color Smoothness , A-Color scorrevolezza
A-Component , A-Componente
A-Value , Valore A
A4 / 100 PPI (Recommended) , A4 / 100 PPI (consigliato)
About G'MIC , Informazioni su G'MIC
Absolute Brightness , Luminosità assoluta
Absolute Value , Valore assoluto
Abstraction , Astrazione
Acceleration , Accelerazione
Action , Azione
Action #1 , Azione #1
Action #10 , Azione #10
Action #11 , Azione #11
Action #12 , Azione #12
Action #13 , Azione #13
Action #14 , Azione #14
Action #15 , Azione #15
Action #16 , Azione #16
Action #17 , Azione #17
Action #18 , Azione #18
Action #19 , Azione #19
Action #2 , Azione #2
Action #20 , Azione #20
Action #21 , Azione #21
Action #22 , Azione #22
Action #23 , Azione #23
Action #24 , Azione #24
Action #3 , Azione #3
Action #4 , Azione #4
Action #5 , Azione #5
Action #6 , Azione #6
Action #7 , Azione #7
Action #8 , Azione #8
Action #9 , Azione #9
Action Magenta 01 , Azione Magenta 01
Action Red 01 , Azione Rosso 01
Activate 'Pencil Smoother' , Attivare 'lisciatrice di matite'.
Activate Color Enhancement , Attivare il miglioramento del colore
Activate Colors Geometric Shapes , Attivare i colori Forme geometriche
Activate Custom Filter , Attivare il filtro personalizzato
Activate Lizards , Attivare le lucertole
Activate Mirror , Attivare Specchio
Activate Pink Elephants , Attivare gli elefanti rosa
Activate Second Direction , Attivare la seconda direzione
Activate Shakes , Attivare i frullati
Activate Slice 1 , Attivare Fetta 1
Activate Slice 2 , Attivare Slice 2
Activate Slice 3 , Attivare Slice 3
Activate Slice 4 , Attivare Slice 4
Adaptive , Adattabile
Add , Aggiungi
Add 1px Outline , Aggiungi 1px Contorno
Add Alpha Channels to Detail Scale Layers , Aggiungere i canali alfa ai livelli della scala di dettaglio
Add as a New Layer , Aggiungi come nuovo livello
Add Chalk Highlights , Aggiungi i punti salienti del gesso
Add Color Background , Aggiungi colore di sfondo
Add Comment Area in HTML Page , Aggiungi un'area commenti nella pagina HTML
Add Grain , Aggiungi il grano
Add Image Label , Aggiungi etichetta immagine
Add Painter's Touch , Aggiungi il tocco del pittore
Add User-Defined Constraints (Interactive) , Aggiungere vincoli definiti dall'utente (interattivo)
Additional Duplicates Count , Conteggio supplementare dei duplicati
Additional Outline , Schema aggiuntivo
Additive , Additivo
Adjust Background Reconstruction , Regolare la ricostruzione dello sfondo
Adventure 1453 , Avventura 1453
Aggresive , Aggressivo
Aggressive Highlights Recovery 5 , Aggressivo evidenzia il recupero 5
Algorithm , Algoritmo
Alien Green , Verde alieno
Align Image Streams , Allineare i flussi di immagini
Align Layers , Allineare gli strati
Aligned , Allineato
Alignment Type , Tipo di allineamento
All , Tutti
All 45° Rotations , Tutti i 45° Rotazioni
All 90° Rotations , Tutti i 90° Rotazioni
All [Collage] , Tutti [Collage]
All but Reference Color , Tutti tranne il colore di riferimento
All Layers and Masks , Tutti gli strati e le maschere
All Tones , Tutti i toni
All XY-Flips , Tutti gli XY-Flips
Allow Angle , Permettere l'angolo
Allow Outer Blending , Consentire la miscelazione esterna
Allow Self Intersections , Consentire l'auto-intersezione
Alpha Channel , Canale Alfa
Alpha Mode , Modalità Alfa
Also Match Gradients , Anche i gradienti della partita
Ambient (%) , Ambiente (%)
Ambient Lightness , Leggerezza ambientale
Amount , Importo
Amplitude , Ampiezza
Amplitude (%) , Ampiezza (%)
Amplitude / Angle , Ampiezza / Angolo
Anaglypgh Green/magenta Optimized , Anaglypgh Verde/magenta Ottimizzato
Anaglyph Blue/yellow , Anaglifo Blu/giallo
Anaglyph Blue/yellow Optimized , Anaglifo Blu/giallo ottimizzato
Anaglyph Glasses Adjustment , Regolazione degli occhiali anaglifi
Anaglyph Green/magenta , Anaglifo Verde/magenta
Anaglyph Green/magenta Optimized , Anaglifo Verde/magenta Ottimizzato
Anaglyph Reconstruction , Ricostruzione anaglifi
Anaglyph Red/cyan , Anaglifo Rosso/ciano
Anaglyph Red/cyan Optimized , Anaglifo Rosso/ciano ottimizzato
Anaglyph: Red/Cyan , Anaglifo: Rosso/Cyan
AnalogFX - Anno 1870 Color , AnalogFX - Anno 1870 Colore
AnalogFX - Old Style I , AnalogFX - Vecchio stile I
AnalogFX - Old Style II , AnalogFX - Vecchio stile II
AnalogFX - Old Style III , AnalogFX - Vecchio stile III
AnalogFX - Sepia Color , AnalogFX - Colore seppia
AnalogFX - Soft Sepia I , AnalogFX - Seppia morbida I
AnalogFX - Soft Sepia II , AnalogFX - Soft Seppia II
Analysis Scale , Scala di analisi
Analysis Smoothness , Analisi scorrevolezza
And , E
Angle , Angolo
Angle (%) , Angolo (%)
Angle (deg) , Angolo (deg)
Angle (deg.) , Angolo (deg.)
Angle / Size , Angolo / Dimensione
Angle Cut , Taglio ad angolo
Angle Dispersion , Dispersione angolare
Angle Image Contour , Contorno dell'immagine angolare
Angle of Disturbance Surface , Angolo della superficie di disturbo
Angle of Main Nebulous Surface , Angolo della superficie nebulosa principale
Angle Range , Gamma di angoli
Angle Range (deg.) , Angolo di campo (gradi)
Angle Tilt , Angolo di inclinazione
Angle Variations , Variazioni di angolo
Anguish , Angoscia
Angular , Angolare
Angular Precision , Precisione angolare
Angular Tiles , Piastrelle angolari
Anisotropic , Anisotropa
Anisotropy , Anisotropia
Annular Steiner Chain Round Tiles , Piastrelle circolari per catene anulare Steiner
Antisymmetry , Antisimmetria
Any , Qualsiasi
Apocalypse This Very Moment , Apocalisse questo momento
Apples , Mele
Apply Adjustments On , Applicare gli aggiustamenti su
Apply Color Balance , Applicare il bilanciamento del colore
Apply External CLUT , Applicare CLUT esterno
Apply Mask , Applicare la maschera
Apply Skin Tone Mask , Applicare la maschera di tono della pelle
Apply Transformation From , Applicare la trasformazione da
Aqua and Orange Dark , Acqua e arancione scuro
Area Smoothness , Area scorrevolezza
Areas Light Adjustment , Aree di regolazione della luce
Areas Smoothness , Aree levigatezza
Array [Faded] , Array [Svanito]
Array [Mirrored] , Array [Specchio]
Array [Random Colors] , Array [Colori casuali]
Array [Random] , Array [Casuale]
Array [Regular] , Array [Regolare]
Array Mode , Modalità Array
Arrows , Frecce
Arrows (Outline) , Frecce (Contorno)
Artistic  Modern , Artistico Moderno
Artistic Hard , Duro Artistico
Artistic Round , Giro artistico
Ascii Art , Arte Ascii
Aspect , Aspetto
Aspect Ratio , Rapporto di aspetto
Asplenium Adiantum-Nigrum , Asplenio Adiantum-Nigrum
Associated Color , Colore associato
Attenuation , Attenuazione
Auto Reduce Level (Level Slider Is Disabled) , Auto Reduce Level (il cursore di livello è disabilitato)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Auto Set Hue Inverse (il cursore della tinta è disabilitato)
Auto-Reduce Number of Frames , Auto-Ridurre il numero di fotogrammi
Auto-Set Periodicity , Periodicità Auto-Set
Auto-Threshold , Auto-soglia
Autocrop Output Layers , Livelli di uscita Autocrop
Automatic , Automatico
Automatic & Contrast Mask , Maschera automatica e di contrasto
Automatic [Scan All Hues] , Automatico [Scansione di tutte le tinte]
Automatic Color Balance , Bilanciamento automatico del colore
Automatic Depth Estimation , Stima automatica della profondità
Automatic Upscale for Optimum Results , Upscale automatico per risultati ottimali
Autumn , Autunno
Avalanche , Valanga
Average , Media
Average 3x3 , Media 3x3
Average 5x5 , Media 5x5
Average 7x7 , Media 7x7
Average 9x9 , Media 9x9
Average RGB , RGB medio
Average Smoothness , Levigatezza media
Avg / Max Weight , Peso medio / massimo
Avg Left Angle (deg.) , Angolo medio a sinistra (deg.)
Avg Length Factor (%) , Fattore di lunghezza media (%)
Avg Right Angle (deg.) , Angolo retto medio (deg.)
Avg Thickness Factor (%) , Fattore di spessore medio (%)
Axis , Asse
Azimuth , Azimut
B&W , B&N
B&W Pencil [Animated] , Matita B/N [Animato]
B&W Photograph , Fotografia in bianco e nero
B&W Stencil , Stencil B/N
B&W Stencil [Animated] , Stencil in bianco e nero [Animato]
B-Color Factor , Fattore B-Colore
B-Color Shift , Spostamento B-Colore
B-Color Smoothness , B-Colore scorrevolezza
B-Component , Componente B
Background Color , Colore di sfondo
Background Intensity , Intensità di fondo
Background Point (%) , Punto di fondo (%)
Backward , Indietro
Backward Horizontal , Orizzontale all'indietro
Backward Vertical , Verticale all'indietro
Balance , Saldo
Balance Color , Equilibrio del colore
Balance SRGB , Saldo SRGB
Ball , Palla
Balloons , Palloncini
Balls , Palle
Band Width , Larghezza di banda
Banding Denoise , Banda Denoise
Bandpass , Passo di banda
Bandwidth , Larghezza di banda
Barbed Wire , Filo spinato
Barnsley Fern , Felce d'orzo
Bars , Bar
Base Reference Dimension , Dimensione di riferimento di base
Base Scale , Scala di base
Base Thickness (%) , Spessore di base (%)
Basic Adjustments , Regolazioni di base
Batch Processing , Elaborazione in lotti
Bayer Filter , Filtro Bayer
Bayer Reconstruction , Ricostruzione Bayer
Behind , Dietro
Below , Sotto
Berlin Sky , Cielo di Berlino
Best Match , Migliore partita
BG Textured , BG Strutturato
Bi-Directional , Bi-direzionale
Bias , Sbilanciamento
Bicubic , Bicubico
Bidirectional [Sharp] , Bidirezionale [Sharp]
Bidirectional [Smooth] , Bidirezionale [Liscio]
Bidirectional Rendering , Rendering bidirezionale
Bilateral , Bilaterale
Bilateral Radius , Raggio bilaterale
Binary , Binario
Binary Digits , Cifre binarie
Bit Masking (End) , Mascheramento bit (Fine)
Bit Masking (Start) , Mascheramento bit (Inizio)
Black , Nero
Black & White , Bianco e nero
Black & White (25) , Bianco e nero (25)
Black & White-1 , Bianco e Nero-1
Black & White-10 , Bianco e nero - 10
Black & White-2 , Bianco e Nero-2
Black & White-3 , Bianco e Nero-3
Black & White-4 , Bianco e nero - 4
Black & White-5 , Bianco e nero - 5
Black & White-6 , Bianco e Nero6
Black & White-7 , Bianco e nero - 7
Black & White-8 , Bianco e nero - 8
Black & White-9 , Bianco e nero -9
Black Crayon Graffiti , Graffiti a pastello nero
Black Dices , Dadi neri
Black Level , Livello nero
Black on Transparent , Nero su trasparente
Black on Transparent White , Nero su bianco trasparente
Black on White , Nero su bianco
Black Point , Punto nero
Black Star , Stella nera
Black to White , Da nero a bianco
Blacks , Neri
Blank , Vuoto
Bleech Bypass Green , Bleech Bypass verde
Bleech Bypass Yellow 01 , Bleech Bypass Giallo 01
Blend , Miscela
Blend [Average All] , Miscela [Media Tutti]
Blend [Edges] , Miscela [Bordi]
Blend [Fade] , Miscela [Dissolvenza]
Blend [Median] , Miscela [Mediana]
Blend [Seamless] , Miscela [Senza soluzione di continuità]
Blend [Standard] , Miscela [Standard]
Blend All Layers , Miscelare tutti gli strati
Blend Decay , Decadimento della miscela
Blend Mode , Modalità di miscelazione
Blend Rays , Raggi di miscelazione
Blend Scales , Bilance di miscelazione
Blend Size , Dimensione della miscela
Blend Threshold , Soglia di miscelazione
Blending Mode , Modalità di miscelazione
Blending Size , Dimensione di miscelazione
Blindness Type , Tipo di cecità
Blob 1 Color , Blob 1 Colore
Blob 10 Color , Blob 10 Colore
Blob 11 Color , Blob 11 Colore
Blob 12 Color , Blob 12 Colore
Blob 2 Color , Blob 2 Colore
Blob 3 Color , Blob 3 Colore
Blob 4 Color , Blob 4 Colore
Blob 5 Color , Blob 5 Colore
Blob 6 Color , Blob 6 Colore
Blob 7 Color , Blob 7 Colore
Blob 8 Color , Blob 8 Colore
Blob 9 Color , Blob 9 Colore
Blob Size , Dimensione del blob
Blobs Editor , Redattore di blob
Bloc , Blocco
Bloc Size (%) , Dimensione del blocco (%)
Blockism , Bloccismo
Blue , Blu
Blue & Red Chrominances , Cromanze blu e rosse
Blue Chroma Factor , Fattore di croma blu
Blue Chroma Shift , Spostamento del croma blu
Blue Chroma Smoothness , Blu Croma Levigatezza del croma
Blue Chrominance , Crominanza blu
Blue Cold Fade , Dissolvenza a freddo blu
Blue Dark , Blu scuro
Blue Factor , Fattore blu
Blue House , Casa Blu
Blue Ice , Ghiaccio blu
Blue Level , Livello Blu
Blue Mono , Blu Mono
Blue Rotations , Rotazioni blu
Blue Screen Mode , Modalità schermo blu
Blue Shadows 01 , Ombre blu 01
Blue Shift , Turno Blu
Blue Smoothness , Blu scorrevolezza
Blue Steel , Acciaio blu
Blue Wavelength , Lunghezza d'onda blu
Blue-Green , Blu-verde
Blur , Sfocatura
Blur [Angular] , Sfocatura [Angolare]
Blur [Bloom] , Sfocatura [Bloom]
Blur [Depth-Of-Field] , Sfocatura [Profondità di campo]
Blur [Gaussian] , Sfocatura [Gaussiano]
Blur [Glow] , Sfocatura [Bagliore]
Blur [Linear] , Sfocatura [Lineare]
Blur [Multidirectional] , Sfocatura [Multidirezionale]
Blur [Radial] , Sfocatura [Radiale]
Blur Alpha , Sfocatura Alfa
Blur Amount , Importo sfocato
Blur Amplitude , Ampiezza della sfocatura
Blur Dodge and Burn Layer , Sfocatura Dodge e strato di bruciato
Blur Factor , Fattore di sfocatura
Blur Frame , Telaio sfocatura
Blur Percentage , Percentuale di sfocatura
Blur Precision , Precisione della sfocatura
Blur Shade , Sfocatura Ombra
Blur Standard Deviation , Deviazione standard della sfocatura
Blur Strength , Forza della sfocatura
Blur the Mask , Sfocatura della maschera
Boats , Barche
Boost Chromaticity , Aumentare la cromaticità
Boost Contrast , Aumentare il contrasto
Boost Smooth , Aumenta liscio
Boost Stroke , Aumentare la corsa
Border Color , Colore del confine
Border Opacity , Opacità al confine
Border Outline , Contorno del confine
Border Smoothness , Lisciozza del confine
Border Thickness (%) , Spessore del bordo (%)
Border Width , Larghezza del confine
Both , Entrambi
Bottles , Bottiglie
Bottom , In basso
Bottom and Left Foreground , In basso e primo piano a sinistra
Bottom and Right Foreground , In basso e a destra in primo piano
Bottom and Top Foreground , In basso e in primo piano
Bottom Layer , Strato inferiore
Bottom Left , In basso a sinistra
Bottom Right , In basso a destra
Bottom Size , Dimensione del fondo
Bottom-Left , In basso a sinistra
Bottom-Left Vertex (%) , Vertice in basso a sinistra (%)
Bottom-Right , In basso a destra
Bottom-Right Vertex (%) , Vertice in basso a destra (%)
Bouncing Balls , Palle rimbalzanti
Boundaries (%) , Confini (%)
Boundary , Confine
Boundary Condition , Condizione di confine
Boundary Conditions , Condizioni di confine
Box Fitting , Montaggio della scatola
Branches , Filiali
Braque: Landscape near Antwerp , Braque: Paesaggio vicino ad Anversa
Braque: Little Bay at La Ciotat , Braque: Piccola baia a La Ciotat
Braque: The Mandola , Braque: La Mandola
Brighness , Luminosità
Bright , Luminoso
Bright Green , Verde brillante
Bright Green 01 , Verde brillante 01
Bright Length , Lunghezza luminosa
Bright Pixels , Pixel luminosi
Bright Teal Orange , Alzavola brillante arancione
Bright Warm , Luminoso Caldo
Brighter , Più luminoso
Brightness , Luminosità
Brightness (%) , Luminosità (%)
Bristle Size , Dimensione setole
Bronze , Bronzo
Built-in Gray , Grigio incorporato
Bump Factor , Fattore di urto
Bump Map , Mappa d'urto
Burn , Masterizzare
Burn Blur , Sfocatura da ustione
Burn Strength , Forza di combustione
Butterfly , Farfalla
By Blue Chrominance , Di Blue Chrominance
By Blue Component , Da Blue Component
By Custom Expression , Per espressione personalizzata
By Green Component , Per componente verde
By Iteration , Per Iterazione
By Lightness , Per leggerezza
By Luminance , Per Luminanza
By Red Chrominance , Di Red Chrominance
By Red Component , Da Red Component
By Value , Per valore
Camera Motion Only , Solo movimento della telecamera
Camera X , Macchina fotografica X
Camera Y , Macchina fotografica Y
Candle Light , Candela a lume di candela
Canvas , Tela
Canvas Brightness , Luminosità della tela
Canvas Color , Colore della tela
Canvas Darkness , Tela Oscura
Canvas Texture , Struttura della tela
Car , Auto
Card Suits , Tute per carte
Cartesian Transform , Trasformazione cartesiana
Cartoon , Cartone animato
Cartoon [Animated] , Cartone animato
Category , Categoria
Cell Size , Dimensione della cella
Center , Centro
Center (%) , Centro (%)
Center Background , Sfondo del centro
Center Foreground , Primo piano del centro
Center Help , Aiuto del centro
Center Size , Dimensione del centro
Center Smoothness , Levigatezza del centro
Center X , Centro X
Center X-Shift , Centro X-Shift
Center Y , Centro Y
Center Y-Shift , Turno di centro a Y
Centering (%) , Centraggio (%)
Centering / Scale , Centraggio / Scala
Centers Color , Centri Colore
Centers Radius , Raggio dei centri
Centimeter , Centimetro
Central  Perspective Outdoor , Prospettiva centrale all'aperto
Central Perspective Indoor , Prospettiva centrale al coperto
Central Perspective Outdoor , Prospettiva centrale all'aperto
Centre , Centro
Chalk It Up , Gesso in su
Channel #1 , Canale #1
Channel #2 , Canale #2
Channel #3 , Canale #3
Channel Processing , Elaborazione dei canali
Channel(s) , Canale(i)
Channels , Canali
Channels to Layers , Canali a strati
Charcoal , Carboncino
Checkered , A scacchi
Checkered Inverse , Invertito a scacchi
Chemical 168 , Chimica 168
Chessboard , Scacchiera
Chroma Noise , Rumore di croma
Chromatic Aberrations , Aberrazioni cromatiche
Chromaticity From , Cromaticità Da
Chrome 01 , Cromo 01
Chrominances Only (ab) , Solo crominanze (ab)
Chrominances Only (CbCr) , Solo crominanze (CbCr)
Cine Cold , Cine freddo
Cine Teal Orange 1 , Cine Teal Teal Orange 1
Cine Teal Orange 2 , Cine Teal Teal Orange 2
Cine Vibrant , Cine Vibrante
Cine Warm , Cigna calda
Cinematic (8) , Cinematografico (8)
Cinematic for Flog , Cinematic per Flog
Cinematic Lady Bird , Cinematografica Lady Bird
Cinematic Mexico , Messico cinematografico
Cinematic Travel (29) , Viaggio al cinema (29)
Circle , Cerchio
Circle (Inv.) , Cerchio (Inv.)
Circle 1 , Cerchio 1
Circle 2 , Cerchio 2
Circle Art , Arte del Cerchio
Circle to Square , Da cerchio a quadrato
Circle Transform , Trasformazione del cerchio
Circles , Circoli
Circles (Outline) , Cerchi (Schema)
Circles 1 , Cerchi 1
Circles 2 , Cerchi 2
Circular , Circolare
City 7 , Città 7
Clarity , Chiarezza
Classic Chrome , Cromo classico
Classic Teal and Orange , Alzavola classica e arancia
Clean , Pulire
Clean Text , Testo pulito
Clear Control Points , Cancella i punti di controllo
Clear Teal Fade , Sfuma l'alzavola trasparente
Cliff , Scogliera
Closeup , Primo piano
Closing , Chiusura
Closing - Opening , Chiusura - Apertura
Closing - Original , Chiusura - Originale
Clouds , Nuvole
CLUT from After - Before Layers , CLUT da Dopo - Prima degli strati
CLUT Opacity , CLUT Opacità
CM[Yellow]K , CM[Giallo]K
CMY[Key] , CMY[Chiave]
CMYK [cyan] , CMYK [ciano]
CMYK [Key] , CMYK [Chiave]
CMYK [Yellow] , CMYK [Giallo]
CMYK Tone , Tono CMYK
Coarse , Ruvido
Coarsest (faster) , Più grossolano (più veloce)
Code , Codice
Coefficients , Coefficienti
Coffee 44 , Caffè 44
Coherence , Coerenza
Cold Clear Blue , Azzurro freddo
Cold Clear Blue 1 , Azzurro freddo 1
Cold Simplicity 2 , Semplicità a freddo 2
Color , Colore
Color (rich) , Colore (ricco)
Color 1 , Colore 1
Color 1 (Up/Left Corner) , Colore 1 (Angolo su/sinistra)
Color 2 , Colore 2
Color 2 (Up/Right Corner) , Colore 2 (angolo in alto/angolo destro)
Color 3 , Colore 3
Color 3 (Bottom/Left Corner) , Colore 3 (angolo in basso a sinistra)
Color 4 , Colore 4
Color 4 (Bottom/Right Corner) , Colore 4 (angolo inferiore/destro)
Color A , Colore A
Color Abstraction Opacity , Opacità dell'astrazione del colore
Color Abstraction Paint , Pittura astratta a colori
Color B , Colore B
Color Balance , Bilanciamento del colore
Color Basis , Base di colore
Color Blending , Miscelazione dei colori
Color Blindness , Cecità di colore
Color Blue-Yellow , Colore Blu-Giallo
Color Boost , Aumento del colore
Color Burn , Colore Bruciare
Color C , Colore C
Color Channel  Smoothing , Canale dei colori lisciatura
Color Channels , Canali di colore
Color D , Colore D
Color Dispersion , Dispersione del colore
Color Doping , Doping a colori
Color E , Colore E
Color Effect Mode , Modalità effetto colore
Color F , Colore F
Color G , Colore G
Color Gamma , Gamma di colore
Color Grading , Classificazione del colore
Color Green-Magenta , Colore Verde-Magenta
Color Highlights , Colori in evidenza
Color Image , Immagine a colori
Color Intensity , Intensità del colore
Color Mask , Maschera di colore
Color Mask [Interactive] , Maschera di colore [Interattivo]
Color Median , Colore Mediano
Color Metric , Colore Metrico
Color Midtones , Colore Midtones
Color Mode , Modalità colore
Color Model , Modello a colori
Color Negative , Colore Negativo
Color on White , Colore su bianco
Color Overall Effect , Effetto complessivo del colore
Color Presets , Preimpostazioni di colore
Color Quantization , Quantizzazione del colore
Color Rendering , Rendering del colore
Color Shading (%) , Sfumatura del colore (%)
Color Shadows , Ombre di colore
