<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
11.  Quadtree Min Homogeneity , 11. Quadtree Min Homogenität
11th , 11.
12 Colors , 12 Farben
12 Grays , 12 Grautöne
12.  Quadtree Max Homogeneity , 12. Quadtree Max Homogenität
125 Keypoints , 125 Schlüsselpunkte
12th , 12.
13. Noise Type , 13. Art der Geräusche
13th , 13.
14. Minimum Noise , 14. Minimaler Lärm
14th , 14.
15. Maximum Noise , 15. Maximaler Lärm
15th , 15.
16 Colors , 16 Farben
16 Grays , 16 Grautöne
16. Noise Channel(s) , 16. Lärm-Kanal(e)
16th , 16.
17. Warp Iterations , 17. Warp-Iterationen
18. Warp Intensity , 18. Warp-Intensität
180 Deg. , 180 Grad.
19. Warp Offset , 19. Kettversatz
1st , 1.
1st Additional Palette (.Gpl) , 1. zusätzliche Palette (.Gpl)
1st Color , 1. Farbe
1st Parameter , 1. Parameter
1st Text , 1. Text
1st Tone , 1. Ton
1st Variance , 1. Abweichung
1st X-Coord , 1. X-Kordel
1st Y-Coord , 1. Y-Schnur
2 Colors , 2 Farben
2 Grays , 2 Grautöne
2 Noise , 2 Lärm
2-Strip Process , 2-Streifen-Verfahren
2.  Plasma Scale , 2. Plasma-Skala
20. Scale to Width , 20. Auf Breite skalieren
21. Scale to Height , 21. Auf Höhe skalieren
216 Keypoints , 216 Schlüsselpunkte
22. Correlated Channels , 22. Korrelierte Kanäle
22.5 Deg. , 22,5 Grad.
23. Boundary , 23. Grenze
24. Warp Channel(s) , 24. Warp-Kanal(e)
25. Random Negation , 25. Zufällige Verneinung
26. Random Negation Channel(s) , 26. Zufällige(r) Negationskanal(e)
27 Keypoints , 27 Schlüsselpunkte
27. Gamma Offset , 27. Gamma-Versatz
270 Deg. , 270 Grad.
28. Hue Offset , 28. Farbton-Versatz
29. Normalise , 29. normalisieren.
2nd , 2.
2nd Additional Palette (.Gpl) , 2. zusätzliche Palette (.Gpl)
2nd Color , 2. Farbe
2nd Parameter , 2. Parameter
2nd Text , 2. Text
2nd Tone , 2. Ton
2nd Variance , 2. Abweichung
2nd X-Coord , 2. X-Kordel
2nd Y-Coord , 2. Y-Schnur
2x Type , 2x Typ
2XY Mirror , 2XY-Spiegel
2xy-Axes , 2xy-Achsen
3 Colors , 3 Farben
3 Grays , 3 Grautöne
3 Mix , 3 Mischung
3.  Plasma Alpha Channel , 3. Plasma-Alpha-Kanal
30. Minimum Hue , 30. Minimaler Farbton
31. Maximum Hue , 31. Maximaler Farbton
32. Minimum Saturation , 32. Minimale Sättigung
33. Maximum Saturation , 33. Maximale Sättigung
34. Minimum Value , 34. Minimaler Wert
343 Keypoints , 343 Schlüsselpunkte
35. Maximum Value , 35. Maximaler Wert
36. Hue Offset , 36. Farbton-Versatz
37. Saturation Offset , 37. Sättigungs-Offset
38. Value Offset , 38. Wert Offset
3D Blocks , 3D-Blöcke
3D CLUT (Fast) , 3D-CLUT (schnell)
3D CLUT (Precise) , 3D-KLUG (Präzise)
3D Colored Object , Farbiges 3D-Objekt
3D Conversion , 3D-Konvertierung
3D Elevation , 3D-Erhöhung
3D Elevation [Animated] , 3D-Erhöhung [animiert]
3D Extrusion , 3D-Extrusion
3D Extrusion [Animated] , 3D-Extrusion [animiert]
3D Image Object , 3D-Bildobjekt
3D Image Object [Animated] , 3D-Bildobjekt [animiert]
3D Image Type , 3D-Bildtyp
3D Lathing , 3D-Drehen
3D Metaballs , 3D-Metabälle
3D Random Objects , Zufällige 3D-Objekte
3D Reflection , 3D-Reflexion
3D Rubber Object , 3D-Gummi-Objekt
3D Starfield , 3D-Sternenfeld
3D Text Pointcloud , 3D-Text-Punktwolke
3D Tiles , 3D-Kacheln
3D Video Conversion , 3D-Video-Konvertierung
3D Waves , 3D-Wellen
3rd , 3.
3rd Color , 3. Farbe
3rd Parameter , 3. Parameter
3rd Tone , 3. Ton
3rd X-Coord , 3. X-Kordel
3rd Y-Coord , 3. Y-Schnur
4 Colors , 4 Farben
4 Grays , 4 Grautöne
4.  Segmentation [No Alpha Channel] , 4. Segmentierung [Kein Alphakanal]
4096x4096 Layer , 4096x4096 Ebene
4th , 4.
4th Color , 4. Farbe
4th Tone , 4. Ton
5.  Edge Threshold , 5. Randschwelle
512x512 Layer , 512x512 Schicht
5th , 5.
5th Color , 5. Farbe
5th Tone , 5. Ton
6.  Smoothness , 6. Geschmeidigkeit
60's (faded Alt) , 60er Jahre (verblasstes Alt)
60's (faded) , 60er Jahre (verblasst)
64 (Faster) , 64 (Schneller)
64 Keypoints , 64 Schlüsselpunkte
67.5 Deg. , 67,5 Grad.
6th , 6.
6th Color , 6. Farbe
6th Tone , 6. Ton
7.  Blur , 7. Unschärfe
7th , 7.
7th Color , 7. Farbe
7th Tone , 7. Ton
8 Colors , 8 Farben
8 Grays , 8 Grautöne
8 Keypoints (RGB Corners) , 8 Schlüsselpunkte (RGB-Ecken)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. Quadtree Pixelisierung [Kein Alphakanal]
8th , 8.
8th Color , 8. Farbe
8th Tone , 8. Ton
9.  Quadtree Min Precision , 9. Quadtree Min Präzision
90 Deg. , 90 Grad.
9th , 9.
9th Color , 9. Farbe
A Lot of Cyan , Viel Cyan
A Lot of Key , Eine Menge Schlüssel
A Lot of Magenta , Viel Magenta
A Lot of Yellow , Viel Gelb
A-Color Factor , A-Farb-Faktor
A-Color Shift , A-Farben-Verschiebung
A-Color Smoothness , A-Farbe Glätte
A-Component , A-Komponente
A-Value , A-Wert
A4 / 100 PPI (Recommended) , A4 / 100 PPI (empfohlen)
About G'MIC , Über G'MIC
Absolute Brightness , Absolute Helligkeit
Absolute Value , Absoluter Wert
Abstraction , Abstraktion
Acceleration , Beschleunigung
Achromatomaly , Achromatomie
Achromatopsia , Achromatopsie
Acros , Akros
Acros+G , Akros+G
Acros+R , Akros+R
Acros+Ye , Akros+Ja
Action , Aktion
Action #1 , Aktion #1
Action #10 , Aktion #10
Action #11 , Aktion #11
Action #12 , Aktion #12
Action #13 , Aktion Nr. 13
Action #14 , Aktion #14
Action #15 , Aktion #15
Action #16 , Aktion #16
Action #17 , Aktion #17
Action #18 , Aktion Nr. 18
Action #19 , Aktion Nr. 19
Action #2 , Aktion #2
Action #20 , Aktion #20
Action #21 , Aktion #21
Action #22 , Aktion #22
Action #23 , Aktion #23
Action #24 , Aktion #24
Action #3 , Aktion #3
Action #4 , Aktion #4
Action #5 , Aktion #5
Action #6 , Aktion #6
Action #7 , Aktion Nr. 7
Action #8 , Aktion Nr. 8
Action #9 , Aktion #9
Action Magenta 01 , Aktion Magenta 01
Action Red 01 , Aktion Rot 01
Activate 'Pencil Smoother' , Aktivieren Sie 'Bleistiftglätter'.
Activate Color Enhancement , Farbverbesserung aktivieren
Activate Colors Geometric Shapes , Aktivieren von Farben Geometrische Formen
Activate Custom Filter , Benutzerdefinierten Filter aktivieren
Activate Lizards , Echsen aktivieren
Activate Mirror , Spiegelung aktivieren
Activate Pink Elephants , Rosa Elefanten aktivieren
Activate Second Direction , Zweite Richtung aktivieren
Activate Shakes , Schütteln aktivieren
Activate Slice 1 , Aktivieren von Slice 1
Activate Slice 2 , Aktivieren von Slice 2
Activate Slice 3 , Aktivieren Sie Slice 3
Activate Slice 4 , Aktivieren von Slice 4
Activer Symmetrizoscope , Aktives Symmetrizoskop
Adaptive , Anpassungsfähig
Add , hinzufügen
Add 1px Outline , 1px Gliederung hinzufügen
Add Alpha Channels to Detail Scale Layers , Hinzufügen von Alphakanälen zu Detailskalierungsebenen
Add as a New Layer , Als neue Ebene hinzufügen
Add Chalk Highlights , Kreide-Highlights hinzufügen
Add Color Background , Farbhintergrund hinzufügen
Add Comment Area in HTML Page , Kommentarfeld in HTML-Seite hinzufügen
Add Grain , Korn hinzufügen
Add Image Label , Bildbeschriftung hinzufügen
Add Painter's Touch , Painter's Touch hinzufügen
Add User-Defined Constraints (Interactive) , Benutzerdefinierte Einschränkungen hinzufügen (interaktiv)
Additional Duplicates Count , Zählung zusätzlicher Duplikate
Additional Outline , Zusätzliche Gliederung
Additive , Zusatzstoff
Adjust Background Reconstruction , Hintergrund-Rekonstruktion anpassen
Adventure 1453 , Abenteuer 1453
Agfa Ultra Color 100 , Agfa Ultra Farbe 100
Aggresive , Aggressiv
Aggressive Highlights Recovery 5 , Aggressive Highlights Erholung 5
Algorithm , Algorithmus
Alien Green , Ausländisches Grün
Align Image Streams , Ausrichten von Bildströmen
Align Layers , Ebenen ausrichten
Aligned , Ausgerichtet
Alignment Type , Ausrichtungstyp
All , Alle
All 45° Rotations , Alle 45° Rotationen
All 90° Rotations , Alle 90° Rotationen
All [Collage] , Alle [Collage]
All but Reference Color , Alle außer Referenzfarbe
All Layers and Masks , Alle Ebenen und Masken
All Tones , Alle Töne
All XY-Flips , Alle XY-Flips
Allow Angle , Winkel zulassen
Allow Outer Blending , Äußere Vermischung zulassen
Allow Self Intersections , Selbstüberschneidungen zulassen
Alpha Channel , Alphakanal
Alpha Mode , Alpha-Modus
Also Match Gradients , Auch Übereinstimmungsgradienten
Ambient (%) , Umgebung (%)
Ambient Lightness , Umgebungshelligkeit
Amount , Betrag
Amplitude / Angle , Amplitude / Winkel
Anaglypgh Green/magenta Optimized , Anaglypgh Grün/Magenta Optimiert
Anaglyph Blue/yellow , Anaglyphen Blau/Gelb
Anaglyph Blue/yellow Optimized , Anaglyphen Blau/Gelb Optimiert
Anaglyph Glasses Adjustment , Anpassung der Anaglyphenbrille
Anaglyph Green/magenta , Anaglyphe Grün/Magenta
Anaglyph Green/magenta Optimized , Anaglyph Grün/Magenta Optimiert
Anaglyph Reconstruction , Anaglyphen-Wiederaufbau
Anaglyph Red/cyan , Anaglyphen Rot/Cyan
Anaglyph Red/cyan Optimized , Anaglyphen Rot/Cyan Optimiert
Anaglyph: Red/Cyan , Anaglyphen: Rot/Cyan
AnalogFX - Anno 1870 Color , AnalogFX - Anno 1870 Farbe
AnalogFX - Old Style I , AnalogFX - Alter Stil I
AnalogFX - Old Style II , AnalogFX - Alter Stil II
AnalogFX - Old Style III , AnalogFX - Alter Stil III
AnalogFX - Sepia Color , AnalogFX - Sepia-Farbe
AnalogFX - Soft Sepia I , AnalogFX - Weiche Sepia I
AnalogFX - Soft Sepia II , AnalogFX - Weiche Sepia II
Analysis Scale , Analyse-Skala
Analysis Smoothness , Analyse-Glätte
And , Und
Angle , Winkel
Angle (%) , Winkel (%)
Angle (deg) , Winkel (Grad)
Angle (deg.) , Winkel (Grad)
Angle / Size , Winkel / Größe
Angle Cut , Winkel-Schnitt
Angle Dispersion , Winkel-Dispersion
Angle Image Contour , Winkel Bildkontur
Angle of Disturbance Surface , Winkel der Störungsfläche
Angle of Main Nebulous Surface , Winkel der nebulösen Hauptfläche
Angle Range , Winkelbereich
Angle Range (deg.) , Winkelbereich (Grad)
Angle Tilt , Winkel Neigung
Angle Variations , Winkel-Variationen
Anguish , Qualen
Angular , Winkelig
Angular Precision , Winkel-Präzision
Angular Tiles , Eckige Kacheln
Anisotropic , Anisotrop
Anisotropy , Anisotropie
Annular Steiner Chain Round Tiles , Ringförmige Steiner-Ketten-Rundplatten
Anti Alias , Anti-Alias
Antisymmetry , Antisymmetrie
Any , Jede
Apocalypse This Very Moment , Die Apokalypse in diesem Augenblick
Apples , Äpfel
Apply Adjustments On , Anpassungen anwenden auf
Apply Color Balance , Farbbalance anwenden
Apply External CLUT , Externen CLUT anwenden
Apply Mask , Maske anwenden
Apply Skin Tone Mask , Hauttonmaske anwenden
Apply Transformation From , Transformation anwenden von
Aqua and Orange Dark , Aqua und Orange Dunkel
Area , Bereich
Area Smoothness , Flächenglätte
Areas Light Adjustment , Einstellung der Flächenbeleuchtung
Areas Smoothness , Bereiche Glätte
Array [Faded] , Array [Verblasst]
Array [Mirrored] , Array [Gespiegelt]
Array [Random Colors] , Array [Zufallsfarben]
Array [Random] , Array [Zufällig]
Array [Regular] , Array [Regulär]
Array Mode , Array-Modus
Arrows , Pfeile
Arrows (Outline) , Pfeile (Umriss)
Artistic  Modern , Künstlerische Moderne
Artistic Hard , Künstlerisch hart
Artistic Round , Künstlerische Runde
Ascii Art , Ascii-Kunst
Aspect , Aspekt
Aspect Ratio , Seitenverhältnis
Associated Color , Zugehörige Farbe
Attenuation , Dämpfung
Australia , Australien
Auto Balance , Automatischer Abgleich
Auto Crop , Automatischer Zuschnitt
Auto Reduce Level (Level Slider Is Disabled) , Automatisches Reduzieren des Pegels (Pegelschieber ist deaktiviert)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Farbton automatisch invers einstellen (Farbton-Schieberegler ist deaktiviert)
Auto-Clean Bottom Color Layer , Automatische Reinigung der unteren Farbebene
Auto-Reduce Number of Frames , Auto-Reduzierung der Anzahl von Frames
Auto-Set Periodicity , Automatisch eingestellte Periodizität
Auto-Threshold , Auto-Schwellenwert
Autocrop Output Layers , Autocrop-Ausgabe-Ebenen
Automatic , Automatisch
Automatic & Contrast Mask , Automatik & Kontrastmaske
Automatic [Scan All Hues] , Automatisch [Alle Farbtöne scannen]
Automatic Color Balance , Automatische Farbbalance
Automatic Depth Estimation , Automatische Schätzung der Tiefe
Automatic Upscale for Optimum Results , Automatische Hochskalierung für optimale Ergebnisse
Autumn , Herbst
Avalanche , Lawine
Average , Durchschnitt
Average 3x3 , Durchschnittlich 3x3
Average 5x5 , Durchschnittlich 5x5
Average 7x7 , Durchschnittlich 7x7
Average 9x9 , Durchschnittlich 9x9
Average RGB , Durchschnittliches RGB
Average Smoothness , Durchschnittliche Glätte
Avg / Max Weight , Avg / Maximales Gewicht
Avg Branching , Avg Verzweigung
Avg Left Angle (deg.) , Avg Linker Winkel (Grad)
Avg Length Factor (%) , Avg-Längenfaktor (%)
Avg Right Angle (deg.) , Avg Rechter Winkel (deg.)
Avg Thickness Factor (%) , Avg-Dicke-Faktor (%)
Axis , Achse
Azimuth , Azimut
B&W , SCHWARZ-WEISS
B&W Pencil [Animated] , B&W-Bleistift [animiert]
B&W Photograph , Schwarzweiß-Fotografie
B&W Stencil , S/W-Schablone
B&W Stencil [Animated] , Schwarzweiß-Schablone [animiert]
B-Color Factor , B-Farb-Faktor
B-Color Shift , B-Farbverschiebung
B-Color Smoothness , B-Farbe Glätte
B-Component , B-Komponente
Background , Hintergrund
Background Color , Hintergrundfarbe
Background Intensity , Hintergrund-Intensität
Background Point (%) , Hintergrundpunkt (%)
Backward , Rückwärts
Backward Horizontal , Horizontal rückwärts
Backward Vertical , Vertikal rückwärts
Balance , Bilanz
Balance Color , Balance-Farbe
Balance SRGB , Bilanz SRGB
Balloons , Luftballons
Balls , Bälle
Band Width , Bandbreite
Bandwidth , Bandbreite
Barbed Wire , Stacheldraht
Barnsley Fern , Gerstenfarn
Bars , Stäbe
Base Reference Dimension , Basis-Referenzmaß
Base Scale , Basis-Skala
Base Thickness (%) , Dicke der Basis (%)
Basic Adjustments , Grundlegende Anpassungen
Batch Processing , Batch-Verarbeitung
Bayer Filter , Bayer-Filter
Bayer Reconstruction , Bayer-Wiederaufbau
Behind , Hinter
Below , Unten
Berlin Sky , Berliner Himmel
Best Match , Beste Übereinstimmung
BG Textured , BG Texturiert
Bi-Directional , Bidirektional
Bias , Voreingenommenheit
Bicubic , Bikubisch
Bidirectional [Sharp] , Bidirektional [Scharf]
Bidirectional [Smooth] , Bidirektional [Glatt]
Bidirectional Rendering , Bidirektionales Rendering
Bilateral Radius , Bilateraler Radius
Binary , Binär
Binary Digits , Binärziffern
Bit Masking (End) , Bit-Maskierung (Ende)
Bit Masking (Start) , Bit-Maskierung (Start)
Black , Schwarz
Black & White , Schwarz-Weiß
Black & White (25) , Schwarz-Weiß (25)
Black & White-1 , Schwarz-Weiß-1
Black & White-10 , Schwarz-Weiß-10
Black & White-2 , Schwarz-Weiß-2
Black & White-3 , Schwarz-Weiß-3
Black & White-4 , Schwarz-Weiß-4
Black & White-5 , Schwarz-Weiß-5
Black & White-6 , Schwarz-Weiß-6
Black & White-7 , Schwarz-Weiß-7
Black & White-8 , Schwarz-Weiß-8
Black & White-9 , Schwarz-Weiß-9
Black Crayon Graffiti , Schwarzstift-Graffiti
Black Dices , Schwarze Würfel
Black Level , Schwarze Wasserwaage
Black on Transparent , Schwarz auf Transparent
Black on Transparent White , Schwarz auf transparentem Weiß
Black on White , Schwarz auf Weiß
Black Point , Schwarzpunkt
Black Star , Schwarzer Stern
Black to White , Schwarz-Weiß
Blacks , Schwarze
Blade Runner , Klingen-Läufer
Blank , Leere
Bleach Bypass , Bleichmittel-Bypass
Bleach Bypass 1 , Bleichmittel-Bypass 1
Bleach Bypass 2 , Bleichmittel-Bypass 2
Bleach Bypass 3 , Bleichmittel-Bypass 3
Bleach Bypass 4 , Bleichmittel-Bypass 4
Bleech Bypass Green , Bleiche Umgehung Grün
Bleech Bypass Yellow 01 , Bleech Bypass Gelb 01
Blend , Mischung
Blend [Average All] , Blend [Durchschnittlich alle]
Blend [Edges] , Blend [Kanten]
Blend [Fade] , Blenden [Ausblenden]
Blend [Median] , Mischung [Median]
Blend [Seamless] , Blend [Nahtlos]
Blend [Standard] , Mischung [Standard]
Blend All Layers , Alle Ebenen ausblenden
Blend Decay , Verblendungszerfall
Blend Mode , Blend-Modus
Blend Rays , Blend-Strahlen
Blend Scales , Blend-Skalen
Blend Size , Mischungsgröße
Blend Threshold , Blend-Schwelle
Blending Mode , Blending-Modus
Blending Size , Mischungsgröße
Blindness Type , Blindheit Typ
Blob 1 , Klecks 1
Blob 1 Color , Blob 1 Farbe
Blob 10 , Klecks 10
Blob 10 Color , Blob 10 Farbe
Blob 11 , Klecks 11
Blob 11 Color , Blob 11 Farbe
Blob 12 , Klecks 12
Blob 12 Color , Blob 12 Farbe
Blob 2 Color , Blob 2 Farbe
Blob 3 , Klecks 3
Blob 3 Color , Blob 3 Farbe
Blob 4 , Klecks 4
Blob 4 Color , Blob 4 Farbe
Blob 5 , Klecks 5
Blob 5 Color , Blob 5 Farbe
Blob 6 , Klecks 6
Blob 6 Color , Blob 6 Farbe
Blob 7 , Klecks 7
Blob 7 Color , Blob 7 Farbe
Blob 8 , Klecks 8
Blob 8 Color , Blob 8 Farbe
Blob 9 , Klecks 9
Blob 9 Color , Blob 9 Farbe
Blob Size , Blob-Größe
Blob2 , Klecks2
Blobs Editor , Blobs-Editor
Bloc , Block
Bloc Size (%) , Blockgröße (%)
Blockism , Blockismus
Bloom , Blume
Blue , Blau
Blue & Red Chrominances , Blaue und rote Chrominanzen
Blue Chroma Factor , Blauer Chroma-Faktor
Blue Chroma Shift , Blaue Chroma-Verschiebung
Blue Chroma Smoothness , Blaue Chroma-Glätte
Blue Chrominance , Blaue Chrominanz
Blue Cold Fade , Blau-Kalt-Verblassen
Blue Dark , Blau-Dunkel
Blue Factor , Blauer Faktor
Blue House , Blaues Haus
Blue Ice , Blaues Eis
Blue Level , Blaue Stufe
Blue Mono , Blaue Mono
Blue Rotations , Blaue Rotationen
Blue Screen Mode , Blauer Bildschirm-Modus
Blue Shadows 01 , Blaue Schatten 01
Blue Shift , Blaue Verschiebung
Blue Smoothness , Blaue Glätte
Blue Steel , Blauer Stahl
Blue Wavelength , Blaue Wellenlänge
Blue-Green , Blau-Grün
Blur , Unschärfe
Blur [Angular] , Unschärfe [Winkel]
Blur [Bloom] , Unschärfe [Blüte]
Blur [Depth-Of-Field] , Unschärfe [Tiefenschärfe]
Blur [Gaussian] , Unschärfe [Gauß]
Blur [Glow] , Unschärfe [Glühen]
Blur [Linear] , Unschärfe [Linear]
Blur [Multidirectional] , Unschärfe [Multidirektional]
Blur [Radial] , Unschärfe [Radial]
Blur Alpha , Unschärfe Alpha
Blur Amount , Unscharfer Betrag
Blur Amplitude , Unschärfe-Amplitude
Blur Dodge and Burn Layer , Unscharfes Abwedeln und Brennschicht
Blur Factor , Unschärfe-Faktor
Blur Frame , Rahmen verwischen
Blur Percentage , Unschärfe-Prozentsatz
Blur Precision , Unschärfe-Präzision
Blur Shade , Unschärfe
Blur Standard Deviation , Standardabweichung der Unschärfe
Blur Strength , Stärke der Unschärfe
Blur the Mask , Die Maske verwischen
Boats , Boote
Boost , Verstärken Sie
Boost Chromaticity , Verstärkung der Chromatizität
Boost Contrast , Kontrast verstärken
Boost Smooth , Glätten verstärken
Boost Stroke , Schlaganfall verstärken
Border Color , Randfarbe
Border Opacity , Grenztransparenz
Border Outline , Umriss der Grenze
Border Smoothness , Glattheit der Grenze
Border Thickness (%) , Grenzdicke (%)
Border Width , Randbreite
Both , Beide
Bottles , Flaschen
Bottom , Unten
Bottom and Left Foreground , Unten und links vorne
Bottom and Right Foreground , Unten und rechts vorne
Bottom and Top Foreground , Unten und oben im Vordergrund
Bottom Layer , Untere Schicht
Bottom Left , Unten links
Bottom Right , Unten rechts
Bottom Size , Untere Größe
Bottom-Left , Unten links
Bottom-Left Vertex (%) , Unterer linker Scheitelpunkt (%)
Bottom-Right , Unten-rechts
Bottom-Right Vertex (%) , Unterer rechter Scheitelpunkt (%)
Bouncing Balls , Aufprallende Bälle
Boundaries (%) , Grenzen (%)
Boundary , Grenze
Boundary Condition , Randbedingung
Boundary Conditions , Randbedingungen
Box , Kasten
Box Fitting , Kasten-Einbau
Box2x , Kasten2x
Branches , Zweigstellen
Braque: Landscape near Antwerp , Braque: Landschaft bei Antwerpen
Braque: Little Bay at La Ciotat , Braque: Kleine Bucht bei La Ciotat
Braque: The Mandola , Braque: Die Mandola
Brighness , Brillianz
Bright , Helle
Bright Green , Leuchtendes Grün
Bright Green 01 , Leuchtendes Grün 01
Bright Length , Hell Länge
Bright Pixels , Helle Pixel
Bright Teal Orange , Leuchtende Krickente Orange
Bright Warm , Hell-Warm
Brighter , Heller
Brightness , Helligkeit
Brightness (%) , Helligkeit (%)
Bristle Size , Größe der Borsten
Brownish , Bräunlich
Brushify , Bürsten
Built-in Gray , Eingebaut Grau
Bump Factor , Bump-Faktor
Bump Map , Bump-Map
Burn , verbrennen
Burn Blur , Verbrennungsunschärfe
Burn Strength , Stärke der Verbrennung
Butterfly , Schmetterling
By Blue Chrominance , Nach blauer Chrominanz
By Blue Component , Nach blauer Komponente
By Custom Expression , Nach benutzerdefiniertem Ausdruck
By Green Component , Nach grüner Komponente
By Iteration , Durch Iteration
By Lightness , Durch Leichtigkeit
By Luminance , Nach Leuchtdichte
By Red Chrominance , Nach Roter Chrominanz
By Red Component , Nach roter Komponente
By Value , Nach Wert
Camera Motion Only , Nur Kamerabewegung
Camera X , Kamera X
Camera Y , Kamera Y
Cameraman , Kameramann
Camouflage , Tarnung
Candle Light , Kerzenlicht
Canvas , Leinwand
Canvas Brightness , Helligkeit der Leinwand
Canvas Color , Leinwandfarbe
Canvas Darkness , Leinwand-Dunkelheit
Canvas Texture , Leinwand-Textur
Car , Auto
Card Suits , Karten-Anzüge
Caribe , Karibik
Cartesian Transform , Kartesische Transformation
Cartoon , Zeichentrickfilm
Cartoon [Animated] , Zeichentrickfilm [animiert]
Cat , Katze
Category , Kategorie
Cell Size , Größe der Zelle
Center , Zentrum
Center (%) , Zentrum (%)
Center Background , Hintergrund des Zentrums
Center Foreground , Zentrum Vordergrund
Center Help , Hilfe zum Zentrum
Center Size , Größe der Mitte
Center Smoothness , Glattheit der Mitte
Center X , Zentrum X
Center X-Shift , X-Verschiebung zentrieren
Center Y , Mitte Y
Center Y-Shift , Y-Verschiebung zentrieren
Centering (%) , Zentrierung (%)
Centering / Scale , Zentrierung/Skalierung
Centers Color , Zentren Farbe
Centers Radius , Zentren Radius
Centimeter , Zentimeter
Central  Perspective Outdoor , Zentralperspektive Außen
Central Perspective Indoor , Zentralperspektive Innen
Central Perspective Outdoor , Zentralperspektive Außen
Centre , Zentrum
Chalk It Up , Kreide es ein
Channel #1 , Kanal 1
Channel #2 , Kanal 2
Channel #3 , Kanal #3
Channel Processing , Kanal-Verarbeitung
Channel(s) , Kanal(e)
Channels , Kanäle
Channels to Layers , Kanäle zu Ebenen
Charcoal , Holzkohle
Charset , Zeichensatz
Chebyshev , Tschebyschow
Checkered , Geprüft
Checkered Inverse , Geprüfte Inverse
Chemical 168 , Chemikalie 168
Chessboard , Schachbrett
Chick , Küken
Chroma Noise , Chroma-Lärm
Chromatic Aberrations , Chromatische Aberrationen
Chromaticity From , Chromatizität von
Chrome 01 , Chrom 01
Chrominances Only (ab) , Nur Chrominanzen (ab)
Chrominances Only (CbCr) , Nur Chrominanzen (CbCr)
Cine Drama , Filmdrama
Cine Teal Orange 1 , Krickentee Orange 1
Cine Teal Orange 2 , Krickentee Orange 2
Cine Vibrant , Lebendiger Cine
Cinema , Kino
Cinema 2 , Kino 2
Cinema 3 , Kino 3
Cinema 4 , Kino 4
Cinema 5 , Kino 5
Cinematic (8) , Kinematografisch (8)
Cinematic for Flog , Cinematic für Flog
Cinematic Lady Bird , Cinematischer Frauenvogel
Cinematic Mexico , Cinematisches Mexiko
Cinematic Travel (29) , Kinematografische Reisen (29)
Cinematic-1 , Kinematografisch-1
Circle , Kreis
Circle (Inv.) , Kreis (Inv.)
Circle 1 , Kreis 1
Circle 2 , Kreis 2
Circle Abstraction , Kreis-Abstraktion
Circle Art , Kreis-Kunst
Circle to Square , Vom Kreis zum Quadrat
Circle Transform , Kreis-Transformation
Circles , Kreise
Circles (Outline) , Kreise (Umriss)
Circles 1 , Kreise 1
Circles 2 , Kreise 2
Circular , Rundschreiben
City 7 , Stadt 7
Clarity , Klarheit
Classic Chrome , Klassisches Chrom
Classic Teal and Orange , Klassische Krickente und Orange
Clean , Sauber
Clean Text , Text bereinigen
Clear Control Points , Kontrollpunkte löschen
Clear Teal Fade , Krickende Krickente löschen
Cliff , Klippe
Clip , Ausschnitt
Clip CMYK , Ausschnitt CMYK
