<b>Arrays & Tiles</b> , <b>Matrices y azulejos</b>
2nd Color , 2º Color
2nd Parameter , 2º parámetro
2nd Text , 2º Texto
2nd Tone , 2º Tono
2nd Variance , 2ª Variación
2nd X-Coord , 2º X-Coord
2nd Y-Coord , 2º Y-Coord
2x Type , 2x Tipo
2XY Mirror , Espejo 2XY
3 Colors , 3 colores
3 Grays , 3 Grises
3 Mix , 3 Mezcla
3.  Plasma Alpha Channel , 3. Canal Alfa de Plasma
30. Minimum Hue , 30. Tono mínimo
31. Maximum Hue , 31. Tono máximo
32. Minimum Saturation , 32. Saturación mínima
33. Maximum Saturation , 33. Saturación máxima
34. Minimum Value , 34. Valor mínimo
343 Keypoints , 343 Puntos clave
35. Maximum Value , 35. Valor máximo
36. Hue Offset , 36. Compensación de tonalidad
37. Saturation Offset , 37. Compensación de saturación
38. Value Offset , 38. Compensación del valor
3D Blocks , Bloques 3D
3D CLUT (Fast) , 3D CLUT (Rápido)
3D CLUT (Precise) , CLUT 3D (Preciso)
3D Colored Object , Objeto coloreado en 3D
3D Conversion , Conversión 3D
3D Elevation , Elevación 3D
3D Elevation [Animated] , Elevación 3D [Animado]
3D Extrusion , Extrusión 3D
3D Extrusion [Animated] , Extrusión 3D [Animado]
3D Image Object , Objeto de imagen 3D
3D Image Object [Animated] , Objeto de imagen 3D [Animado]
3D Image Type , Tipo de imagen 3D
3D Lathing , Torneado 3D
3D Metaballs , Metabolas 3D
3D Random Objects , Objetos aleatorios en 3D
3D Reflection , Reflexión 3D
3D Rubber Object , Objeto de goma 3D
3D Starfield , Campo estelar en 3D
3D Text Pointcloud , Nube de puntos de texto en 3D
3D Tiles , Azulejos 3D
3D Video Conversion , Conversión de video 3D
3D Waves , Ondas 3D
3rd , Tercero.
3rd Color , 3er Color
3rd Parameter , 3er parámetro
3rd Tone , 3er Tono
3rd X-Coord , 3ª X-Coord
3rd Y-Coord , 3ª cuerda en Y
4 Colors , 4 colores
4 Grays , 4 Grises
4.  Segmentation [No Alpha Channel] , 4. Segmentación [Sin canal alfa]
4096x4096 Layer , 4096x4096 Capa
45 Deg. , 45 grados.
4th , 4º.
4th Color , 4º Color
4th Tone , 4º Tono
5.  Edge Threshold , 5. Umbral del borde
512x512 Layer , 512x512 Capa
5th , 5º.
5th Color , 5º Color
5th Tone , 5º Tono
6.  Smoothness , 6. Suavidad
60's (faded Alt) , 60's (Alt descolorido)
60's (faded) , 60's (descolorido)
64 (Faster) , 64 (Más rápido)
64 Keypoints , 64 Puntos clave
67.5 Deg. , 67,5 grados.
6th , 6º.
6th Color , 6º Color
6th Tone , 6º Tono
7.  Blur , 7. Blur
7th , 7º.
7th Color , 7º Color
7th Tone , 7º Tono
8 Colors , 8 Colores
8 Grays , 8 Grises
8 Keypoints (RGB Corners) , 8 Puntos clave (Esquinas RGB)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. Pixelización cuádruple [Sin canal alfa]
8th , 8º.
8th Color , 8º Color
8th Tone , 8º Tono
9.  Quadtree Min Precision , 9. Precisión mínima de un cuadrípode
90 Deg. , 90 grados.
9th , 9º.
9th Color , 9º Color
[Cyan]MYK , MYK
A Lot of Cyan , Mucho cian
A Lot of Key , Un montón de llave
A Lot of Magenta , Mucho magenta
A Lot of Yellow , Un montón de amarillo
A-Color Factor , Factor A-Color
A-Color Shift , Cambio de color A
A-Color Smoothness , Suavidad de color A
A-Component , Componente A
A-Value , Valor A
A4 / 100 PPI (Recommended) , A4 / 100 PPI (Recomendado)
Abigail Gonzalez (21) , Abigail González (21)
About G'MIC , Acerca de G'MIC
Absolute Brightness , Brillo absoluto
Absolute Value , Valor absoluto
Abstraction , Abstracción
Acceleration , Aceleración
Achromatomaly , Acromatomía
Achromatopsia , Acromatopsia
Acros , A través de
Action , Acción
Action #1 , Acción #1
Action #10 , Acción #10
Action #11 , Acción #11
Action #12 , Acción #12
Action #13 , Acción #13
Action #14 , Acción #14
Action #15 , Acción #15
Action #16 , Acción #16
Action #17 , Acción #17
Action #18 , Acción #18
Action #19 , Acción #19
Action #2 , Acción #2
Action #20 , Acción #20
Action #21 , Acción #21
Action #22 , Acción #22
Action #23 , Acción #23
Action #24 , Acción #24
Action #3 , Acción #3
Action #4 , Acción #4
Action #5 , Acción #5
Action #6 , Acción #6
Action #7 , Acción #7
Action #8 , Acción #8
Action #9 , Acción #9
Action Red 01 , Acción Roja 01
Activate 'Pencil Smoother' , Activar el "Alisador de lápices
Activate Color Enhancement , Activar la mejora del color
Activate Colors Geometric Shapes , Activar los colores de las formas geométricas
Activate Custom Filter , Activar el filtro personalizado
Activate Lizards , Activar los lagartos
Activate Mirror , Activar el espejo
Activate Pink Elephants , Activar los elefantes rosados
Activate Second Direction , Activar la segunda dirección
Activate Shakes , Activar los batidos
Activate Slice 1 , Activar la rebanada 1
Activate Slice 2 , Activar la rebanada 2
Activate Slice 3 , Activar la rebanada 3
Activate Slice 4 , Activar la rebanada 4
Adaptive , Adaptable
Add , Añade
Add 1px Outline , Agregar 1px Esquema
Add Alpha Channels to Detail Scale Layers , Añadir los canales alfa a las capas de escala de detalle
Add as a New Layer , Añadir como una nueva capa
Add Chalk Highlights , Agregar puntos destacados de tiza
Add Color Background , Añadir fondo de color
Add Comment Area in HTML Page , Agregar área de comentarios en la página HTML
Add Grain , Añade el grano
Add Image Label , Añadir etiqueta de imagen
Add Painter's Touch , Añadir el toque de pintor
Add User-Defined Constraints (Interactive) , Añadir restricciones definidas por el usuario (interactivo)
Additional Duplicates Count , Los duplicados adicionales cuentan
Additional Outline , Esquema adicional
Additive , Aditivo
Adjust Background Reconstruction , Ajustar la reconstrucción del fondo
Adventure 1453 , Aventura 1453
Aggresive , Agresivo
Aggressive Highlights Recovery 5 , Agresivo destaca la recuperación 5
Algorithm , Algoritmo
Align Image Streams , Alinear los flujos de imágenes
Align Layers , Alinear las capas
Aligned , Alineado
Alignment Type , Tipo de alineación
All , Todos
All 45° Rotations , Todos los 45° Rotaciones
All 90° Rotations , Todos los 90° Rotaciones
All [Collage] , Todos [Collage]
All but Reference Color , Todo menos el color de referencia
All Layers and Masks , Todas las capas y máscaras
All Tones , Todos los tonos
All XY-Flips , Todos los XY-Flips
Allow Angle , Permitir el ángulo
Allow Outer Blending , Permitir la mezcla externa
Allow Self Intersections , Permitir las intersecciones de sí mismo
Alpha , Alfa
Alpha Channel , Canal Alfa
Alpha Mode , Modo Alfa
Also Match Gradients , También se ajustan a los gradientes
Ambient (%) , Ambiente (%)
Ambient Lightness , La ligereza del ambiente
Amount , Cantidad
Amplitude , Amplitud
Amplitude (%) , Amplitud (%)
Amplitude / Angle , Amplitud/ángulo
Amstragram , Amstragrama
Anaglypgh Green/magenta Optimized , Anaglypgh Green/magenta Optimizado
Anaglyph Blue/yellow , Anaglifo Azul/amarillo
Anaglyph Blue/yellow Optimized , Anaglifo Azul/amarillo Optimizado
Anaglyph Glasses Adjustment , Ajuste de las gafas de anaglifo
Anaglyph Green/magenta , Verde anaglifo/magenta
Anaglyph Green/magenta Optimized , Verde anaglifo/magenta optimizado
Anaglyph Reconstruction , Reconstrucción de anaglifos
Anaglyph Red/cyan , Anaglifo Rojo/cyan
Anaglyph Red/cyan Optimized , Anaglifo rojo/cyan optimizado
Anaglyph: Red/Cyan , Anaglifo: Rojo/Cyan
AnalogFX - Sepia Color , AnalogFX - Color Sepia
Analysis Scale , Escala de análisis
Analysis Smoothness , Análisis Suavidad
And , Y
Angle , Ángulo
Angle (%) , Ángulo (%)
Angle (deg) , Ángulo (deg)
Angle (deg.) , Ángulo (deg.)
Angle / Size , Ángulo / Tamaño
Angle Cut , Corte de ángulo
Angle Dispersion , Dispersión del ángulo
Angle Image Contour , Contorno de la imagen en ángulo
Angle of Disturbance Surface , Ángulo de la superficie de la perturbación
Angle of Main Nebulous Surface , Ángulo de la superficie nebulosa principal
Angle Range , Rango de ángulo
Angle Range (deg.) , Rango de ángulo (deg.)
Angle Tilt , Inclinación del ángulo
Angle Variations , Variaciones de ángulo
Anguish , Angustia
Angular Precision , Precisión angular
Angular Tiles , Baldosas angulares
Anisotropic , Anisótropo
Anisotropy , Anisotropía
Annular Steiner Chain Round Tiles , Cadena anular Steiner Baldosas redondas
Antisymmetry , Antisimetría
Any , Cualquier
Apocalypse This Very Moment , Apocalipsis en este mismo momento
Apples , Manzanas
Apply Adjustments On , Aplicar los ajustes en
Apply Color Balance , Aplicar el balance de color
Apply External CLUT , Aplicar CLUT externo
Apply Mask , Aplicar la máscara
Apply Skin Tone Mask , Aplicar la máscara de tono de piel
Apply Transformation From , Aplicar la transformación de
Aqua and Orange Dark , Aqua y Naranja oscuro
Area , Área
Area Smoothness , Suavidad de la zona
Areas Light Adjustment , Ajuste de la luz de las áreas
Areas Smoothness , Suavidad de las áreas
Array [Faded] , Array [descolorido]
Array [Mirrored] , Array [Espejo]
Array [Random Colors] , Array [Colores aleatorios]
Array [Random] , Array [Aleatorio]
Array Mode , Modo de arreglo...
Arrows , Flechas
Arrows (Outline) , Flechas (Esquema)
Artistic  Modern , Artístico Moderno
Artistic Hard , Artístico Duro
Artistic Round , Ronda artística
Ascii Art , Arte Ascii
Aspect , Aspecto
Aspect Ratio , Relación de aspecto
Associated Color , Color asociado
Attenuation , Atenuación
Auto Reduce Level (Level Slider Is Disabled) , Nivel de reducción automática (el deslizador de nivel está desactivado)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Auto Set Hue Inverse (Hue Slider está deshabilitado)
Auto-Clean Bottom Color Layer , Capa de color de fondo de limpieza automática
Auto-Reduce Number of Frames , Auto-reducción del número de cuadros
Auto-Set Periodicity , Periodicidad del Auto-Set
Autocrop Output Layers , Capas de salida de autocorte
Automatic , Automático
Automatic & Contrast Mask , Máscara automática y de contraste
Automatic [Scan All Hues] , Automático [Escanea todas las tonalidades]
Automatic Color Balance , Balance de color automático
Automatic Depth Estimation , Estimación automática de la profundidad
Automatic Upscale for Optimum Results , Aumento automático de la escala para obtener resultados óptimos
Autumn , Otoño
Avalanche , Avalancha
Average , Promedio
Average 3x3 , Promedio 3x3
Average 5x5 , Promedio 5x5
Average 7x7 , Promedio 7x7
Average 9x9 , Promedio 9x9
Average RGB , Promedio RGB
Average Smoothness , Suavidad media
Avg / Max Weight , Peso medio/máximo
Avg Left Angle (deg.) , Ángulo izquierdo medio (deg.)
Avg Length Factor (%) , Factor de longitud media (%)
Avg Right Angle (deg.) , Ángulo recto medio (deg.)
Avg Thickness Factor (%) , Factor de espesor medio (%)
Axis , Eje
Azimuth , Azimut
B&W , EN BLANCO Y NEGRO
B&W Pencil [Animated] , Lápiz en blanco y negro [Animación]
B&W Photograph , Fotografía en blanco y negro
B&W Stencil , Plantilla en blanco y negro
B&W Stencil [Animated] , B&W Stencil [Animado]
B-Color Factor , Factor B-Color
B-Color Shift , Cambio de color B
B-Color Smoothness , Suavidad del color B
B-Component , Componente B
Background , Antecedentes
Background Color , Color de fondo
Background Intensity , Intensidad de fondo
Background Point (%) , Punto de fondo (%)
Backward , Retrocede
Backward Horizontal , Horizontal hacia atrás
Backward Vertical , Vertical hacia atrás
Balance Color , Equilibrar el color
Ball , Bola
Balloons , Globos
Balls , Bolas
Band Width , Ancho de banda
Bandwidth , Ancho de banda
Barbed Wire , Alambre de púas
Bars , Bares
Base Reference Dimension , Dimensión de referencia de la base
Base Scale , Escala de la base
Base Thickness (%) , Espesor de la base (%)
Basic Adjustments , Ajustes básicos
Batch Processing , Procesamiento por lotes
Bayer Filter , Filtro Bayer
Bayer Reconstruction , Reconstrucción de Bayer
Behind , Detrás de
Below , Debajo de
Berlin Sky , El cielo de Berlín
Best Match , Mejor partido
BG Textured , BG Texturizado
Bi-Directional , Bi-Direccional
Bicubic , Bicúbico
Bidirectional [Sharp] , Bidireccional [Sharp]
Bidirectional [Smooth] , Bidireccional [Suave]
Bidirectional Rendering , Renderización bidireccional
Bilateral Radius , Radio bilateral
Binary , Binario
Binary Digits , Cifras binarias
Bit Masking (End) , Enmascaramiento de bits (Fin)
Bit Masking (Start) , Enmascaramiento de bits (Inicio)
Black , Negro
Black & White , Blanco y negro
Black & White (25) , Blanco y negro (25)
Black & White-1 , Blanco y Negro-1
Black & White-10 , Blanco y Negro-10
Black & White-2 , Blanco y Negro-2
Black & White-3 , Blanco y Negro-3
Black & White-4 , Blanco y Negro-4
Black & White-5 , Blanco y Negro-5
Black & White-6 , Blanco y Negro-6
Black & White-7 , Blanco y Negro-7
Black & White-8 , Blanco y Negro-8
Black & White-9 , Blanco y Negro-9
Black Crayon Graffiti , Graffiti de lápiz negro
Black Dices , Dados negros
Black Level , Nivel de negro
Black on Transparent , Negro sobre transparente
Black on Transparent White , Negro sobre blanco transparente
Black on White , Negro sobre blanco
Black Point , Punto Negro
Black Star , Estrella Negra
Black to White , Negro a Blanco
Blacks , Negros
Blank , En blanco
Bleach Bypass , Bypass de blanqueo
Bleach Bypass 1 , Bypass de blanqueo 1
Bleach Bypass 2 , Bypass de blanqueo 2
Bleach Bypass 3 , Bypass de blanqueo 3
Bleach Bypass 4 , Bypass de blanqueo 4
Bleech Bypass Green , Bleech Bypass Verde
Bleech Bypass Yellow 01 , Bleech Bypass Amarillo 01
Blend , Mezcla
Blend [Average All] , Mezcla [Promedio de todos]
Blend [Edges] , Mezclar [Bordes]
Blend [Fade] , Mezcla [Fade]
Blend [Median] , Mezcla [Mediana]
Blend [Seamless] , Mezcla [sin costura]
Blend [Standard] , Mezcla [Estándar]
Blend All Layers , Mezclar todas las capas
Blend Decay , La mezcla decadencia
Blend Mode , Modo de mezcla
Blend Rays , Mezclar los rayos
Blend Scales , Escalas de mezcla
Blend Size , Tamaño de la mezcla
Blend Threshold , Umbral de mezcla
Blending Mode , Modo de mezcla
Blending Size , Tamaño de la mezcla
Blindness Type , Tipo de ceguera
Blob Size , Tamaño de la mancha
Blobs Editor , Editor de Blobs
Bloc Size (%) , Tamaño del bloque (%)
Blockism , Bloqueo
Blue , Azul
Blue & Red Chrominances , Crominanzas Azul y Roja
Blue Chroma Factor , Factor de croma azul
Blue Chroma Shift , Cambio de croma azul
Blue Chroma Smoothness , Suavidad del croma azul
Blue Chrominance , Crominancia azul
Blue Dark , Azul oscuro
Blue Factor , Factor Azul
Blue House , La Casa Azul
Blue Ice , Hielo azul
Blue Level , Nivel Azul
Blue Mono , Mono Azul
Blue Rotations , Rotaciones azules
Blue Screen Mode , Modo de pantalla azul
Blue Shadows 01 , Sombras Azules 01
Blue Shift , Turno azul
Blue Smoothness , Suavidad azul
Blue Steel , Acero Azul
Blue Wavelength , Longitud de Onda Azul
Blue-Green , Azul-Verde
Blur [Angular] , Borrón [Angular]
Blur [Bloom] , Borrón [Bloom]
Blur [Depth-Of-Field] , Blur [Profundidad de campo]
Blur [Gaussian] , Borrón [gaussiano]
Blur [Glow] , Borrón y cuenta nueva
Blur [Linear] , Borrón [Lineal]
Blur [Multidirectional] , Blur [Multidireccional]
Blur [Radial] , Borrón [Radial]
Blur Alpha , Borrar Alfa
Blur Amount , Cantidad de borrosidad
Blur Amplitude , Amplitud de la borrosidad
Blur Dodge and Burn Layer , Desenfocar Dodge y Burn Layer
Blur Factor , Factor de borrosidad
Blur Frame , Marco borroso
Blur Percentage , Borrón Porcentaje
Blur Precision , Precisión de la borrosidad
Blur Standard Deviation , Desviación estándar de la borrosidad
Blur Strength , Fuerza de la borrosidad
Blur the Mask , Desenfocar la máscara
Boats , Barcos
Boost , Impulso
Boost Chromaticity , Aumentar la cromaticidad
Boost Contrast , Aumentar el contraste
Boost Smooth , Impulso Suave
Boost Stroke , Impulso de la apoplejía
Border Color , Color del borde
Border Opacity , Opacidad de la frontera
Border Outline , Esquema de la frontera
Border Smoothness , Suavidad de la frontera
Border Thickness (%) , Espesor de la frontera (%)
Border Width , Ancho de la frontera
Both , Ambos
Bottles , Botellas
Bottom , Abajo
Bottom and Left Foreground , Abajo y a la izquierda en primer plano
Bottom and Right Foreground , Fondo y primer plano a la derecha
Bottom and Top Foreground , En primer plano, abajo y arriba
Bottom Layer , Capa inferior
Bottom Left , Abajo a la izquierda
Bottom Right , Abajo a la derecha
Bottom Size , El tamaño del fondo
Bottom-Left , Abajo a la izquierda
Bottom-Left Vertex (%) , Vértice inferior izquierdo (%)
Bottom-Right , Abajo-Derecha
Bottom-Right Vertex (%) , Vértice inferior derecho (%)
Bouncing Balls , Bolas que rebotan
Boundaries (%) , Límites (%)
Boundary , Límite
Boundary Condition , Condición de los límites
Boundary Conditions , Condiciones límites
Box Fitting , Ajuste de la caja
Branches , Ramas
Braque: Landscape near Antwerp , Braque: Paisaje cerca de Amberes
Braque: Little Bay at La Ciotat , Braque: Pequeña bahía en La Ciotat
Braque: The Mandola , Braque: La Mandola
Brighness , Brigada
Bright , Brillante
Bright Green , Verde brillante
Bright Green 01 , Verde brillante 01
Bright Length , Longitud brillante
Bright Pixels , Píxeles brillantes
Bright Teal Orange , Naranja Cerceta Brillante
Bright Warm , Brillante Caliente
Brighter , Más brillante
Brightness , Brillo
Brightness (%) , Brillo (%)
Bristle Size , El tamaño de las cerdas
Bronze , Bronce
Brownish , Marrón
Brushify , Cepillar
Built-in Gray , Gris incorporado
Bump Factor , Factor de choque
Burn , Quemar
Burn Strength , Fuerza de la quemadura
Butterfly , Mariposa
By Blue Chrominance , Por Blue Chrominance
By Blue Component , Por el Componente Azul
By Custom Expression , Por expresión personalizada
By Green Component , Por el Componente Verde
By Iteration , Por Iteración
By Lightness , Por la ligereza
By Luminance , Por la luminancia
By Red Chrominance , Por Crominancia Roja
By Red Component , Por el componente rojo
By Value , Por valor
Camera Motion Only , Sólo el movimiento de la cámara
Camera X , Cámara X
Camera Y , Cámara Y
Cameraman , Camarógrafo
Camouflage , Camuflaje
Candle Light , La luz de las velas
Canvas , Lienzo
Canvas Brightness , Brillo del lienzo
Canvas Color , Color del lienzo
Canvas Darkness , Lienzo Oscuridad
Canvas Texture , Textura del lienzo
Car , Coche
Card Suits , Trajes de cartas
Cartesian Transform , Transformación cartesiana
Cartoon , Caricatura
Cartoon [Animated] , Caricatura [Animada]
Cat , Gato
Category , Categoría
Cell Size , Tamaño de la célula
Center , Centro
Center (%) , Centro (%)
Center Background , Fondo del Centro
Center Foreground , Primer plano central
Center Help , Ayuda del Centro
Center Size , Tamaño del centro
Center Smoothness , Suavidad del centro
Center X , Centro X
Center X-Shift , Centro X-Shift
Center Y , Centro Y
Center Y-Shift , Desplazamiento Y central
Centering (%) , Centrado (%)
Centering / Scale , Centrado / Escala
Centers Color , Centros de color
Centers Radius , Radio de los centros
Centimeter , Centímetros
Central  Perspective Outdoor , Perspectiva central en el exterior
Central Perspective Indoor , Perspectiva central en interiores
Central Perspective Outdoor , Perspectiva central en el exterior
Centre , Centro
Chalk It Up , Anota...
Channel #1 , Canal 1
Channel #2 , Canal 2
Channel #3 , Canal 3
Channel Processing , Procesamiento del canal
Channel(s) , Canal(es)
Channels , Canales
Channels to Layers , Canales a las capas
Charcoal , Carbón vegetal
Checkered , A cuadros
Checkered Inverse , A cuadros invertidos
Chemical 168 , Química 168
Chessboard , Tablero de ajedrez
Chroma Noise , Ruido cromático
Chromatic Aberrations , Aberraciones cromáticas
Chromaticity From , La cromaticidad de
Chrome 01 , Cromo 01
Chrominances Only (ab) , Sólo crominanzas (ab)
Chrominances Only (CbCr) , Sólo crominanzas (CbCr)
Cinema , Cine
Cinema 2 , Cine 2
Cinema 3 , Cine 3
Cinema 4 , Cine 4
Cinema 5 , Cine 5
Cinema Noir , Cine Negro
Cinematic (8) , Cinematográfico (8)
Cinematic for Flog , Cine para Flog
Cinematic Lady Bird , La Dama Pájaro Cinematográfica
Cinematic Mexico , El México cinematográfico
Cinematic Travel (29) , Viajes al cine (29)
Cinematic-01 , Cinemática-01
Cinematic-03 , Cinemática-03
Cinematic-1 , Cinemático-1
Cinematic-5 , Cinemático-5
Cinematic-6 , Cinemático-6
Cinematic-8 , Cinemático-8
Circle , Círculo
Circle (Inv.) , Círculo (Inv.)
Circle 1 , Círculo 1
Circle 2 , Círculo 2
Circle Abstraction , Abstracción del círculo
Circle Art , Arte en círculo
Circle to Square , Círculo a cuadrado
Circle Transform , Transformación del círculo
Circles , Círculos
Circles (Outline) , Círculos (Esquema)
Circles 1 , Círculos 1
Circles 2 , Círculos 2
City 7 , Ciudad 7
Clarity , Claridad
Classic Chrome , Cromo clásico
Classic Teal and Orange , Clásico Teal y Orange
Clean , Limpia
Clean Text , Texto limpio
Clear Control Points , Despejar los puntos de control
Clear Teal Fade , Desvanecimiento de la cerceta clara
Cliff , Acantilado
Closeup , Primer plano
Closing , Cierre
Closing - Opening , Cierre - Apertura
Closing - Original , Cierre - Original
Clouds , Nubes
CLUT from After - Before Layers , CLUT de Después - Antes de las capas
CLUT Opacity , Opacidad del CLUT
CM[Yellow]K , CM[Amarillo]K
CMY[Key] , CMY [Clave]
CMYK [cyan] , CMYK [cian]
CMYK [Key] , CMYK [Clave]
CMYK [Yellow] , CMYK [Amarillo]
CMYK Tone , Tono CMYK
Coarse , Grueso
Coarsest (faster) , Más grueso (más rápido)
Code , Código
Coefficients , Coeficientes
Coffee 44 , Café 44
Coherence , Coherencia
Cold Clear Blue , Azul claro y frío
Cold Clear Blue 1 , Azul claro y frío 1
Cold Simplicity 2 , Fría Simplicidad 2
Color (rich) , Color (rico)
Color 1 (Up/Left Corner) , Color 1 (arriba/izquierda)
Color 2 (Up/Right Corner) , Color 2 (Arriba/A la derecha)
Color 3 (Bottom/Left Corner) , Color 3 (Esquina inferior/izquierda)
Color 4 (Bottom/Right Corner) , Color 4 (Esquina inferior/derecha)
Color Abstraction Opacity , Opacidad de Abstracción de Color
Color Abstraction Paint , Pintura de Abstracción de Color
Color Balance , Equilibrio de color
Color Basis , Base de color
Color Blending , Mezcla de colores
Color Blindness , El daltonismo
Color Blue-Yellow , Color Azul-Amarillo
Color Boost , Aumento del color
Color Burn , Quemadura de color
Color Channel  Smoothing , Suavizar el canal de color
Color Channels , Canales de color
Color Dispersion , Dispersión del color
Color Doping , Dopaje de color
Color Effect Mode , Modo de efecto de color
Color Grading , Gradación de color
Color Green-Magenta , Color Verde-Magenta
Color Highlights , Los colores más destacados
Color Image , Imagen de color
Color Intensity , Intensidad de color
Color Mask , Máscara de color
Color Mask [Interactive] , Máscara de color [Interactivo]
Color Median , Mediana de color
Color Metric , Color Métrico
Color Midtones , Tonos medios de color
Color Mode , Modo de color
Color Model , Modelo de color
Color Negative , Color Negativo
Color on White , Color sobre blanco
Color Overall Effect , Efecto general del color
Color Presets , Preselecciones de color
Color Quantization , Cuantificación del color
Color Rendering , Rendimiento de color
Color Shading (%) , Sombreado de color (%)
Color Shadows , Sombras de color
Color Smoothness , Suavidad de color
Color Space , Espacio de color
Color Spots + Extrapolated Colors + Lineart , Manchas de color + Colores extrapolados + Lineal
Color Spots + Lineart , Manchas de color + Lineal
Color Strength , La fuerza del color
Color Temperature , La temperatura del color
Color Tolerance , Tolerancia de color
Color Variation [Random -1] , Variación de color [Aleatorio -1]
Colored Geometry , La geometría de color
Colored Grain , Grano de color
Colored Lineart , Lineart de color
Colored on Black , Coloreado en negro
Colored on Transparent , Coloreado en transparente
Colored Outline , Esquema de color
Colored Pencils , Lápices de color
Colored Regions , Regiones de color
Colorful , Colorido
Colorful 0209 , Colorido 0209
Colorful Blobs , Glóbulos de colores
Coloring , Coloración
Colorize [Interactive] , Colorear [Interactivo]
Colorize [Photographs] , Colorear [Fotografías]
Colorize [with Colormap] , Colorear [con Colormap]
Colorize Lineart [Auto-Fill] , Colorear Lineart [Auto-llenado]
Colorize Lineart [Propagation] , Colorear Lineart [Propagación]
Colorize Lineart [Smart Coloring] , Colorear Lineart [Coloración inteligente]
Colorize Mode , Modo de coloración
Colorized Image (1 Layer) , Imagen coloreada (1 capa)
Colormap Type , Tipo de Colormap
Colors , Colores
Colors A , Colores A
Colors B , Colores B
Colors Only , Sólo colores
