<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
6th Tone , 6-й Тон
7.  Blur , 7. Пятно
7th , 7-я
7th Color , 7-й цвет
7th Tone , 7-й тон
8 Colors , 8 Цветов
8 Grays , 8 серый
8 Keypoints (RGB Corners) , 8 Ключевые точки (углы RGB)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. Квадтри пикселизации [Нет альфа-канала]
8th , 8-я
8th Color , 8-й цвет
8th Tone , 8-й тон
9.  Quadtree Min Precision , 9. Квадтри Мин Точность
90 Deg. , 90 градусов.
9th , 9-ый
9th Color , 9-й цвет
[Cyan]MYK , МИК
A Lot of Cyan , Много сине-зелёного
A Lot of Key , Много ключей
A Lot of Magenta , Много пурпурного
A Lot of Yellow , Много желтого
A-Color Factor , А-Цветовой фактор
A-Color Shift , сдвиг цвета
A-Color Smoothness , Гладкость цвета
A4 / 100 PPI (Recommended) , A4 / 100 PPI (Рекомендуется)
Abigail Gonzalez (21) , Абигайль Гонсалес (21)
About G'MIC , О G'MIC
Absolute Brightness , Абсолютная Яркость
Absolute Value , Абсолютная стоимость
Abstraction , Абстракция
Acceleration , Ускорение
Achromatomaly , Ахроматомалия
Achromatopsia , Ахроматопсия
Acros , Акрос
Acros+G , Акрос+Г
Acros+Ye , Акрос+Да
Action , Действие
Action #1 , Действие № 1
Action #10 , Действие № 10
Action #11 , Действие № 11
Action #12 , Действие № 12
Action #13 , Действие № 13
Action #14 , Действие № 14
Action #15 , Действие № 15
Action #16 , Действие № 16
Action #17 , Действие № 17
Action #18 , Действие № 18
Action #19 , Действие № 19
Action #2 , Действие № 2
Action #20 , Действие № 20
Action #21 , Действие № 21
Action #22 , Действие #22
Action #23 , Действие № 23
Action #24 , Действие № 24
Action #3 , Действие № 3
Action #4 , Действие № 4
Action #5 , Действие № 5
Action #6 , Действие № 6
Action #7 , Действие № 7
Action #8 , Действие № 8
Action #9 , Действие № 9
Action Magenta 01 , Акция "Маджента 01
Action Red 01 , Действие Красный 01
Activate 'Pencil Smoother' , Активируйте "Карандаш Гладче".
Activate Color Enhancement , Активировать улучшение цвета
Activate Colors Geometric Shapes , Активировать цвета Геометрические формы
Activate Custom Filter , Активировать пользовательский фильтр
Activate Lizards , Активировать ящериц
Activate Mirror , Активировать зеркало
Activate Pink Elephants , Активировать розовых слонов
Activate Second Direction , Активировать второе направление
Activate Shakes , Активировать коктейли
Activate Slice 1 , Активировать ломтик 1
Activate Slice 2 , Активировать ломтик 2
Activate Slice 3 , Активировать ломтик 3
Activate Slice 4 , Активировать ломтик 4
Activer Symmetrizoscope , Активерный симметризоскоп
Adaptive , Адаптивный сайт
Add , Добавить
Add 1px Outline , Добавить 1px Очертание
Add Alpha Channels to Detail Scale Layers , Добавить альфа-каналы в слои деталей шкалы
Add as a New Layer , Добавить как новый слой
Add Chalk Highlights , Добавить мелом Основные моменты
Add Color Background , Добавить цветной фон
Add Comment Area in HTML Page , Добавить область комментариев в HTML Page
Add Grain , Добавить зерно
Add Image Label , Добавить ярлык изображения
Add Painter's Touch , Добавить прикосновение художника
Add User-Defined Constraints (Interactive) , Добавить пользовательские ограничения (интерактивные)
Additional Duplicates Count , Дополнительный подсчет дубликатов
Additional Outline , Дополнительное описание
Additive , Добавочный сайт
Adjust Background Reconstruction , Настроить фоновую реконструкцию
Adventure 1453 , Приключение 1453
Agfa Vista 200 , Агфа-Виста 200
Aggressive Highlights Recovery 5 , Агрессивные моменты Восстановление 5
Alex Jordan (81) , Алекс Джордан (81)
Algorithm , Алгоритм
Aliasing , Псевдоожижение
Alien Green , Чужеродная зелень
Align Image Streams , Выравнивание потоков изображений
Align Layers , Выравнивающие слои
Aligned , Подписанный
Alignment Type , Тип выравнивания
All , Все
All 45° Rotations , Все 45° Вращения
All 90° Rotations , Все 90&деградусов; Вращения
All [Collage] , Все [Коллаж]
All but Reference Color , Все, кроме эталонного цвета
All Layers and Masks , Все слои и маски
All Tones , Все тона
All XY-Flips , Все XY-флипы
Allow Angle , Разрешить угол
Allow Outer Blending , Разрешить внешнее смешивание
Allow Self Intersections , Разрешить самопересечения
Alpha , Альфа
Alpha Channel , Альфа-канал
Alpha Mode , альфа-режим
Also Match Gradients , Также совпадают градиенты
Ambient (%) , Окружающая среда (%)
Ambient Lightness , Окружающая освещенность
Amount , Сумма
Amplitude , Амплитуда
Amplitude (%) , Амплитуда (%)
Amplitude / Angle , Амплитуда / Угол
Amstragram , Амстраграмма
Amstragram+ , Амстраграмма+
Anaglypgh Green/magenta Optimized , Анаглипг Зеленый/магента Оптимизировано
Anaglyph Blue/yellow , Анаглиф Голубой/желтый
Anaglyph Blue/yellow Optimized , Анаглиф Голубой/желтый Оптимизированный
Anaglyph Glasses Adjustment , Регулировка анаглифных стекол
Anaglyph Green/magenta , Анаглиф Грин/Магента
Anaglyph Green/magenta Optimized , Анаглиф Зеленый/магента Оптимизированный
Anaglyph Reconstruction , Реконструкция анаглифов
Anaglyph Red/cyan , Анаглиф Красный/голубой
Anaglyph Red/cyan Optimized , Анаглиф Красный/голубой Оптимизированный
Anaglyph: Red/Cyan , Анаглиф: красный/синий
AnalogFX - Old Style I , AnalogFX - Старый Стиль I
AnalogFX - Old Style II , AnalogFX - Старый Стиль II
AnalogFX - Old Style III , AnalogFX - Старый Стиль III
AnalogFX - Soft Sepia I , AnalogFX - мягкая сепия I
AnalogFX - Soft Sepia II , AnalogFX - мягкая сепия II
Analysis Scale , Шкала анализа
Analysis Smoothness , Гладкость анализа
And , И
Angle (%) , Угол (%)
Angle (deg) , Угол (градусов)
Angle (deg.) , Угол (градус)
Angle / Size , Угол / размер
Angle Cut , Отрезок под углом
Angle Dispersion , рассеивание углов
Angle Image Contour , Угловой контур изображения
Angle of Disturbance Surface , Угол возмущения Поверхность
Angle of Main Nebulous Surface , Угол главной поверхности туманности
Angle Range , Диапазон углов
Angle Range (deg.) , Диапазон углов (град.)
Angle Tilt , Угол наклона
Angle Variations , Вариации углов
Anguish , Страдание
Angular , Угловой
Angular Precision , угловая точность
Angular Tiles , Угловая плитка
Anime , Аниме
Anisotropic , Анизотропный
Anisotropy , Анизотропия
Annular Steiner Chain Round Tiles , Круглые плитки с кольцевой цепью Штейнера
Anti Alias , Анти-альянс
Antialiasing , Сглаживание
Antisymmetry , Антисимметрия
Any , Любой
Apocalypse This Very Moment , Апокалипсис - это очень мгновенный момент.
Apply Adjustments On , Применить настройки Вкл
Apply Color Balance , Применить цветовой баланс
Apply External CLUT , Применить внешнее замыкание
Apply Mask , Применить Маску
Apply Skin Tone Mask , Применить маску тона кожи
Apply Transformation From , Применить преобразование от
Arabica 12 , Арабика 12
Area , Территория
Area Smoothness , Площадь Гладкость
Areas Light Adjustment , Области Регулировка освещения
Areas Smoothness , Области Гладкость
Array [Faded] , Массив [Выцветший]
Array [Mirrored] , Массив [Зеркало]
Array [Random Colors] , Массив [Случайные цвета]
Array [Random] , Массив [Случайность]
Array [Regular] , Массив [Обычный]
Array Mode , Режим массива
Arrows , Стрелки
Arrows (Outline) , Стрелки (Outline)
Artistic  Modern , Художественный Модерн
Artistic Hard , Художественно сложная
Artistic Round , Художественный раунд
Ascii Art , Асций Арт
Aspect , Аспект
Aspect Ratio , Соотношение сторон
Asplenium Adiantum-Nigrum , аспленовый адиант-нигрум
Associated Color , Соответствующий цвет
Astia , Астия
Attenuation , Аттенуация
Aurora , Аврора
Australia , Австралия
Auto , Авто
Auto Balance , Автоматический баланс
Auto Crop , Автоматическая культура
Auto Reduce Level (Level Slider Is Disabled) , Автоматическое снижение уровня (ползунок уровня отключен)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Автоматическая установка инверсии оттенка (ползунок оттенка отключен)
Auto-Clean Bottom Color Layer , Автоматически чистый нижний цветной слой
Auto-Reduce Number of Frames , Автоматическая перезагрузка Количество кадров
Auto-Set Periodicity , Автоматическая установка периодичности
Auto-Threshold , Автопорог
Autocrop , Автокроп
Autocrop Output Layers , Автоматические выходные слои
Automatic , Автоматический
Automatic & Contrast Mask , Автоматическая и контрастная маска
Automatic [Scan All Hues] , Автоматически [Сканировать все оттенки]
Automatic Color Balance , Автоматический цветовой баланс
Automatic Depth Estimation , Автоматическая оценка глубины
Automatic Upscale for Optimum Results , Автоматическое повышение шкалы для оптимальных результатов
Autumn , Осень
Ava 614 , ава 614
Avalanche , Лавина
Average , Средний
Average 3x3 , Средний размер 3х3
Average 5x5 , В среднем 5х5
Average 7x7 , средний размер 7х7
Average 9x9 , В среднем 9х9
Average RGB , Средний RGB
Average Smoothness , Средняя гладкость
Avg / Max Weight , Авг/Макс Вес
Avg Branching , Авгская ветвь
Avg Left Angle (deg.) , Авг Левый Угол (град.)
Avg Length Factor (%) , Коэффициент длины Avg (%)
Axis , Ось
Azimuth , Азимут
Azrael 93 , Азраиль 93
B&W , КРОВАТЬ И НОЧЬ
B&W Pencil [Animated] , Чёрно-белый карандаш [анимированный]
B&W Photograph , ч/б фотография
B&W Stencil , трафаретная печать
B&W Stencil [Animated] , Трафарет по трафарету B&W [анимированный]
B-Color Factor , коэффициент B-цвета
B-Color Shift , сдвиг цвета B
B-Color Smoothness , Гладкость цвета B
B-Component , B-компонент
Background , Справочная информация
Background Color , Цвет фона
Background Intensity , Интенсивность фона
Background Point (%) , Фоновая точка (%)
Backward , Назад
Backward Horizontal , Назад по горизонтали
Backward Vertical , обратная вертикаль
Balance , Баланс
Balance Color , Цвет баланса
Balance SRGB , Баланс SRGB
Ball , Шар
Balloons , Воздушные шары
Balls , Шарики
Band Width , Ширина полосы
Banding Denoise , Обвязка денуазы
Bandwidth , Полоса пропускания
Barbara , Барбара
Barbed Wire , колючая проволока
Barnsley Fern , папоротник Барнсли
Bars , Бары
Base Reference Dimension , Базовое эталонное измерение
Base Scale , Базовая шкала
Base Thickness (%) , Базовая толщина (%)
Basic Adjustments , Основные корректировки
Batch Processing , Пакетная обработка
Bayer Filter , фильтр Байера
Bayer Reconstruction , Реконструкция Байера
Behind , Позади
Below , Ниже
Berlin Sky , берлинское небо
Best Match , Лучший матч
Beta , Бета-версия
BG Textured , BG Текстурированный
Bi-Directional , Двунаправленный
Bicubic , Бикубик
Bidirectional [Sharp] , Двунаправленный [Sharp]
Bidirectional [Smooth] , Двунаправленный [Гладкий]
Bidirectional Rendering , двунаправленное реендеринг
Bilateral , Двусторонний
Bilateral Radius , Двустороннее Радиус
Binary , Двоичный
Binary Digits , двоичные цифры
Bit Masking (End) , Битовая маскировка (в конце)
Bit Masking (Start) , Битовая маскировка (Старт)
Black & White , Чёрное и белое
Black & White (25) , Чёрное и белое (25)
Black & White-1 , Чёрно-белый-1
Black & White-10 , Чёрное и Белое-10
Black & White-2 , Чёрное и Белое-2
Black & White-3 , Чёрное и белое 3
Black & White-4 , Чёрный и белый-4
Black & White-5 , Чёрный и белый-5
Black & White-6 , Чёрный и белый-6
Black & White-7 , Чёрное и Белое-7
Black & White-8 , Чёрный и белый 8
Black & White-9 , Чёрное и Белое-9
Black Crayon Graffiti , черные карандашные граффити
Black Dices , Чёрные кубики
Black Level , Уровень черного
Black on Transparent , Чёрный на прозрачном
Black on Transparent White , Черный на прозрачном белом
Black on White , Чёрный на белом
Black Point , Чёрная точка
Black Star , Чёрная звезда
Black to White , От черного до белого
Blacks , Чернокожие
Blade Runner , Лезвиевой бегунок
Blank , Пустой
Bleach Bypass , Отбеливающий байпас
Bleach Bypass 1 , Отбеливающий байпас 1
Bleach Bypass 2 , Отбеливающий байпас 2
Bleach Bypass 3 , Отбеливатель байпас 3
Bleach Bypass 4 , Отбеливающий байпас 4
Bleech Bypass Green , Байпасный зеленый
Bleech Bypass Yellow 01 , Байпасный желтый 01
Blend , Смешать
Blend [Average All] , Смешайте [Средние все]
Blend [Edges] , Смешать [края]
Blend [Fade] , Смесь [Fade]
Blend [Median] , Смесь [Медиана]
Blend [Seamless] , Смесь [Бесшовная]
Blend [Standard] , Смесь [Стандартная]
Blend Mode , Режим смешивания
Blend Rays , Смесительные лучи
Blend Scales , Весы для смешивания
Blend Size , Размер смеси
Blend Threshold , Порог смешивания
Blending Mode , Режим смешивания
Blending Size , Размер купажа
Blindness Type , Тип слепоты
Blob 1 , Капля 1
Blob 1 Color , Капля 1 Цвет
Blob 10 , Капля 10
Blob 10 Color , Капля 10 Цвет
Blob 11 , капля 11
Blob 11 Color , Капля 11 Цвет
Blob 12 , Капля 12
Blob 12 Color , Капля 12 Цвет
Blob 2 Color , Капля 2 Цвет
Blob 3 , Капля 3
Blob 3 Color , Капля 3 Цвет
Blob 4 , Капля 4
Blob 4 Color , Капля 4 Цвет
Blob 5 , Капля 5
Blob 5 Color , Капля 5 Цвет
Blob 6 , Капля 6
Blob 6 Color , Капля 6 Цвет
Blob 7 , Капля 7
Blob 7 Color , Капля 7 Цвет
Blob 8 , Капля 8
Blob 8 Color , Капля 8 Цвет
Blob 9 , Капля 9
Blob 9 Color , Капля 9 Цвет
Blob Size , Размер капли
Blobs Editor , редактор Blobs
Bloc , Блок
Bloc Size (%) , Размер блока (%)
Blockism , Блокизм
Bloom , Блум
Blue , Синий
Blue & Red Chrominances , Голубые и красные хромины
Blue Chroma Factor , Синий цветовой фактор
Blue Chroma Shift , Сдвиг синей хромы
Blue Chroma Smoothness , Гладкость синей хромы
Blue Chrominance , Голубое хромансирование
Blue Cold Fade , Голубое холодное угасание
Blue Dark , Синяя Тьма
Blue Factor , Синий фактор
Blue House , Голубой дом
Blue Ice , Голубой лед
Blue Level , Синий уровень
Blue Mono , Голубой моно
Blue Rotations , Голубые повороты
Blue Screen Mode , Режим синего экрана
Blue Shadows 01 , Голубые Тени 01
Blue Shift , Голубое смещение
Blue Smoothness , Голубая гладкость
Blue Steel , Голубая сталь
Blue Wavelength , Длина синей волны
Blue-Green , Сине-зеленый
Blues , Блюз
Blur , Пятно
Blur [Angular] , Пятно [Угловое]
Blur [Bloom] , Пятно [Блум]
Blur [Depth-Of-Field] , Пятно [Глубина поля]
Blur [Gaussian] , Пятно [Гаусс]
Blur [Glow] , Пятно [Светится]
Blur [Linear] , Пятно [Линейный]
Blur [Multidirectional] , Пятно [разнонаправленное]
Blur [Radial] , Пятно [Радиальный]
Blur Alpha , Пятно Альфа
Blur Amount , размытость
Blur Amplitude , амплитуда размытия
Blur Dodge and Burn Layer , Пятно Додж и ожоговый слой
Blur Factor , коэффициент размытости
Blur Frame , размытая рама
Blur Percentage , Размытый процент
Blur Precision , точность размытия
Blur Shade , Тень Пятна
Blur Standard Deviation , Стандартная девиатура Размытия
Blur Strength , Прочность при размывании
Blur the Mask , Размыть Маску
Boats , Лодки
Bob Ford , Боб Форд
Bokeh , Бокэ
Boost Chromaticity , повышенная хроматичность
Boost Contrast , повышенный контраст
Boost Stroke , удар тупика
Border Color , Цвет границы
Border Opacity , Прозрачность границ
Border Outline , Очертание границы
Border Smoothness , Гладкость границ
Border Thickness (%) , Толщина границы (%)
Border Width , Ширина границы
Both , Оба
Bottles , Бутылки
Bottom , Нижний
Bottom and Left Foreground , Нижнее и левое поле на переднем плане
Bottom and Right Foreground , Нижний и правый передний план
Bottom and Top Foreground , Нижний и верхний план
Bottom Layer , Нижний слой
Bottom Left , Нижнее левое
Bottom Right , Нижнее право
Bottom Size , Нижний размер
Bottom-Left , Слева внизу
Bottom-Left Vertex (%) , Нижняя левая вершина (%)
Bottom-Right , Нижнее право
Bottom-Right Vertex (%) , Нижняя-правая вершина (%)
Bouncing Balls , Прыгающие шары
Boundaries (%) , Границы (%)
Boundary , Граница
Boundary Condition , Граничное условие
Boundary Conditions , Пограничные условия
Bourbon 64 , Бурбон 64
Box , Вставка
Box Fitting , Коробка Подгонка
Branches , Филиалы
Braque: Landscape near Antwerp , Брак: Пейзаж под Антверпеном
Braque: Le Viaduc à L'Estaque , Брак: Le Viaduc à L'Estaque
Braque: Little Bay at La Ciotat , Брак: Литтл Бэй в Ла Сиота
Braque: The Mandola , Брак: Мандола
Bright , Яркий сайт
Bright Green , ярко-зелёный
Bright Green 01 , Ярко-зеленый 01
Bright Length , Яркая длина
Bright Pixels , Яркие пиксели
Bright Teal Orange , ярко-синий апельсин
Bright Warm , Яркое тепло
Brightness , Яркость
Brightness (%) , Яркость (%)
Bristle Size , Размер щетины
Bronze , Бронзовый
Brownish , Коричневатый
Brushify , Очистить
Built-in Gray , Встроенный серый
Bump Factor , коэффициент ударения
Burn , Сжечь
Burn Strength , Прочность при изжоге
Butterfly , Бабочка
By Blue Chrominance , Компания Blue Chrominance
By Blue Component , По синей составляющей
By Custom Expression , Посредством пользовательского выражения
By Green Component , По Зелёному Компоненту
By Iteration , По итерации
By Lightness , По Светлости
By Luminance , По Фирме Luminance
By Red Chrominance , Компания Red Chrominance
By Red Component , Красным компонентом
By Value , По значению
Byers 11 , Байерс 11
C[Magenta]YK , C[пурпурный] YK
Camera Motion Only , Только движение камеры
Camera X , Камера X
Camera Y , Камера Y
Cameraman , Оператор
Camouflage , Камуфляж
Candle Light , Свеча
Canvas , Холст
Canvas Brightness , яркость холста
Canvas Color , Цвет холста
Canvas Darkness , Холстовая тьма
Canvas Texture , Текстура холста
Car , Автомобиль
Card Suits , Костюмы для карт
Caribe , Карибе
Cartesian Transform , Преобразование Картезиан
Cartoon , Мультфильм
Cartoon [Animated] , Мультфильм [анимационный]
Cat , Кошка
Category , Категория
Cell Size , Размер ячейки
Center , Центр
Center (%) , Центр (%)
Center Background , Центр Справочная информация
Center Foreground , Центровое поле на переднем плане
Center Help , Помощь центра
Center Size , Центральный размер
Center Smoothness , Гладкость центра
Center X , Центр Х
Center X-Shift , Центр X-Shift
Center Y , Центр Y
Center Y-Shift , Центральная Y-образная смена
Centering (%) , Центрирование (%)
Centering / Scale , Центрирование / масштабирование
Centers Color , Центры Цвет
Centers Radius , Центры Радиус
Centimeter , сантиметр
Central  Perspective Outdoor , Центральная перспектива на улице
Central Perspective Indoor , Центральная Перспектива Крытый
Central Perspective Outdoor , Центральная перспектива на улице
Centre , Центр
Chalk It Up , Врубай мелом
Channel #1 , Первый канал
Channel #2 , 2-й канал
Channel #3 , 3-й канал
Channel Processing , Обработка канала
Channel(s) , Канал(ы)
Channels , Каналы
Channels to Layers , Каналы на слои
Charcoal , Древесный уголь
Charset , Шарсет
Chebyshev , Чебышев
Checkered Inverse , клетчатая инверсия
Chemical 168 , Химический 168
Chessboard , Шахматная доска
Chick , Цыпочка
Chroma Noise , Хроматический шум
Chromatic Aberrations , хроматические аберрации
Chromaticity From , Хроматичность От
Chrome 01 , Хром 01
Chrominances Only (ab) , Только хроминансы (ab)
Chrominances Only (CbCr) , Только хроминансы (CbCr)
Cine Bright , Сине Брайт
Cine Cold , Сине Холодный
Cine Drama , Кинодрама
Cine Warm , Теплое вино
Cinema , Кинотеатр
Cinema 2 , Кинотеатр 2
Cinema 3 , Кинотеатр 3
Cinema 4 , Кинотеатр 4
Cinema 5 , Кинотеатр 5
Cinema Noir , Киноно нуар
Cinematic (8) , Кинематографический (8)
Cinematic for Flog , Кинематограф для Флога
Cinematic Lady Bird , Птица-кинематографистка
Cinematic Mexico , Кинематографическая Мексика
Cinematic Travel (29) , Кинематографическое путешествие (29)
Cinematic-01 , Кинематограф-01
Cinematic-02 , Кинематограф-02
Cinematic-03 , Кинематографический-03
Cinematic-1 , Кинематографический-1
Cinematic-10 , Кинематограф-10
Cinematic-2 , Кинематограф-2
Cinematic-3 , Кинематографический-3
Cinematic-4 , Кинематографический-4
Cinematic-5 , Кинематограф-5
Cinematic-6 , Кинематограф-6
Cinematic-7 , Кинематографический-7
Cinematic-8 , Кинематограф-8
Cinematic-9 , Кинематографический-9
Circle , Круг
Circle (Inv.) , Круг (инв.)
Circle 1 , 1-й круг
Circle 2 , Круг 2
Circle Abstraction , Абстракция круга
Circle Art , Кружковое искусство
Circle to Square , Круг к площади
Circle Transform , Преобразование круга
Circles , Круги
Circles (Outline) , Круги (контур)
Circles 1 , Круги 1
Circles 2 , Круги 2
Circular , Циркуляр
City 7 , Город 7
Clarity , Ясность
Classic Chrome , Классический хром
Classic Teal and Orange , Классический тел и апельсин
Clayton 33 , Клейтон 33
Clean , Чистый
Clean Text , Чистый текст
Clear Control Points , Чистые контрольные точки
Clear Teal Fade , Чистое затухание тела
Cliff , Клифф
Clip , Клип
Clip CMYK , Клип CMYK
Clip RGB , Клип RGB
Closeup , Закрытие
Closing , Закрытие
Closing - Opening , Закрытие - Открытие
Closing - Original , Закрытие - Оригинал
Clouds , Облака
Clouseau 54 , Клюзо 54
CLUT Opacity , CLUT Непрозрачность
CM[Yellow]K , CM[жёлтый] K
CMY[Key] , CMY[Ключ]
CMYK [cyan] , CMYK [циан]
CMYK [Key] , CMYK [Ключ]
CMYK [Magenta] , CMYK [пурпурный]
CMYK [Yellow] , CMYK [Желтый]
CMYK Tone , CMYK Тон
Coarse , Грубый
Coarsest (faster) , Самый грубый (быстрее)
Cobi 3 , Коби 3
Code , Код
Coefficients , Коэффициенты
Coffee 44 , Кофе 44
Coherence , Согласованность
Cold Clear Blue , Холодный прозрачный синий
Cold Clear Blue 1 , Холодный прозрачный синий 1
Cold Simplicity 2 , Холодная простота 2
Color , Цвет
Color (rich) , Цвет (богатый)
Color 1 , Цвет 1
Color 1 (Up/Left Corner) , Цвет 1 (верхний/левый угол)
Color 2 , Цвет 2
