<b>Arrays & Tiles</b> , <b>Arrays & Tegels</b>
23. Boundary , 23. 23. Grenswaarde
24. Warp Channel(s) , 24. 24. Warpkanaal(en)
25. Random Negation , 25. 25. Willekeurige ontkenning
26. Random Negation Channel(s) , 26. 26. Willekeurig negatiekanaal (-kanalen)
27 Keypoints , 27 Kernpunten
27. Gamma Offset , 27. 27. Gamma-compensatie
28. Hue Offset , 28. 28. Tijdcompensatie
29. Normalise , 29. 29. Normaliseer
2nd , 2e
2nd Additional Palette (.Gpl) , 2e Extra Palet (.Gpl)
2nd Color , 2de kleur
2nd Parameter , 2e Parameter
2nd Text , 2e tekst
2nd Tone , 2e Toon
2nd Variance , 2de variant
2nd X-Coord , 2e X-Coord
2nd Y-Coord , 2e Y-Coord
2XY Mirror , 2XY Spiegel
3 Colors , 3 Kleuren
3 Grays , 3 Grijzen
3.  Plasma Alpha Channel , 3. 3. Plasma-alpha-kanaal
30. Minimum Hue , 30. 30. Minimale tint
31. Maximum Hue , 31. 31. Maximale tint
32. Minimum Saturation , 32. 32. Minimale verzadiging
33. Maximum Saturation , 33. 33. Maximale verzadiging
34. Minimum Value , 34. 34. Minimumwaarde
343 Keypoints , 343 Kernpunten
35. Maximum Value , 35. 35. Maximale waarde
36. Hue Offset , 36. 36. Tijdcompensatie
37. Saturation Offset , 37. 37. Verzadigingscompensatie
38. Value Offset , 38. 38. Waardevergelijking
3D Blocks , 3D-blokken
3D CLUT (Fast) , 3D CLUT (snel)
3D CLUT (Precise) , 3D CLUT (Precies)
3D Colored Object , 3D-gekleurd object
3D Conversion , 3D-omzetting
3D Elevation , 3D Elevatie
3D Elevation [Animated] , 3D Elevatie [Geanimeerd]
3D Extrusion , 3D Extrusie
3D Extrusion [Animated] , 3D Extrusie [Geanimeerd]
3D Image Object , 3D-beeldobject
3D Image Object [Animated] , 3D-beeldobject [Geanimeerd]
3D Image Type , 3D-beeldtype
3D Lathing , 3D-latten
3D Metaballs , 3D-metaballen
3D Random Objects , 3D-Willekeurige objecten
3D Reflection , 3D-reflectie
3D Rubber Object , 3D-rubber voorwerp
3D Starfield , 3D-sterrenveld
3D Text Pointcloud , 3D Tekst Puntenwolk
3D Tiles , 3D-tegels
3D Video Conversion , 3D Videoconversie
3D Waves , 3D-golven
3rd , 3e
3rd Color , 3de kleur
3rd Parameter , 3de Parameter
3rd Tone , 3e Toon
3rd X-Coord , 3e X-Coord
3rd Y-Coord , 3e Y-Coord
4 Colors , 4 Kleuren
4 Grays , 4 Grijzen
4.  Segmentation [No Alpha Channel] , 4. 4. Segmentatie [Geen alfakanaal]
4096x4096 Layer , 4096x4096 Laag
4th , 4e
4th Color , 4e kleur
4th Tone , 4e Toon
5.  Edge Threshold , 5. 5. Randdrempel
512x512 Layer , 512x512 Laag
5th , 5e
5th Color , 5e Kleur
5th Tone , 5e Toon
6.  Smoothness , 6. 6. Vlotheid
60's (faded Alt) , 60's (vervaagde Alt)
60's (faded) , 60's (vervaagd)
64 (Faster) , 64 (Sneller)
64 Keypoints , 64 Kernpunten
67.5 Deg. , 67,5 Deg.
6th , 6e
6th Color , 6e Kleur
6th Tone , 6e Toon
7.  Blur , 7. 7. Vervagen
7th , 7e
7th Color , 7e Kleur
7th Tone , 7e Toon
8 Colors , 8 Kleuren
8 Grays , 8 Grijzen
8 Keypoints (RGB Corners) , 8 Kernpunten (RGB-hoeken)
8.  Quadtree Pixelisation [No Alpha Channel] , 8. 8. Quadtree Pixelisatie [Geen alfakanaal]
8th , 8e
8th Color , 8e kleur
8th Tone , 8e Toon
9.  Quadtree Min Precision , 9. 10. Quadtree Min Precisie
9th , 9e
9th Color , 9e kleur
[Cyan]MYK , [Cyan] MYK
A Lot of Cyan , Veel Cyaan
A Lot of Key , Heel veel sleutel
A Lot of Magenta , Veel Magenta
A Lot of Yellow , Veel Geel
A-Color Factor , A-Kleurfactor
A-Color Shift , A-Kleurverschuiving
A-Color Smoothness , A-Kleur Gladheid
A-Value , A-Waarde
A4 / 100 PPI (Recommended) , A4 / 100 PPI (Aanbevolen)
About G'MIC , Over G'MIC
Absolute Brightness , Absolute Helderheid
Absolute Value , Absolute waarde
Abstraction , Abstractie
Acceleration , Versnelling
Achromatopsia , Achromatopsie
Action , Actie
Action #1 , Actie #1
Action #10 , Actie #10
Action #11 , Actie #11
Action #12 , Actie #12
Action #13 , Actie #13
Action #14 , Actie #14
Action #15 , Actie #15
Action #16 , Actie #16
Action #17 , Actie #17
Action #18 , Actie 18
Action #19 , Actie #19
Action #2 , Actie 2
Action #20 , Actie #20
Action #21 , Actie #21
Action #22 , Actie #22
Action #23 , Actie #23
Action #24 , Actie #24
Action #3 , Actie 3
Action #4 , Actie 4
Action #5 , Actie 5
Action #6 , Actie 6
Action #7 , Actie 7
Action #8 , Actie #8
Action #9 , Actie #9
Action Magenta 01 , Actie Magenta 01
Action Red 01 , Actie Rood 01
Activate 'Pencil Smoother' , Activeer 'Pencil Smoother'
Activate Color Enhancement , Activeer Kleurverbetering
Activate Colors Geometric Shapes , Activeer Kleuren Geometrische Vormen
Activate Custom Filter , Activeer aangepaste filter
Activate Lizards , Hagedissen activeren
Activate Mirror , Activeer Spiegel
Activate Pink Elephants , Activeer Roze Olifanten
Activate Second Direction , Activeer Tweede Richting
Activate Shakes , Activeer Shakes
Activate Slice 1 , Activeer Slice 1
Activate Slice 2 , Activeer Slice 2
Activate Slice 3 , Activeer Slice 3
Activate Slice 4 , Activeer Slice 4
Activer Symmetrizoscope , Activersymmetrizoscoop
Adaptive , Adaptief
Add , Voeg  toe
Add 1px Outline , Voeg 1px Outline toe
Add Alpha Channels to Detail Scale Layers , Voeg alfakanalen toe aan detailschaallagen
Add as a New Layer , Toevoegen als nieuwe laag
Add Chalk Highlights , Krijthoogtepunten toevoegen
Add Color Background , Kleur achtergrond toevoegen
Add Comment Area in HTML Page , Commentaargebied toevoegen in HTML-pagina
Add Grain , Graan toevoegen
Add Image Label , Afbeeldingsetiket toevoegen
Add Painter's Touch , Schilderstip toevoegen
Add User-Defined Constraints (Interactive) , Gebruikergedefinieerde beperkingen toevoegen (Interactief)
Additional Duplicates Count , Extra Duplicaten Tellen
Additional Outline , Extra overzicht
Additive , Additief
Adjust Background Reconstruction , Aanpassen Achtergrond Reconstructie
Adventure 1453 , Avontuur 1453
Aggresive , Agressieve
Aggressive Highlights Recovery 5 , Agressieve Hoogtepunten Herstel 5
Algorithm , Algoritme
Aliasing , Vervreemdend
Alien Green , Vreemdelingengroen
Align Image Streams , Beeldstromen uitlijnen
Align Layers , Lagen uitlijnen
Aligned , Uitgelijnd
Alignment Type , Uitlijningstype
All , Allemaal
All 45° Rotations , Alle 45° Rotaties
All 90° Rotations , Alle 90° Rotaties
All [Collage] , Alle [Collage]
All but Reference Color , Allemaal behalve de Referentiekleur
All Layers and Masks , Alle lagen en maskers
All Tones , Alle Tonen
All XY-Flips , Alle XY-Flips
Allow Angle , Hoek toestaan
Allow Outer Blending , Laat het buitenmengen toe
Allow Self Intersections , Laat Self Intersections toe
Alpha Channel , Alfa-kanaal
Alpha Mode , Alfamodus
Also Match Gradients , Ook overeenkomen met gradiënten
Ambient (%) , Omgeving (%)
Ambient Lightness , Omgevingslichtheid
Amount , Bedrag
Amplitude / Angle , Amplitude / Hoek
Anaglypgh Green/magenta Optimized , Anaglypgh Groen/magenta Geoptimaliseerd
Anaglyph Blue/yellow , Anaglyph Blauw/geel
Anaglyph Blue/yellow Optimized , Anaglyph Blauw/geel Geoptimaliseerd
Anaglyph Glasses Adjustment , Anaglyph Bril Aanpassing
Anaglyph Green/magenta Optimized , Anaglyph Green/magenta Geoptimaliseerd
Anaglyph Reconstruction , Anaglyph Reconstructie
Anaglyph Red/cyan , Anaglyph Rood/cyaan
Anaglyph Red/cyan Optimized , Anaglyph Rood/cyaan Geoptimaliseerd
Anaglyph: Red/Cyan , Anaglyph: Rood/Cyan
AnalogFX - Anno 1870 Color , AnalogFX - Anno 1870 Kleur
AnalogFX - Old Style I , AnalogFX - Oude stijl I
AnalogFX - Old Style II , AnalogFX - Oude stijl II
AnalogFX - Old Style III , AnalogFX - Oude stijl III
AnalogFX - Sepia Color , AnalogFX - Sepiakleur
AnalogFX - Soft Sepia I , AnalogFX - Zachte Sepia I
AnalogFX - Soft Sepia II , AnalogFX - Zachte Sepia II
Analysis Scale , Analyseschaal
Analysis Smoothness , Analyse Gladheid
And , En
Angle , Hoek
Angle (%) , Hoek (%)
Angle (deg) , Hoek (deg)
Angle (deg.) , Hoek (deg.)
Angle / Size , Hoek / Grootte
Angle Cut , Haakse snede
Angle Dispersion , Hoekverspreiding
Angle Image Contour , Hoekbeeldcontour
Angle of Disturbance Surface , Hoek van verstoring Oppervlakte
Angle of Main Nebulous Surface , Hoek van het hoofdvlak van de nevel
Angle Range , Hoekwaaier
Angle Range (deg.) , Hoekbereik (deg.)
Angle Tilt , Hoekinstelling
Angle Variations , Hoekvariaties
Anguish , Angstaanjagend
Angular , Hoekig
Angular Precision , Hoekprecisie
Angular Tiles , Hoekige tegels
Anisotropic , Anisotroop
Anisotropy , Anisotropie
Annular Steiner Chain Round Tiles , Ringvormige Steiner Chain Round Tiles
Antialiasing , Anti-aliasing
Antisymmetry , Antisymmetrie
Any , Elke
Apocalypse This Very Moment , Apocalyps op dit moment
Apples , Appels
Apply Adjustments On , Aanpassingen toepassen op
Apply Color Balance , Kleurensaldo toepassen
Apply External CLUT , Externe CLUT toepassen
Apply Mask , Breng het masker aan
Apply Skin Tone Mask , Huidtonenmasker aanbrengen
Apply Transformation From , Transformatie toepassen Van
Aqua and Orange Dark , Aqua en Oranje Donker
Area , Gebied
Area Smoothness , Gebied Soepelheid
Areas Light Adjustment , Gebieden Lichtaanpassing
Areas Smoothness , Gebieden Gladheid
Array [Faded] , Array [Vervaagd]
Array [Mirrored] , Array [Gespiegeld]
Array [Random Colors] , Array [Willekeurige kleuren]
Array [Random] , Array [Willekeurig]
Array [Regular] , Array [Regelmatig]
Array Mode , Array-modus
Arrows , Pijlen
Arrows (Outline) , Pijlen (Overzicht)
Artistic  Modern , Artistiek Modern
Artistic Hard , Artistiek Hard
Artistic Round , Artistieke ronde
Ascii Art , Ascii-kunst
Aspect Ratio , Aspectratio
Associated Color , Bijbehorende kleur
Attenuation , Verzwakking
Australia , Australië
Auto Balance , Autosaldo
Auto Reduce Level (Level Slider Is Disabled) , Automatisch verminderingsniveau (niveau schuifregelaar is uitgeschakeld)
Auto Set Hue Inverse (Hue Slider Is Disabled) , Auto Set Hue Inverse (Tintenschuif is uitgeschakeld)
Auto-Clean Bottom Color Layer , Autoschone bodemkleurlaag
Auto-Reduce Number of Frames , Auto-Reduce Aantal Frames
Auto-Set Periodicity , Auto-Set Periodiciteit
Auto-Threshold , Autodrempel
Autocrop Output Layers , Autocrop Uitgangslagen
Automatic , Automatisch
Automatic & Contrast Mask , Automatisch & Contrastmasker
Automatic [Scan All Hues] , Automatisch [Scan alle hints]
Automatic Color Balance , Automatisch kleurensaldo
Automatic Depth Estimation , Automatische diepteschatting
Automatic Upscale for Optimum Results , Automatische Upscale voor optimale resultaten
Autumn , Herfst
Avalanche , Lawine
Average , Gemiddelde
Average 3x3 , Gemiddeld 3x3
Average 5x5 , Gemiddeld 5x5
Average 7x7 , Gemiddelde 7x7
Average 9x9 , Gemiddeld 9x9
Average RGB , Gemiddelde RGB
Average Smoothness , Gemiddelde gladheid
Avg / Max Weight , Avg / Max. gewicht
Avg Branching , Avg-vertakking
Avg Left Angle (deg.) , Avg Linkerhoek (deg.)
Avg Length Factor (%) , Avg Lengte Factor (%)
Avg Right Angle (deg.) , Avg Rechter Hoek (deg.)
Avg Thickness Factor (%) , Avg Dikte Factor (%)
Axis , As
Azimuth , Azimut
Azrael 93 , Azraël 93
B&W , ZW
B&W Pencil [Animated] , B&W-potlood [Geanimeerd]
B&W Photograph , Zwart-witfoto
B&W Stencil [Animated] , B&W Stencil [Animatie]
B-Color Factor , B-kleurfactor
B-Color Shift , B-kleurverschuiving
B-Color Smoothness , B-kleur gladheid
Background , Achtergrond
Background Color , Achtergrondkleur
Background Intensity , Achtergrond Intensiteit
Background Point (%) , Achtergrond Punt (%)
Backward , Achteruit
Backward Horizontal , Achteruit horizontaal
Backward Vertical , Achterwaarts Verticaal
Balance , Balans
Balance Color , Balanskleur
Balance SRGB , Balans SRGB
Ball , Bal
Balloons , Ballonnen
Balls , Ballen
Band Width , Bandbreedte
Banding Denoise , Bandage Denoise
Bandwidth , Bandbreedte
Barbed Wire , Prikkeldraad
Barnsley Fern , Gerstvaren
Base Reference Dimension , Basis Referentie Maatstaf
Base Scale , Basisschaal
Base Thickness (%) , Basisdikte (%)
Basic Adjustments , Basisaanpassingen
Batch Processing , Batchverwerking
Bayer Filter , Bayer-filter
Bayer Reconstruction , Bayer reconstructie
Behind , Achter
Below , Hieronder
Berlin Sky , Berlijnse hemel
Best Match , Beste wedstrijd
BG Textured , BG Textuur
Bi-Directional , Bi-directioneel
Bias , Vooringenomenheid
Bicubic , Bicubisch
Bidirectional [Sharp] , Bidirectioneel [Scherp]
Bidirectional [Smooth] , Bidirectioneel [Soepel]
Bidirectional Rendering , Bidirectionele Rendering
Bilateral , Bilateraal
Bilateral Radius , Bilaterale Straal
Binary , Binaire
Binary Digits , Binaire cijfers
Bit Masking (End) , Bitmaskering (einde)
Bit Masking (Start) , Bitmaskering (Start)
Black , Zwart
Black & White , Zwart-wit
Black & White (25) , Zwart-wit (25)
Black & White-1 , Zwart-wit-1
Black & White-10 , Zwart & Wit -10
Black & White-2 , Zwart-wit-2
Black & White-3 , Zwart-Wit-3
Black & White-4 , Zwart-wit-4
Black & White-5 , Zwart-Wit-5
Black & White-6 , Zwart-wit-6
Black & White-7 , Zwart-wit-7
Black & White-8 , Zwart-wit-8
Black & White-9 , Zwart-wit-9
Black Crayon Graffiti , Zwart krijt Graffiti
Black Dices , Zwarte Dobbelstenen
Black Level , Zwartniveau
Black on Transparent , Zwart op Transparant
Black on Transparent White , Zwart op Transparant Wit
Black on White , Zwart op Wit
Black Point , Zwart punt
Black Star , Zwarte ster
Black to White , Zwart op wit
Blacks , Zwarten
Blade Runner , Bladloper
Blank , Blanco
Bleach Bypass , Bleekmiddelbypass
Bleach Bypass 1 , Bleekmiddelbypass 1
Bleach Bypass 2 , Bleekmiddelbypass 2
Bleach Bypass 3 , Bleekmiddelbypass 3
Bleach Bypass 4 , Bleekmiddelbypass 4
Bleech Bypass Green , Bleech Bypass Groen
Bleech Bypass Yellow 01 , Bleech Bypass Geel 01
Blend , Mengen
Blend [Average All] , Mengen [Gemiddeld alle]
Blend [Edges] , Mengen [Randen]
Blend [Fade] , Mengen [Fade]
Blend [Median] , Mélange [Mediaan]
Blend [Seamless] , Mengen [Naadloos]
Blend [Standard] , Mengen [Standaard]
Blend All Layers , Meng alle lagen
Blend Decay , Mengverloop
Blend Mode , Mengwijze
Blend Rays , Mengstralen
Blend Scales , Mengschaal
Blend Size , Menggrootte
Blend Threshold , Mengingsdrempel
Blending Mode , Mengmode
Blending Size , Het mengen van Grootte
Blindness Type , Type blindheid
Blob 1 Color , Blob 1 Kleur
Blob 10 Color , Blob 10 Kleur
Blob 11 Color , Blob 11 Kleur
Blob 12 Color , Blob 12 Kleur
Blob 2 Color , Blob 2 Kleur
Blob 3 Color , Blob 3 Kleur
Blob 4 Color , Blob 4 Kleur
Blob 5 Color , Blob 5 Kleur
Blob 6 Color , Blob 6 Kleur
Blob 7 Color , Blob 7 Kleur
Blob 8 Color , Blob 8 Kleur
Blob 9 Color , Blob 9 Kleur
Blob Size , Blobmaat
Blobs Editor , Blobs-editor
Bloc , Blok
Bloc Size (%) , Blokgrootte (%)
Blockism , Blockisme
Bloom , Bloei
Blue , Blauw
Blue & Red Chrominances , Blauwe & Rode Chrominances
Blue Chroma Factor , Blauwe Chroma Factor
Blue Chroma Shift , Blauwe Chroma Shift
Blue Chroma Smoothness , Blauwe Chroma Smoothness
Blue Chrominance , Blauwe Chrominantie
Blue Cold Fade , Blauwe Koude Fade
Blue Dark , Blauw Donker
Blue Factor , Blauwe factor
Blue House , Blauw huis
Blue Ice , Blauw ijs
Blue Level , Blauw niveau
Blue Mono , Blauwe Mono
Blue Rotations , Blauwe rotaties
Blue Screen Mode , Blauwschermwijze
Blue Shadows 01 , Blauwe Schaduwen 01
Blue Shift , Blauwe Verschuiving
Blue Smoothness , Blauwe Gladheid
Blue Steel , Blauw Staal
Blue Wavelength , Blauwe Golflengte
Blue-Green , Blauwgroen
Blur , Vervagen
Blur [Angular] , Vervagen [Hoekig]
Blur [Bloom] , Wazigheid [Bloom]
Blur [Depth-Of-Field] , Wazigheid [Diepte-veld]
Blur [Gaussian] , Waas [Gaussian]
Blur [Glow] , Vervagen [Gloed]
Blur [Linear] , Vervagen [Lineair]
Blur [Multidirectional] , Vervagen [Multidirectioneel]
Blur [Radial] , Vervagen [Radiaal]
Blur Alpha , Vage Alfa
Blur Amount , Wazig bedrag
Blur Amplitude , Vervaagde Amplitude
Blur Dodge and Burn Layer , Vage Dodge en Burn Layer
Blur Factor , Vervagende factor
Blur Frame , Vervagen Frame
Blur Percentage , Vervagen Percentage
Blur Precision , Vage Precisie
Blur Shade , Vage Schaduw
Blur Standard Deviation , Vage standaardafwijking
Blur Strength , Vage kracht
Blur the Mask , Vervaag het masker
Boats , Boten
Border Color , Grenskleur
Border Opacity , Grensopaciteit
Border Outline , Grenslijn
Border Smoothness , Randvlakte
Border Thickness (%) , Grensdikte (%)
Border Width , Grensbreedte
Both , Beide
Bottles , Flessen
Bottom , Bodem
Bottom and Left Foreground , Onderste en linkse voorgrond
Bottom and Right Foreground , Bodem en rechtervoorgrond
Bottom and Top Foreground , Onderkant en bovenkant Voorgrond
Bottom Layer , Bodemlaag
Bottom Left , Linksonder
Bottom Right , Rechtsonder
Bottom Size , Bodemmaat
Bottom-Left , Linksonder
Bottom-Left Vertex (%) , Bodem-Links Vertex (%)
Bottom-Right , Rechtsonder
Bottom-Right Vertex (%) , Rechtsonderste punt (%)
Bouncing Balls , Stuiterende Ballen
Boundaries (%) , Grenzen (%)
Boundary , Grenswaarde
Boundary Condition , Randvoorwaarde
Boundary Conditions , Grensvoorwaarden
Box , Doos
Box Fitting , Doosindeling
Branches , Vestigingen
Braque: Landscape near Antwerp , Braque: Landschap bij Antwerpen
Braque: Little Bay at La Ciotat , Braque: Little Bay bij La Ciotat
Braque: The Mandola , Braque: De Mandola
Bright , Helder
Bright Green , Helder groen
Bright Green 01 , Helder groen 01
Bright Length , Heldere lengte
Bright Pixels , Heldere Pixels
Bright Teal Orange , Heldere Teal Oranje
Bright Warm , Helder Warm
Brighter , Helderder
Brightness , Helderheid
Brightness (%) , Helderheid (%)
Bristle Size , Borstelgrootte
Bronze , Brons
Brownish , Bruinachtig
Brushify , Borstelen
Built-in Gray , Ingebouwde Grijs
Bump Map , Bump kaart
Burn , Verbranding
Burn Blur , Verbrandingsonscherpte
Burn Strength , Brandwondsterkte
Butterfly , Vlinder
By Blue Chrominance , Door Blauwe Chrominantie
By Blue Component , Door Blauwe Component
By Custom Expression , Door Aangepaste Uitdrukking
By Green Component , Per Groene Component
By Iteration , Door Iteratie
By Lightness , Door Lichtheid
By Luminance , Door Luminantie
By Red Chrominance , Door Red Chrominance
By Red Component , Door rode component
By Value , Naar waarde
Camera Motion Only , Alleen camerabeweging
Candle Light , Kaarslicht
Canvas Brightness , Helderheid van het doek
Canvas Color , Kleur van het doek
Canvas Darkness , Canvas Duisternis
Canvas Texture , Canvasstructuur
Car , Auto
Card Suits , Kaartpakken
Cartesian Transform , Cartesiaanse transformatie
Cartoon , Beeldverhaal
Cartoon [Animated] , Cartoon [Geanimeerd]
Cat , Kat
Category , Categorie
Cell Size , Celgrootte
Center , Centrum
Center (%) , Centrum (%)
Center Background , Centrale Achtergrond
Center Foreground , Centrum Voorgrond
Center Help , Centrum Hulp
Center Size , Centrum
Center Smoothness , Centrum Gladheid
Center X , Centrum X
Center X-Shift , Centrum X-Shift
Center Y , Centrum Y
Center Y-Shift , Centrum Y-Shift
Centering (%) , Centrering (%)
Centering / Scale , Centreren / Schaalverdeling
Centers Color , Centra Kleur
Centers Radius , Centra Straal
Central  Perspective Outdoor , Centraal Perspectief Buiten
Central Perspective Indoor , Centraal Perspectief Binnenshuis
Central Perspective Outdoor , Centraal Perspectief Buiten
Centre , Centrum
Chalk It Up , Krijg nou wat.
Channel #1 , Kanaal 1
Channel #2 , Kanaal 2
Channel #3 , Kanaal 3
Channel Processing , Kanaalbewerking
Channel(s) , Kanaal(s)
Channels , Kanalen
Channels to Layers , Kanalen naar Lagen
Charcoal , Houtskool
Checkered , Geruite
Checkered Inverse , Geruite Omkering
Chemical 168 , Chemisch 168
Chessboard , Schaakbord
Chick , Kuiken
Chroma Noise , Chromageluid
Chromatic Aberrations , Chromatische afwijkingen
Chromaticity From , Chromaticiteit van
Chrome 01 , Chroom 01
Chrominances Only (ab) , Alleen chrominanten (ab)
Chrominances Only (CbCr) , Alleen chrominanten (CbCr)
Cinema , Bioscoop
Cinema 2 , Bioscoop 2
Cinema 3 , Bioscoop 3
Cinema 4 , Bioscoop 4
Cinema 5 , Bioscoop 5
Cinema Noir , Bioscoop Noir
Cinematic (8) , Bioscoop (8)
Cinematic for Flog , Bioscoop voor Flog
Cinematic Lady Bird , Filmische Damesvogel
Cinematic Mexico , Cinematografisch Mexico
Cinematic Travel (29) , Bioscoopreizen (29)
Cinematic-01 , Cinematisch-01
Cinematic-02 , Cinematisch-02
Cinematic-03 , Cinematisch-03
Cinematic-1 , Bioscoop-1
Cinematic-10 , Cinematisch-10
Cinematic-2 , Cinematisch-2
Cinematic-3 , Cinematisch-3
Cinematic-4 , Cinematisch-4
Cinematic-5 , Cinematisch-5
Cinematic-6 , Cinematisch-6
Cinematic-7 , Cinematisch-7
Cinematic-8 , Cinematisch-8
Cinematic-9 , Cinematisch-9
Circle , Cirkel
Circle (Inv.) , Cirkel (Inv.)
Circle 1 , Cirkel 1
Circle 2 , Cirkel 2
Circle Abstraction , Cirkel Abstractie
Circle Art , Cirkelkunst
Circle to Square , Cirkel naar vierkant
Circle Transform , Cirkeltransformatie
Circles , Cirkels
Circles (Outline) , Cirkels (Overzicht)
Circles 1 , Cirkels 1
Circles 2 , Cirkels 2
Circular , Circulaire
City 7 , Stad 7
Clarity , Duidelijkheid
Classic Chrome , Klassiek chroom
Classic Teal and Orange , Klassiek Teal en Oranje
Clean , Schoonmaken
Clean Text , Schone tekst
Clear Control Points , Duidelijke controlepunten
Clear Teal Fade , Duidelijke Teal Fade
Cliff , Klif
Closeup , Close-up
Closing , Afsluiting
Closing - Opening , Sluiten - Openen
Closing - Original , Afsluiting - Origineel
Clouds , Wolken
CLUT from After - Before Layers , CLUT van na - voor lagen
CLUT Opacity , CLUT Opaciteit
CM[Yellow]K , CM[Geel]K
CMY[Key] , CMY[Sleutel]
CMYK [cyan] , CMYK [cyaan]
CMYK [Key] , CMYK [Sleutel]
CMYK [Yellow] , CMYK [Geel]
CMYK Tone , CMYK-toon
Coarse , Grof
Coarsest (faster) , Grofste (sneller)
Coefficients , Coëfficiënten
Coffee 44 , Koffie 44
Coherence , Coherentie
Cold Clear Blue , Koud Helder Blauw
Cold Clear Blue 1 , Koud Helder Blauw 1
Cold Simplicity 2 , Koude Eenvoud 2
Color , Kleur
Color (rich) , Kleur (rijk)
Color 1 , Kleur 1
Color 1 (Up/Left Corner) , Kleur 1 (Boven/Linkshoek)
Color 2 , Kleur 2
Color 2 (Up/Right Corner) , Kleur 2 (Omhoog/Rechterhoek)
Color 3 , Kleur 3
Color 3 (Bottom/Left Corner) , Kleur 3 (Bodem/linkerhoek)
Color 4 , Kleur 4
Color 4 (Bottom/Right Corner) , Kleur 4 (Bodem/Rechthoek)
Color A , Kleur A
Color Abstraction Opacity , Kleurenabstractie Opaciteit
Color Abstraction Paint , Kleur Abstractie Verf
Color B , Kleur B
Color Balance , Kleurensaldo
Color Basis , Kleurenbasis
Color Blending , Kleurmenging
Color Blindness , Kleurenblindheid
Color Blue-Yellow , Kleur Blauw-Geel
Color Boost , Kleurversterking
Color Burn , Kleurverbranding
Color C , Kleur C
Color Channel  Smoothing , Kleur kanaal gladstrijken
Color Channels , Kleurenkanalen
Color D , Kleur D
Color Dispersion , Kleurverspreiding
Color Doping , Kleurendoping
